いく | iku | to go | verb | | 学校に行きます | I'm going to school.
もの | mono | thing | noun | | これは私のものです | This is mine.
さん | san | Mr./Ms./Mrs. | honorific | | 田中さん | Mr. Tanaka.
つもり | tsumori | intention | noun | | 明日の晩ご飯を作るつもりです | I plan to make dinner tomorrow evening.
ある | aru | to be/exist | verb | | 私は学生です | I am a student.
こと | koto | thing/event | noun | | このことは本当ですか？ | Is this true?
もう | mou | already | adverb | | もう食べました | I already ate.
なる | naru | to become | verb | | 大人になります | I will become an adult.
から | kara | from | conjunction | | 家から学校まで歩きます | I walk from home to school.
ます | masu | polite form of a verb | polite marker | | お茶を飲みます | I drink tea.
ここ | koko | here | pronoun | | ここが私の部屋です | This is my room.
それ | sore | that | pronoun | | それが私の本です | That is my book.
そこ | soko | there | pronoun | | 私はそこにいます | I am there.
です | desu | polite form of "to be" | polite marker | | 彼女は先生です | She is a teacher.
も | mo | also | adverb | | 私も行きます | I also go.
お金 | o-kane | money | noun | | お金がない | I don't have money.
ほんとうに | hontou ni | truly | adverb | | ほんとうに美味しいです | It's truly delicious.
たち | tachi | people | suffix | | 友達たち | friends
すごい | sugoi | amazing | adjective | | すごい天気です | The weather is amazing.
いい | ii | good | adjective | | このレストランの料理はとてもいいです | The food at this restaurant is very good.
ほしい | hoshii | wanted | adjective | | 彼女は新しいハンドバッグがほしいです | She wants a new handbag.
ただしい | tadashii | correct | adjective | | この答えはただしいですか？ | Is this answer correct?
みんな | minna | everyone | pronoun | | みんなで楽しくパーティーを開きましょう | Let's have a fun party together with everyone.
この | kono | this | pronoun | | この本はとても面白いです | This book is very interesting.
とても | totemo | very | adverb | | 彼はとても優秀なプログラマーです | He is a very competent programmer.
たい | tai | want to | verb | | 私は日本語を勉強したいです | I want to study Japanese.
います | imasu | to be (polite form) | verb | | 彼女は先生です | She is a teacher.
そんな | sonna | such | adjective | | そんなことは本当ですか？ | Is that really true?
ところ | tokoro | place | noun | | ここは美味しいレストランのところです | This is the place of a delicious restaurant.
かけ | kake | to hang/put on | verb | | 彼女はジャケットをかけました | She put on her jacket.
かい | kai | buy | verb | | 私はこの本を買いました | I bought this book.
これ | kore | this | pronoun | | これは私のペンです | This is my pen.
という | to iu | called | particle | | この人はジョンさんといいます | This person is called John.
いって | itte | go | verb | | 彼は仕事に行っています | He is going to work.
あげる | ageru | to give (polite) | verb | | 彼は彼女に花をあげました | He gave her flowers.
そう | sou | so | adverb | | そうですね、彼女はとても美しいです | So, she is very beautiful.
みたい | mitai | like | adjective | | この料理がおいしそうですね、私も食べたいみたいです | This dish looks delicious, I also want to eat like it.
いただきます | itadakimasu | polite form of "to receive" | polite phrase | | この料理をいただきます | I will receive this dish.
します | shimasu | to do/make (polite form) | verb | | この仕事をします | I will do this job.
たべます | tabemasu | to eat (polite form) | verb | | この料理をたべます | I will eat this dish.
できる | dekiru | can/be able to | verb | | この仕事ができます | I can do this job.
いくら | ikura | how much | question word | | この料理はいくらですか | How much is this dish?
おいしい | oishii | delicious | adjective | | この料理はとてもおいしいです | This dish is very delicious.
あって | atte | and | conjunction | | 私は料理を作って、食べます | I will cook and eat.
その | sono | that | pronoun | | その料理がおいしそうです | That dish looks delicious.
いつ | itsu | when | question word | | いつ食べますか | When will you eat?
かった | katta | past form of kau | verb | | 昨日、この料理を食べました | Yesterday, I ate this dish.
あの | ano | that | pronoun | | あの料理はおいしそうです | That dish looks delicious.
で | de | at/in/by | particle | | このレストランで料理を食べます | I will eat the dish at this restaurant.
しか | shika | only | adverb | | この料理しか食べません | I will only eat this dish.
ものだ | monoda | it is | verb | | この料理がおいしいものだ | This dish is delicious.
みる | miru | to see | verb | | この料理を見ます | I will see this dish.
もう | mou | already | adverb | | もう食べました | I already ate.
そこで | soko de | so/therefore | conjunction | | そこで、私は帰りました | So, I went home.
かかる | kakaru | to take (time) | verb | | この仕事は１時間かかります | This work takes an hour.
する | suru | to do | verb | | 今日は勉強する予定です | I plan to study today.
どこ | doko | where | question word | | どこへ行きますか？ | Where are you going?
でも | demo | but | conjunction | | 今日は寒いですが、暖かいです | Today is cold but warm.
まま | mama | as it is | adverb | | このままお願いします | Please keep it like this.
いらっしゃる | irassharu | polite form of "to come" | polite phrase | | いらっしゃいませ | Welcome.
こっち | kocchi | this way | pronoun | | こっちに行きましょう | Let's go this way.
こちら | kochira | this way (polite) | pronoun | | こちらにお越しください | Please come this way.
とりあえず | toriaezu | for now | adverb | | とりあえず寝ます | I'll sleep for now.
まず | mazu | first | adverb | | まずは整理しましょう | Let's organize first.
とても | totemo | very | adverb | | とても美味しいです | It's very delicious.
いっしょ | issho | together | noun | | いっしょに行きましょう | Let's go together.
もちろん | mochiron | of course | adverb | | もちろん私が払います | Of course, I'll pay.
あのう | anou | um/er | interjection | | あのう、ちょっと待ってください | Um, wait a minute.
みせ | mise | store | noun | | みせは大きいです | The store is big.
いや | iya | no | adjective | | いや、それはダメです | No, that's not okay.
いいえ | iie | no (polite) | polite word | | いいえ、それは気になりません | No, I don't mind.
たぶん | tabun | probably | adverb | | たぶん、彼は来ないでしょう | He probably won't come.
ほんとう | hontou | really | adverb | | ほんとうに本当ですか？ | Is it really true?
おかげで | okagede | thanks to | prepositional phrase | | おかげで、今日は素晴らしい一日になりました | Thanks to you, today was a wonderful day.
だいじょうぶ | daijoubu | okay | adjective | | 大丈夫、私が手伝います | It's okay, I'll help.
かもしれない | kamoshirenai | may/might | adverb | | かもしれない、彼女は来ないかもしれません | She may not come.
たとえば | tatoeba | for example | conjunctive phrase | | 日本語を勉強する理由として、たとえば、旅行に行くことがあります | One reason for studying Japanese, for example, is to travel.
せいぜい | seizei | at most | adverb | | この仕事にかかる時間は、せいぜい2時間です | The time it takes to complete this job is at most 2 hours.
つまり | tsumari | in short | conjunction | | つまり、彼は助けが必要だと言っています | In short, he is saying that he needs help.
すぐ | sugu | immediately | adverb | | すぐに行きましょう | Let's go immediately.
ついでに | tsuideni | while you're at it | adverb | | ついでに、これも買ってきましょう | While you're at it, let's buy this too.
このまま | konoma | as it is | adverb | | このまま、このプロジェクトを続けましょう | Let's continue this project as it is.
どうか | douka | please | adverb | | どうか助けてください | Please help.
といった | toitta | such as | conjunction | | 料理のレシピ、といったもの | Such things as recipes for cooking.
かなり | kanari | fairly | adverb | | 彼はかなり良い人間だ | He is a fairly good person.
ちょっと | chotto | a little | adverb | | ちょっと待ってください | Please wait a little.
まあ | maa | well | interjection | | まあ、それは良い考えだ | Well, that's a good idea.
どんな | donna | what kind of | question word | | どんな映画が好きですか？ | What kind of movie do you like?
よく | yoku | well | adverb | | 彼女はよく歌う | She sings well.
おもしろい | omoshiroi | interesting | adjective | | この本はおもしろいです | This book is interesting.
ひどい | hidoi | terrible | adjective | | この病気はひどいです | This illness is terrible.
どこか | dokoka | somewhere | adverb | | 彼女はどこか行った | She went somewhere.
かんたん | kantan | simple | adjective | | この課題はかんたんです | This task is simple.
まあまあ | maamaa | so-so | interjection | | 天気はまあまあです | The weather is so-so.
ともかく | tomokaku | anyhow | adverb | | ともかく今すぐ行きましょう | Let's go right now anyhow.
とにかく | tonikaku | anyhow | adverb | | とにかく早く行きましょう | Let's go quickly anyhow.
どんなに | donnani | no matter how | conjunction | | どんなに大変でも頑張ります | I will do my best no matter how difficult it is.
だいじょうぶ | daijoubu | okay | adjective | | 大丈夫、私が手伝います | It's okay, I will help.
すこし | sukoshi | a little | adverb | | すこし待ってください | Please wait a little.
とても | totemo | very | adverb | | とても美味しい | It's very delicious.
ちょっと | chotto | a little | adverb | | ちょっと待って | Wait a little.
ほんとうに | hontou ni | truly | adverb | | ほんとうに大好き | I truly love it.
