ガ | ga | [sound:d1-ga.mp3] | Kana Katakana KatakanaTenTen
ギ | gi | [sound:d2-gi.mp3] | Kana Katakana KatakanaTenTen
グ | gu | [sound:d3-gu.mp3] | Kana Katakana KatakanaTenTen
ゲ | ge | [sound:d4-ge.mp3] | Kana Katakana KatakanaTenTen
ゴ | go | [sound:d5-go.mp3] | Kana Katakana KatakanaTenTen
ザ | za | [sound:d6-za.mp3] | Kana Katakana KatakanaTenTen
ジ | ji | [sound:d7-ji.mp3] | Kana Katakana KatakanaTenTen
ズ | zu | [sound:d8-zu.mp3] | Kana Katakana KatakanaTenTen
ゼ | ze | [sound:d9-ze.mp3] | Kana Katakana KatakanaTenTen
ゾ | zo | [sound:d10-zo.mp3] | Kana Katakana KatakanaTenTen
ダ | da | [sound:d11-da.mp3] | Kana Katakana KatakanaTenTen
ヂ | dzi | [sound:d12-dzi.mp3] | Kana Katakana KatakanaTenTen
ヅ | dzu | [sound:d13-dzu.mp3] | Kana Katakana KatakanaTenTen
デ | de | [sound:d14-de.mp3] | Kana Katakana KatakanaTenTen
ド | do | [sound:d15-do.mp3] | Kana Katakana KatakanaTenTen
バ | ba | [sound:d16-ba.mp3] | Kana Katakana KatakanaTenTen
ビ | bi | [sound:d17-bi.mp3] | Kana Katakana KatakanaTenTen
ブ | ぶ | [sound:d18-bu.mp3] | Kana Katakana KatakanaTenTen
ベ | be | [sound:d19-be.mp3] | Kana Katakana KatakanaTenTen
ボ | ぼ | [sound:d20-bo.mp3] | Kana Katakana KatakanaTenTen
パ | pa | [sound:d21-pa.mp3] | Kana Katakana KatakanaMaru
ピ | pi | [sound:d22-pi.mp3] | Kana Katakana KatakanaMaru
ペ | pe | [sound:d24-pe.mp3] | Kana Katakana KatakanaMaru
ポ | po | [sound:d25-po.mp3] | Kana Katakana KatakanaMaru
キャ | kya | [sound:c1-kya.mp3] | Kana Katakana KatakanaYōon
キュ | kyu | [sound:c2-kyu.mp3] | Kana Katakana KatakanaYōon
キョ | kyo | [sound:c3-kyo.mp3] | Kana Katakana KatakanaYōon
ギャ | gya | [sound:c4-gya.mp3] | Kana Katakana KatakanaYōon
ギュ | gyu | [sound:c5-gyu.mp3] | Kana Katakana KatakanaYōon
ギョ | gyo | [sound:c6-gyo.mp3] | Kana Katakana KatakanaYōon
シャ | sha | [sound:c7-sha.mp3] | Kana Katakana KatakanaYōon
シュ | shu | [sound:c8-shu.mp3] | Kana Katakana KatakanaYōon
ショ | sho | [sound:c9-sho.mp3] | Kana Katakana KatakanaYōon
ジャ | ja | [sound:c10-ja.mp3] | Kana Katakana KatakanaYōon
ジュ | ju | [sound:c11-ju.mp3] | Kana Katakana KatakanaYōon
ジョ | jo | [sound:c12-jo.mp3] | Kana Katakana KatakanaYōon
チャ | cha | [sound:c13-cha.mp3] | Kana Katakana KatakanaYōon
チュ | chu | [sound:c14-chu.mp3] | Kana Katakana KatakanaYōon
チョ | cho | [sound:c15-cho.mp3] | Kana Katakana KatakanaYōon
ニャ | nya | [sound:c16-nya.mp3] | Kana Katakana KatakanaYōon
ニュ | nyu | [sound:c17-nyu.mp3] | Kana Katakana KatakanaYōon
ニョ | nyo | [sound:c18-nyo.mp3] | Kana Katakana KatakanaYōon
ヒャ | hya | [sound:c19-hya.mp3] | Kana Katakana KatakanaYōon
ヒュ | hyu | [sound:c20-hyu.mp3] | Kana Katakana KatakanaYōon
ヒョ | hyo | [sound:c21-hyo.mp3] | Kana Katakana KatakanaYōon
ビャ | bya | [sound:c22-bya.mp3] | Kana Katakana KatakanaYōon
ビュ | byu | [sound:c23-byu.mp3] | Kana Katakana KatakanaYōon
ビョ | byo | [sound:c24-byo.mp3] | Kana Katakana KatakanaYōon
ピャ | pya | [sound:c25-pya.mp3] | Kana Katakana KatakanaYōon
ピュ | pyu | [sound:c26-pyu.mp3] | Kana Katakana KatakanaYōon
ピョ | pyo | [sound:c27-pyo.mp3] | Kana Katakana KatakanaYōon
ミャ | mya | [sound:c28-mya.mp3] | Kana Katakana KatakanaYōon
ミュ | myu | [sound:c29-myu.mp3] | Kana Katakana KatakanaYōon
ミョ | myo | [sound:c30-myo.mp3] | Kana Katakana KatakanaYōon
リャ | rya | [sound:c31-rya.mp3] | Kana Katakana KatakanaYōon
リュ | ryu | [sound:c32-ryu.mp3] | Kana Katakana KatakanaYōon
リョ | ryo | [sound:c33-ryo.mp3] | Kana Katakana KatakanaYōon
