<i>Time</i>.Add(<i>d</i>) | <b>Time function</b> that returns the time t+d.  |  | func (t Time) Add(d Duration) Time 
<i>Time</i>.AddDate(<i>years</i>, <i>months</i>, <i>days</i>) | <b>Time function</b> that returns the time corresponding to adding the given number of years, months, and days to t. For example, AddDate(-1, 2, 3) applied to January 1, 2011 returns March 4, 2010.  |  | func (t Time) AddDate(years int, months int, days int) Time 
<i>Time</i>.After(<i>u</i>) | <b>Time function</b> that reports whether the time instant t is after u.  |  | func (t Time) After(u Time) bool 
<i>Time</i>.AppendFormat(<i>b</i>, <i>layout</i>) | <b>Time function</b> that is like Format but appends the textual representation to b and returns the extended buffer.  |  | func (t Time) AppendFormat(b []byte, layout string) []byte 
<i>Time</i>.Before(<i>u</i>) | <b>Time function</b> that reports whether the time instant t is before u.  |  | func (t Time) Before(u Time) bool 
<i>Time</i>.Clock(<i></i>) | <b>Time function</b> that returns the hour, minute, and second within the day specified by t.  |  | func (t Time) Clock() (hour, min, sec int) 
<i>Time</i>.Compare(<i>u</i>) | <b>Time function</b> that compares the time instant t with u. If t is before u, it returns -1; if t is after u, it returns +1; if they're the same, it returns 0.  |  | func (t Time) Compare(u Time) int 
<i>Time</i>.Date(<i></i>) | <b>Time function</b> that returns the year, month, and day in which t occurs.  |  | func (t Time) Date() (year int, month Month, day int) 
<i>Time</i>.Day(<i></i>) | <b>Time function</b> that returns the day of the month specified by t.  |  | func (t Time) Day() int 
<i>Time</i>.Equal(<i>u</i>) | <b>Time function</b> that reports whether t and u represent the same time instant. Two times can be equal even if they are in different locations. For example, 6:00 +0200 and 4:00 UTC are Equal. See the documentation on the Time type for the pitfalls of using == with Time values; most code should use Equal instead.  |  | func (t Time) Equal(u Time) bool 
<i>Time</i>.Format(<i>layout</i>) | <b>Time function</b> that returns a textual representation of the time value formatted according to the layout defined by the argument. See the documentation for the constant called Layout to see how to represent the layout format.  |  | func (t Time) Format(layout string) string 
<i>Time</i>.GoString(<i></i>) | <b>Time function</b> that implements fmt.GoStringer and formats t to be printed in Go source code.  |  | func (t Time) GoString() string 
<i>Time</i>.GobDecode(<i>data</i>) | <b>Time function</b> that implements the gob.GobDecoder interface.  |  | func (t *Time) GobDecode(data []byte) error 
