あんしん | anshin | peace of mind | [sound:ic-nrkt-anshin.mp3]
あんぜん | anzen | safety; security​ | [sound:ic-nrkt-anzen.mp3]
あさい | asai | shallow | [sound:ic-nrkt-asai.mp3]
だいじ | daiji | important; serious; crucial | [sound:ic-nrkt-daiji.mp3]
ふべん | fuben | inconvenience | [sound:ic-nrkt-fuben.mp3]
ふかい | fukai | deep | [sound:ic-nrkt-fukai.mp3]
ふくざつ | fukuzatsu | complexity; complication | [sound:ic-nrkt-fukuzatsu.mp3]
はんたい | hantai | opposition | [sound:ic-nrkt-hantai.mp3]
はずかしい | hazukashii | embarrassed | [sound:ic-nrkt-hazukashii.mp3]
へん | hen | strange; peculiar; weird | [sound:ic-nrkt-hen.mp3]
ひどい | hidoi | terrible; awful​ | [sound:ic-nrkt-hidoi.mp3]
ひさしぶり | hisashiburi | after a long time | [sound:ic-nrkt-hisashiburi.mp3]
 | ippai | full | [sound:ic-nrkt-ippai.mp3]
いっしょうけんめい | isshoukenmei | very hard; with utmost effort | [sound:ic-nrkt-isshoukenmei.mp3]
じゆう | jiyuu | freedom | [sound:ic-nrkt-jiyuu.mp3]
じゅうぶん | juubun | enough; sufficient; plenty; adequate; satisfactory | [sound:ic-nrkt-juubun.mp3]
かなしい | kanashii | sad | [sound:ic-nrkt-kanashii.mp3]
かんたん | kantan | simple; easy | [sound:ic-nrkt-kantan.mp3]
かたい | katai | hard | [sound:ic-nrkt-katai.mp3]
きびしい | kibishii | strict | [sound:ic-nrkt-kibishii.mp3]
きけん | kiken | danger | [sound:ic-nrkt-kiken.mp3]
こまかい | komakai | small, fine | [sound:ic-nrkt-komakai.mp3]
こわい | kowai | frightening | [sound:ic-nrkt-kowai.mp3]
きゅう | kyuu | sudden; abrupt; unexpected | [sound:ic-nrkt-kyuu.mp3]
めずらしい | mezurashii | unusual; rare | [sound:ic-nrkt-mezurashii.mp3]
むり | muri | impossible | [sound:ic-nrkt-muri.mp3]
ねむい | nemui | sleepy | [sound:ic-nrkt-nemui.mp3]
にがい | nigai | bitter | [sound:ic-nrkt-nigai.mp3]
おかしい | okashii | strange or funny | [sound:ic-nrkt-okashii.mp3]
さびしい | sabishii | lonely | [sound:ic-nrkt-sabishii.mp3]
さかん | sakan | popularity; prosperous | [sound:ic-nrkt-sakan.mp3]
しんせつ | shinsetsu | kindness | [sound:ic-nrkt-shinsetsu.mp3]
すばらしい | subarashii | wonderful | [sound:ic-nrkt-subarashii.mp3]
すごい | sugoi | terrific | [sound:ic-nrkt-sugoi.mp3]
ただしい | tadashii | right; correct | [sound:ic-nrkt-tadashii.mp3]
 | taitei | usually | [sound:ic-nrkt-taitei.mp3]
たのしみ | tanoshimi | looking forward to​ | [sound:ic-nrkt-tanoshimi.mp3]
ていねい | teinei | polite | [sound:ic-nrkt-teinei.mp3]
てきとう | tekitou | suitable | [sound:ic-nrkt-tekitou.mp3]
とくべつ | tokubetsu | special; particular; extraordinary; exceptional | [sound:ic-nrkt-tokubetsu.mp3]
うれしい | ureshii | happy | [sound:ic-nrkt-ureshii.mp3]
うつくしい | utsukushii | beautiful | [sound:ic-nrkt-utsukushii.mp3]
やさしい | yasashii | kind | [sound:ic-nrkt-yasashii.mp3]
やわらかい | yawarakai | soft | [sound:ic-nrkt-yawarakai.mp3]
ざんねん | zannen | regrettable; unfortunate | [sound:ic-nrkt-zannen.mp3]
