あぶない | abunai | dangerous | [sound:ic-nrkt-abunai.mp3]
あかい | akai | red; crimson; scarlet​ | [sound:ic-nrkt-akai.mp3]
あかるい | akarui | bright; light | [sound:ic-nrkt-akarui.mp3]
あまい | amai | sweet; sweet-tasting; sugary; naive; indulgent | [sound:ic-nrkt-amai.mp3]
あおい | aoi | blue; azure | [sound:ic-nrkt-aoi.mp3]
あたらしい | atarashii | new; novel; fresh; recent; latest | [sound:ic-nrkt-atarashii.mp3]
あたたかい | atatakai | warm | [sound:ic-nrkt-atatakai.mp3]
あつい | atsui | thick | [sound:ic-nrkt-atsui.mp3]
あつい | atsui | hot; sultry | [sound:ic-nrkt-atsui.mp3]
あつい | atsui | hot | [sound:ic-nrkt-atsui.mp3]
べんり | benri | convenient; handy; useful | [sound:ic-nrkt-benri.mp3]
ちいさい | chiisai | small; little; tiny | [sound:ic-nrkt-chiisai.mp3]
ちかい | chikai | near; close | [sound:ic-nrkt-chikai.mp3]
だいじょうぶ | daijoubu | OK; okay; alright; problem free | [sound:ic-nrkt-daijoubu.mp3]
だいすき | daisuki | love; like; like very much | [sound:ic-nrkt-daisuki.mp3]
ふるい | furui | old (not used for people) | [sound:ic-nrkt-furui.mp3]
ふとい | futoi | fat; thick | [sound:ic-nrkt-futoi.mp3]
げんき | genki | lively; full of spirit; energetic; healthy | [sound:ic-nrkt-genki.mp3]
はやい | hayai | fast; early | [sound:ic-nrkt-hayai.mp3]
はやい | hayai | fast; quick; hasty; brisk | [sound:ic-nrkt-hayai.mp3]
へた | heta | unskillful; poor; awkward​ | [sound:ic-nrkt-heta.mp3]
ひくい | hikui | short,low | [sound:ic-nrkt-hikui.mp3]
ひま | hima | free time | [sound:ic-nrkt-hima.mp3]
ひろい | hiroi | spacious; vast; wide | [sound:ic-nrkt-hiroi.mp3]
ほんとう | hontou | truth; reality; actuality; fact | [sound:ic-nrkt-hontou.mp3]
ほしい | hoshii | want | [sound:ic-nrkt-hoshii.mp3]
ほそい | hosoi | thin; slender | [sound:ic-nrkt-hosoi.mp3]
いろいろ | iroiro | various | [sound:ic-nrkt-iroiro.mp3]
いそがしい | isogashii | busy | [sound:ic-nrkt-isogashii.mp3]
いたい | itai | painful; sore​ | [sound:ic-nrkt-itai.mp3]
いや | iya | unpleasant | [sound:ic-nrkt-iya.mp3]
じょうぶ | joubu | strong, durable | [sound:ic-nrkt-joubu.mp3]
じょうず | jouzu | skillful; skilled; proficient; good (at) | [sound:ic-nrkt-jouzu.mp3]
からい | karai | spicy | [sound:ic-nrkt-karai.mp3]
かるい | karui | light | [sound:ic-nrkt-karui.mp3]
かわいい | kawaii | cute | [sound:ic-nrkt-kawaii.mp3]
けっこう | kekkou | splendid, enough | [sound:ic-nrkt-kekkou.mp3]
きいろい | kiiroi | yellow | [sound:ic-nrkt-kiiroi.mp3]
きらい | kirai | hate | [sound:ic-nrkt-kirai.mp3]
きれい | kirei | pretty; lovely; beautiful | [sound:ic-nrkt-kirei.mp3]
きたない | kitanai | dirty | [sound:ic-nrkt-kitanai.mp3]
くらい | kurai | dark; gloomy; murky | [sound:ic-nrkt-kurai.mp3]
くろい | kuroi | black | [sound:ic-nrkt-kuroi.mp3]
まるい | marui | round,circular | [sound:ic-nrkt-marui.mp3]
まっすぐ | massugu | straight ahead,direct | [sound:ic-nrkt-massugu.mp3]
まずい | mazui | unpleasant | [sound:ic-nrkt-mazui.mp3]
みじかい | mijikai | short | [sound:ic-nrkt-mijikai.mp3]
むずかしい | muzukashii | difficult | [sound:ic-nrkt-muzukashii.mp3]
ながい | nagai | long (distance)​;  long (time); lengthy. | [sound:ic-nrkt-nagai.mp3]
にぎやか | nigiyaka | bustling,busy | [sound:ic-nrkt-nigiyaka.mp3]
ぬるい | nurui | luke warm | [sound:ic-nrkt-nurui.mp3]
おいしい | oishii | delicious | [sound:ic-nrkt-oishii.mp3]
おもい | omoi | heavy | [sound:ic-nrkt-omoi.mp3]
おもしろい | omoshiroi | interesting | [sound:ic-nrkt-omoshiroi.mp3]
おおい | ooi | many; numerous; a lot; large quantity; frequent | [sound:ic-nrkt-ooi.mp3]
おおきい | ookii | big; large; great; important | [sound:ic-nrkt-ookii.mp3]
おそい | osoi | slow; time-consuming; late | [sound:ic-nrkt-osoi.mp3]
りっぱ | rippa | splendid | [sound:ic-nrkt-rippa.mp3]
さむい | samui | cold | [sound:ic-nrkt-samui.mp3]
せまい | semai | narrow | [sound:ic-nrkt-semai.mp3]
しろい | shiroi | white | [sound:ic-nrkt-shiroi.mp3]
しずか | shizuka | quiet | [sound:ic-nrkt-shizuka.mp3]
すき | suki | like | [sound:ic-nrkt-suki.mp3]
すくない | sukunai | few; a little; scarce; insufficient; seldom | [sound:ic-nrkt-sukunai.mp3]
すずしい | suzushii | refreshing, cool | [sound:ic-nrkt-suzushii.mp3]
たぶん | tabun | perhaps; probably | [sound:ic-nrkt-tabun.mp3]
たいへん | taihen | very; greatly; terribly; serious; difficult | [sound:ic-nrkt-taihen.mp3]
たいせつ | taisetsu | important; necessary; indispensable; beloved | [sound:ic-nrkt-taisetsu.mp3]
たかい | takai | high; tall; expensive; above average | [sound:ic-nrkt-takai.mp3]
たくさん | takusan | many | [sound:ic-nrkt-takusan.mp3]
たのしい | tanoshii | enjoyable; fun | [sound:ic-nrkt-tanoshii.mp3]
とおい | tooi | far | [sound:ic-nrkt-tooi.mp3]
つまらない | tsumaranai | boring | [sound:ic-nrkt-tsumaranai.mp3]
つめたい | tsumetai | cold to the touch | [sound:ic-nrkt-tsumetai.mp3]
つよい | tsuyoi | powerful | [sound:ic-nrkt-tsuyoi.mp3]
うるさい | urusai | noisy, annoying | [sound:ic-nrkt-urusai.mp3]
うすい | usui | thin; weak | [sound:ic-nrkt-usui.mp3]
