あまり | amari | so much… that | [sound:ic-nrkt-amari.mp3]
あまりにも | amari ni mo | too much; so much… that; excessively  ...  | [sound:ic-nrkt-amarinimo.mp3]
べつに ... ない | betsu ni ... nai | not really, not particularly | [sound:ic-nrkt-betsuni...nai.mp3]
どんなに ... ても | donna ni ... temo | no matter how (much) | [sound:ic-nrkt-donnani...temo.mp3]
どうしても | doushitemo | no matter what; at any cost; after all  ...  | [sound:ic-nrkt-doushitemo.mp3]
ふたたび | futatabi | again; once more; a second time | [sound:ic-nrkt-futatabi.mp3]
ふと | futo | suddenly; accidentally; unexpectedly; unintentionally  ...  | [sound:ic-nrkt-futo.mp3]
いちどに | ichido ni | all at once | [sound:ic-nrkt-ichidoni.mp3]
いがい | igai | unexpected; surprising | [sound:ic-nrkt-igai.mp3]
いくら ... ても | ikura ... temo | no matter how  ...  | [sound:ic-nrkt-ikura...temo.mp3]
いまに | imani | before long; even now | [sound:ic-nrkt-imani.mp3]
いまにも | imanimo | at any moment; at any minute; on the verge of | [sound:ic-nrkt-imanimo.mp3]
いっしゅ | isshu | species; kind; variety | [sound:ic-nrkt-isshu.mp3]
いっそう | issou | much more; still more; all the more; single layer; sooner; preferably​ | [sound:ic-nrkt-issou.mp3]
いったい | ittai | emphasis; what on earth; what in the world | [sound:ic-nrkt-ittai.mp3]
いったい | ittai | (what) the heck; (why) in the world | [sound:ic-nrkt-ittai.mp3]
かなにか | ka nani ka | or something  ...  | [sound:ic-nrkt-kananika.mp3]
けっきょく | kekkyoku | after all; eventually; in the end  ...  | [sound:ic-nrkt-kekkyoku.mp3]
けっして ... ない | kesshite ... nai | never; by no means  ...  | [sound:ic-nrkt-kesshite...nai.mp3]
きゅうに | kyuuni | swiftly; rapidly; quickly; immediately; hastily | [sound:ic-nrkt-kyuuni.mp3]
まんいち | manichi | emergency; unlikely event​; by some chance; by some possibility | [sound:ic-nrkt-manichi.mp3]
まるで | maru de | as if; as though; just like  ...  | [sound:ic-nrkt-marude.mp3]
めったに ... ない | metta ni ... nai | hardly; rarely; seldom | [sound:ic-nrkt-mettani...nai.mp3]
もしかしたら | moshika shitara | perhaps; maybe; perchance; by any chance  ...  | [sound:ic-nrkt-moshikashitara.mp3]
