どくしゃ | dokusha | reader | [sound:ic-nrkt-dokusha.mp3]
ききとり | kikitori | listening comprehension;  hearing what others say | [sound:ic-nrkt-kikitori.mp3]
こうばい | koubai | procurement; purchase; buying | [sound:ic-nrkt-koubai.mp3]
こうどく | koudoku | buying and reading (book, magazine, etc.); subscribing (newspaper) | [sound:ic-nrkt-koudoku.mp3]
こうにゅう | kounyuu | purchase; buy | [sound:ic-nrkt-kounyuu.mp3]
こうり | kouri | retail | [sound:ic-nrkt-kouri.mp3]
まえうり | maeuri | advance sale; booking | [sound:ic-nrkt-maeuri.mp3]
しんちく | shinchiku | new building; new construction | [sound:ic-nrkt-shinchiku.mp3]
しんじん | shinjin | new face; newcomer; rookie; fresh recruit | [sound:ic-nrkt-shinjin.mp3]
しんこん | shinkon | newly-wed; newly married | [sound:ic-nrkt-shinkon.mp3]
うりだし | uridashi | (bargain) sale | [sound:ic-nrkt-uridashi.mp3]
