あけがた | akegata | dawn | [sound:ic-nrkt-akegata.mp3]
あしあと | ashiato | footprints | [sound:ic-nrkt-ashiato.mp3]
ばいばい | baibai | trade; buying and selling | [sound:ic-nrkt-baibai.mp3]
ばいてん | baiten | stand; stall; booth; kiosk; store | [sound:ic-nrkt-baiten.mp3]
ぼしゅう | boshuu | recruitment; invitation; taking applications; solicitation | [sound:ic-nrkt-boshuu.mp3]
ちょうなん | chounan | eldest son; first-born son | [sound:ic-nrkt-chounan.mp3]
だえん | daen | ellipse | [sound:ic-nrkt-daen.mp3]
だいがくいん | daigakuin | graduate school | [sound:ic-nrkt-daigakuin.mp3]
でいりぐち | deiriguchi | exit and entrance | [sound:ic-nrkt-deiriguchi.mp3]
えんかい | enkai | party; banquet; reception; feast; dinner | [sound:ic-nrkt-enkai.mp3]
えんしゅう | enshuu | circumference | [sound:ic-nrkt-enshuu.mp3]
えんそく | ensoku | excursion; outing; trip | [sound:ic-nrkt-ensoku.mp3]
がっか | gakka | study subject; course of study​; department | [sound:ic-nrkt-gakka.mp3]
がっかい | gakkai | scientific society; academic meeting; academic conference | [sound:ic-nrkt-gakkai.mp3]
がくりょく | gakuryoku | scholarly ability; scholarship; knowledge; literary ability | [sound:ic-nrkt-gakuryoku.mp3]
げか | geka | surgery; department of surgery | [sound:ic-nrkt-geka.mp3]
はなび | hanabi | fireworks | [sound:ic-nrkt-hanabi.mp3]
はんけい | hankei | radius | [sound:ic-nrkt-hankei.mp3]
はんとう | hantou | peninsula | [sound:ic-nrkt-hantou.mp3]
はつばい | hatsubai | sale; release (for sale); launch (product) | [sound:ic-nrkt-hatsubai.mp3]
はやぐち | hayaguchi | fast-talking; rapid talking | [sound:ic-nrkt-hayaguchi.mp3]
ひるね | hirune | nap, siesta | [sound:ic-nrkt-hirune.mp3]
いじわる | ijiwaru | malicious; ill-tempered; unkind | [sound:ic-nrkt-ijiwaru.mp3]
いてん | iten | moving; relocation; change of address | [sound:ic-nrkt-iten.mp3]
じいん | ji'in | Buddhist temple; religious building | [sound:ic-nrkt-ji'in.mp3]
じんぶんかがく | jinbunkagaku | humanities; social sciences; liberal arts | [sound:ic-nrkt-jinbunkagaku.mp3]
じしゅう | jishuu | self-study; teaching oneself | [sound:ic-nrkt-jishuu.mp3]
じそく | jisoku | speed (per hour) | [sound:ic-nrkt-jisoku.mp3]
じっしゅう | jisshuu | practice; training; practical exercise; drill | [sound:ic-nrkt-jisshuu.mp3]
かはんすう | kahansuu | majority | [sound:ic-nrkt-kahansuu.mp3]
かいかい | kaikai | opening of a meeting; starting (an event, etc) | [sound:ic-nrkt-kaikai.mp3]
かいかん | kaikan | meeting hall; assembly hall | [sound:ic-nrkt-kaikan.mp3]
かいてん | kaiten | rotation; revolution; turning | [sound:ic-nrkt-kaiten.mp3]
かそく | kasoku | acceleration; speeding up | [sound:ic-nrkt-kasoku.mp3]
かそくど | kasokudo | acceleration | [sound:ic-nrkt-kasokudo.mp3]
けんがく | kengaku | study by observation; field trip; tour; review; inspection | [sound:ic-nrkt-kengaku.mp3]
こくおう | kokuou | king; queen; monarch; sovereign | [sound:ic-nrkt-kokuou.mp3]
こくりつ | kokuritsu | national | [sound:ic-nrkt-kokuritsu.mp3]
こくせき | kokuseki | nationality; citizenship | [sound:ic-nrkt-kokuseki.mp3]
こうしゃ | kousha | school building; schoolhouse | [sound:ic-nrkt-kousha.mp3]
こうてい | koutei | schoolyard; playground; school grounds; campus | [sound:ic-nrkt-koutei.mp3]
まちあいしつ | machiaishitsu | waiting room | [sound:ic-nrkt-machiaishitsu.mp3]
まどぐち | madoguchi | ticket window; teller window; counter | [sound:ic-nrkt-madoguchi.mp3]
まいど | maido | each time; always; often; thank you for your continued patronage​ | [sound:ic-nrkt-maido.mp3]
まっさお | massao | deep blue; bright blue​; ghastly pale; white as a sheet | [sound:ic-nrkt-massao.mp3]
まっしろ | masshiro | pure white; blank | [sound:ic-nrkt-masshiro.mp3]
めいし | meishi | business card | [sound:ic-nrkt-meishi.mp3]
みせや | miseya | store; shop | [sound:ic-nrkt-miseya.mp3]
もくざい | mokuzai | lumber; timber; wood | [sound:ic-nrkt-mokuzai.mp3]
ないか | naika | internal medicine | [sound:ic-nrkt-naika.mp3]
なみき | namiki | roadside tree; row of trees | [sound:ic-nrkt-namiki.mp3]
にゅうしゃ | nyuusha | joining a company | [sound:ic-nrkt-nyuusha.mp3]
りか | rika | science (department; course) | [sound:ic-nrkt-rika.mp3]
りょうしゅう | ryoushuu | receipt (of money); receiving | [sound:ic-nrkt-ryoushuu.mp3]
さしみ | sashimi | sashimi (raw sliced fish, shellfish or crustaceans) | [sound:ic-nrkt-sashimi.mp3]
せいしょうねん | seishounen | youth; young person | [sound:ic-nrkt-seishounen.mp3]
せきどう | sekidou | equator | [sound:ic-nrkt-sekidou.mp3]
しゃかいかがく | shakaikagaku | social science | [sound:ic-nrkt-shakaikagaku.mp3]
しゃせつ | shasetsu | editorial; leading article; leader | [sound:ic-nrkt-shasetsu.mp3]
しかい | shikai | master of ceremonies; leading a meeting; presenter; host | [sound:ic-nrkt-shikai.mp3]
しんかんせん | shinkansen | Japanese bullet train | [sound:ic-nrkt-shinkansen.mp3]
しらが | shiraga | white hair; grey hair | [sound:ic-nrkt-shiraga.mp3]
しぜんかがく | shizenkagaku | natural science | [sound:ic-nrkt-shizenkagaku.mp3]
しょてん | shoten | bookshop; bookstore | [sound:ic-nrkt-shoten.mp3]
しょうしゃ | shousha | trading company; firm | [sound:ic-nrkt-shousha.mp3]
しょうてん | shouten | shop; small store; business; firm | [sound:ic-nrkt-shouten.mp3]
しゅうごう | shuugou | gathering; assembly; meeting | [sound:ic-nrkt-shuugou.mp3]
しゅうじ | shuuji | calligraphy; penmanship | [sound:ic-nrkt-shuuji.mp3]
しゅうかい | shuukai | meeting; assembly; gathering; convention; rally | [sound:ic-nrkt-shuukai.mp3]
そぼ | sobo | father and mother; parents | [sound:ic-nrkt-sobo.mp3]
そくりょく | sokuryoku | speed | [sound:ic-nrkt-sokuryoku.mp3]
そくたつ | sokutatsu | express; special delivery | [sound:ic-nrkt-sokutatsu.mp3]
たび | tabi | Japanese socks (with split toe) | [sound:ic-nrkt-tabi.mp3]
とくばい | tokubai | special sale | [sound:ic-nrkt-tokubai.mp3]
とうめい | toumei | transparent; clear | [sound:ic-nrkt-toumei.mp3]
とうよう | touyou | Orient | [sound:ic-nrkt-touyou.mp3]
うれゆき | ureyuki | sales; demand | [sound:ic-nrkt-ureyuki.mp3]
うりあげ | uriage | amount sold; sales; proceeds; turnover | [sound:ic-nrkt-uriage.mp3]
うりきれ | urikire | sold out | [sound:ic-nrkt-urikire.mp3]
ようひんてん | youhinten | shop that handles Western-style apparel and accessories | [sound:ic-nrkt-youhinten.mp3]
ゆけつ | yuketsu | blood transfusion | [sound:ic-nrkt-yuketsu.mp3]
ゆそう | yusou | transport; transportation | [sound:ic-nrkt-yusou.mp3]
ざいもく | zaimoku | lumber; timber | [sound:ic-nrkt-zaimoku.mp3]
