ばかり | bakari | about, approximately  ...  | [sound:ic-nrkt-bakari.mp3]
ばかりか | bakari ka | not only ...  but also; as well as  ...  | [sound:ic-nrkt-bakarika.mp3]
どころか | dokoro ka | far from; anything but; let alone; not to mention; much less  ...  | [sound:ic-nrkt-dokoroka.mp3]
か ... ないかのうちに | ka ... nai ka no uchi ni | just as; right after; as soon as  ...  | [sound:ic-nrkt-ka...naikanouchini.mp3]
もの / もん | mono / mon | because; indicates reason/ excuse/ dissatisfaction | [sound:ic-nrkt-mono/mon.mp3]
ものか / もんか | mono ka / mon ka | as if (something untrue were actually true); there's no way  ...  | [sound:ic-nrkt-monoka/monka.mp3]
ものの | monono | but; although; even though  ...  | [sound:ic-nrkt-monono.mp3]
にて | nite | in, at, with, by (formal particle) | [sound:ic-nrkt-nite.mp3]
のみ | nomi | only; nothing but​ | [sound:ic-nrkt-nomi.mp3]
ては / では | tewa / dewa | whenever; if; when ... ; repetitive action | [sound:ic-nrkt-tewa/dewa.mp3]
ては ... ては | tewa ... tewa | repetitive situations/actions | [sound:ic-nrkt-tewa...tewa.mp3]
