ばいばい | baibai | trade; buying and selling | [sound:ic-nrkt-baibai.mp3]
ぼしゅう | boshuu | recruitment; invitation; taking applications; solicitation | [sound:ic-nrkt-boshuu.mp3]
えんそく | ensoku | excursion; outing; trip | [sound:ic-nrkt-ensoku.mp3]
はつばい | hatsubai | sale; release (for sale); launch (product) | [sound:ic-nrkt-hatsubai.mp3]
はずれる | hazureru | to be disconnected; to be off; to miss the mark | [sound:ic-nrkt-hazureru.mp3]
へいかい | heikai | closure (of a ceremony, event, meeting, etc.) | [sound:ic-nrkt-heikai.mp3]
ひるね | hirune | nap, siesta | [sound:ic-nrkt-hirune.mp3]
いじわる | ijiwaru | malicious; ill-tempered; unkind | [sound:ic-nrkt-ijiwaru.mp3]
いてん | iten | moving; relocation; change of address | [sound:ic-nrkt-iten.mp3]
じしゅう | jishuu | self-study; teaching oneself | [sound:ic-nrkt-jishuu.mp3]
じっしゅう | jisshuu | practice; training; practical exercise; drill | [sound:ic-nrkt-jisshuu.mp3]
かいかい | kaikai | opening of a meeting; starting (an event, etc) | [sound:ic-nrkt-kaikai.mp3]
かいてん | kaiten | rotation; revolution; turning | [sound:ic-nrkt-kaiten.mp3]
かそく | kasoku | acceleration; speeding up | [sound:ic-nrkt-kasoku.mp3]
けんがく | kengaku | study by observation; field trip; tour; review; inspection | [sound:ic-nrkt-kengaku.mp3]
ころがる | korogaru | to roll; to fall over; to lie down | [sound:ic-nrkt-korogaru.mp3]
ころがす | korogasu | to roll; to turn over | [sound:ic-nrkt-korogasu.mp3]
まちあわせる | machiawaseru | to rendezvous; to meet at a prearranged place and time; to arrange to meet | [sound:ic-nrkt-machiawaseru.mp3]
にゅうしゃ | nyuusha | joining a company | [sound:ic-nrkt-nyuusha.mp3]
おさえる | osaeru | to pin down; to hold down; to press down | [sound:ic-nrkt-osaeru.mp3]
りょうしゅう | ryoushuu | receipt (of money); receiving | [sound:ic-nrkt-ryoushuu.mp3]
ささる | sasaru | to stick into (with a sharp point); to prick; to get stuck (in); | [sound:ic-nrkt-sasaru.mp3]
さす | sasu | to pierce; to stab; to prick; to stick; to thrust; to sting | [sound:ic-nrkt-sasu.mp3]
しかい | shikai | master of ceremonies; leading a meeting; presenter; host | [sound:ic-nrkt-shikai.mp3]
しゅうごう | shuugou | gathering; assembly; meeting | [sound:ic-nrkt-shuugou.mp3]
しゅうかい | shuukai | meeting; assembly; gathering; convention; rally | [sound:ic-nrkt-shuukai.mp3]
そくたつ | sokutatsu | express; special delivery | [sound:ic-nrkt-sokutatsu.mp3]
たる | taru | to be sufficient; to be enough​; to be worth doing; to be worthy of; to deserve​ | [sound:ic-nrkt-taru.mp3]
とくばい | tokubai | special sale | [sound:ic-nrkt-tokubai.mp3]
うりきれる | urikireru | to be sold out | [sound:ic-nrkt-urikireru.mp3]
ゆけつ | yuketsu | blood transfusion | [sound:ic-nrkt-yuketsu.mp3]
ゆそう | yusou | transport; transportation | [sound:ic-nrkt-yusou.mp3]
