あがる | agaru | to rise | [sound:ic-nrkt-agaru.mp3]
あいさつ | aisatsu | to greet | [sound:ic-nrkt-aisatsu.mp3]
あんない | annai | to guide | [sound:ic-nrkt-annai.mp3]
あんしん | anshin | peace of mind | [sound:ic-nrkt-anshin.mp3]
 | arubaito | part-time job | [sound:ic-nrkt-arubaito.mp3]
あつまる | atsumaru | to gather; to collect; to assemble | [sound:ic-nrkt-atsumaru.mp3]
あつめる | atsumeru | to collect; to assemble; to gather | [sound:ic-nrkt-atsumeru.mp3]
あやまる | ayamaru | to apologize | [sound:ic-nrkt-ayamaru.mp3]
ぼうえき | boueki | trade | [sound:ic-nrkt-boueki.mp3]
 | chekku | to check | [sound:ic-nrkt-chekku.mp3]
ちゅうい | chuui | caution | [sound:ic-nrkt-chuui.mp3]
ちゅうしゃ | chuusha | injection | [sound:ic-nrkt-chuusha.mp3]
だんぼう | danbou | heating | [sound:ic-nrkt-danbou.mp3]
えんりょ | enryo | reserve; refraining | [sound:ic-nrkt-enryo.mp3]
えらぶ | erabu | to choose | [sound:ic-nrkt-erabu.mp3]
 | fakkusu | fax | [sound:ic-nrkt-fakkusu.mp3]
ふえる | fueru | to increase | [sound:ic-nrkt-fueru.mp3]
ふくしゅう | fukushuu | review (of learned material); revision | [sound:ic-nrkt-fukushuu.mp3]
ふむ | fumu | to step on | [sound:ic-nrkt-fumu.mp3]
ふりだす | furidasu | to start to rain | [sound:ic-nrkt-furidasu.mp3]
ふとる | futoru | to become fat | [sound:ic-nrkt-futoru.mp3]
げんいん | genin | cause | [sound:ic-nrkt-genin.mp3]
げしゅく | geshuku | lodging | [sound:ic-nrkt-geshuku.mp3]
 | gochisou | a feast | [sound:ic-nrkt-gochisou.mp3]
ごらんになる | goran ni naru | (respectful) to see | [sound:ic-nrkt-goranninaru.mp3]
はいけん | haiken | seeing; looking at​ | [sound:ic-nrkt-haiken.mp3]
はこぶ | hakobu | to carry | [sound:ic-nrkt-hakobu.mp3]
はなみ | hanami | cherry blossom viewing; flower viewing | [sound:ic-nrkt-hanami.mp3]
はんたい | hantai | opposition | [sound:ic-nrkt-hantai.mp3]
はらう | harau | to pay | [sound:ic-nrkt-harau.mp3]
はつおん | hatsuon | pronunciation | [sound:ic-nrkt-hatsuon.mp3]
へんじ | henji | reply; answer; response | [sound:ic-nrkt-henji.mp3]
ひえる | hieru | to grow cold | [sound:ic-nrkt-hieru.mp3]
ひかる | hikaru | to shine | [sound:ic-nrkt-hikaru.mp3]
ひきだす | hikidasu | to withdraw | [sound:ic-nrkt-hikidasu.mp3]
ひっこす | hikkosu | to move house | [sound:ic-nrkt-hikkosu.mp3]
ひらく | hiraku | to open; to undo; to unseal; to unpack | [sound:ic-nrkt-hiraku.mp3]
ひろう | hirou | to pick up | [sound:ic-nrkt-hirou.mp3]
ほめる | homeru | to praise | [sound:ic-nrkt-homeru.mp3]
ほんやく | honyaku | translation | [sound:ic-nrkt-honyaku.mp3]
ほうそう | housou | to broadcast | [sound:ic-nrkt-housou.mp3]
 | ijimeru | to tease | [sound:ic-nrkt-ijimeru.mp3]
いけん | iken | opinion; view; comment | [sound:ic-nrkt-iken.mp3]
いきる | ikiru | to live | [sound:ic-nrkt-ikiru.mp3]
いのる | inoru | to pray | [sound:ic-nrkt-inoru.mp3]
いそぐ | isogu | to hurry; to rush; to hasten; to make something happen sooner | [sound:ic-nrkt-isogu.mp3]
いただく | itadaku | (humble) to receive | [sound:ic-nrkt-itadaku.mp3]
いたす | itasu | (humble) to do | [sound:ic-nrkt-itasu.mp3]
じゅんび | junbi | to prepare | [sound:ic-nrkt-junbi.mp3]
かえる | kaeru | to change; to transform | [sound:ic-nrkt-kaeru.mp3]
かいぎ | kaigi | meeting; conference; session; assembly | [sound:ic-nrkt-kaigi.mp3]
かいわ | kaiwa | conversation | [sound:ic-nrkt-kaiwa.mp3]
かまう | kamau | to mind | [sound:ic-nrkt-kamau.mp3]
かむ | kamu | to bite,to chew | [sound:ic-nrkt-kamu.mp3]
かんがえる | kangaeru | to think | [sound:ic-nrkt-kangaeru.mp3]
かんけい | kankei | relationship | [sound:ic-nrkt-kankei.mp3]
かたづける | katadzukeru | to tidy up | [sound:ic-nrkt-katadzukeru.mp3]
かつ | katsu | to win | [sound:ic-nrkt-katsu.mp3]
かわく | kawaku | to get dry | [sound:ic-nrkt-kawaku.mp3]
かわる | kawaru | to change | [sound:ic-nrkt-kawaru.mp3]
かよう | kayou | to commute | [sound:ic-nrkt-kayou.mp3]
かざる | kazaru | to decorate | [sound:ic-nrkt-kazaru.mp3]
けが | kega | to injure | [sound:ic-nrkt-kega.mp3]
けいかく | keikaku | to plan | [sound:ic-nrkt-keikaku.mp3]
けいけん | keiken | to experience | [sound:ic-nrkt-keiken.mp3]
けんぶつ | kenbutsu | sightseeing; visit | [sound:ic-nrkt-kenbutsu.mp3]
けんか | kenka | to quarrel | [sound:ic-nrkt-kenka.mp3]
けんきゅう | kenkyuu | research | [sound:ic-nrkt-kenkyuu.mp3]
きこえる | kikoeru | to be heard; to be audible; to be said | [sound:ic-nrkt-kikoeru.mp3]
きまる | kimaru | to be decided | [sound:ic-nrkt-kimaru.mp3]
きめる | kimeru | to decide | [sound:ic-nrkt-kimeru.mp3]
こむ | komu | to be crowded | [sound:ic-nrkt-komu.mp3]
こしょう | koshou | to break-down | [sound:ic-nrkt-koshou.mp3]
こうぎ | kougi | lecture | [sound:ic-nrkt-kougi.mp3]
こわれる | kowareru | to be broken | [sound:ic-nrkt-kowareru.mp3]
こわす | kowasu | to break | [sound:ic-nrkt-kowasu.mp3]
くださる | kudasaru | (respectful) to give | [sound:ic-nrkt-kudasaru.mp3]
くらべる | kuraberu | to compare | [sound:ic-nrkt-kuraberu.mp3]
くれる | kureru | to get dark | [sound:ic-nrkt-kureru.mp3]
きょういく | kyouiku | education | [sound:ic-nrkt-kyouiku.mp3]
きょうそう | kyousou | competition | [sound:ic-nrkt-kyousou.mp3]
きゅうこう | kyuukou | hurrying (to somewhere); rushing; hastening | [sound:ic-nrkt-kyuukou.mp3]
まちがえる | machigaeru | to make a mistake (in) | [sound:ic-nrkt-machigaeru.mp3]
まいる | mairu | (humble) to go; to come | [sound:ic-nrkt-mairu.mp3]
まける | makeru | to lose | [sound:ic-nrkt-makeru.mp3]
まにあう | maniau | to be in time (for) | [sound:ic-nrkt-maniau.mp3]
まわる | mawaru | to go around | [sound:ic-nrkt-mawaru.mp3]
めしあがる | meshiagaru | to eat; to drink​ | [sound:ic-nrkt-meshiagaru.mp3]
みえる | mieru | to be seen; to be in sight; to look; to seem | [sound:ic-nrkt-mieru.mp3]
みつかる | mitsukaru | to be found; to be discovered | [sound:ic-nrkt-mitsukaru.mp3]
みつける | mitsukeru | to discover; to find; to come across; to detect; to spot | [sound:ic-nrkt-mitsukeru.mp3]
もどる | modoru | to turn back | [sound:ic-nrkt-modoru.mp3]
もうしあげる | moushiageru | to say; to offer | [sound:ic-nrkt-moushiageru.mp3]
もうす | mousu | to be called; to say | [sound:ic-nrkt-mousu.mp3]
むかえる | mukaeru | to go out to meet | [sound:ic-nrkt-mukaeru.mp3]
むかう | mukau | to head towards | [sound:ic-nrkt-mukau.mp3]
むり | muri | impossible | [sound:ic-nrkt-muri.mp3]
なげる | nageru | to throw or cast away | [sound:ic-nrkt-nageru.mp3]
なく | naku | to weep | [sound:ic-nrkt-naku.mp3]
なくなる | naku naru | to disappear; to get lost | [sound:ic-nrkt-nakunaru.mp3]
なくなる | nakunaru | to die | [sound:ic-nrkt-nakunaru.mp3]
なおる | naoru | to be fixed,to be repaired | [sound:ic-nrkt-naoru.mp3]
なおる | naoru | to be cured; to heal | [sound:ic-nrkt-naoru.mp3]
なれる | nareru | to get used to | [sound:ic-nrkt-nareru.mp3]
なる | naru | to sound | [sound:ic-nrkt-naru.mp3]
ねぼう | nebou | sleeping in late; oversleeping | [sound:ic-nrkt-nebou.mp3]
ねむる | nemuru | to sleep | [sound:ic-nrkt-nemuru.mp3]
にげる | nigeru | to escape | [sound:ic-nrkt-nigeru.mp3]
にる | niru | to be similar | [sound:ic-nrkt-niru.mp3]
のこる | nokoru | to remain | [sound:ic-nrkt-nokoru.mp3]
のりかえる | norikaeru | to change between buses or trains | [sound:ic-nrkt-norikaeru.mp3]
ぬれる | nureru | to get wet | [sound:ic-nrkt-nureru.mp3]
ぬる | nuru | to paint; to plaster | [sound:ic-nrkt-nuru.mp3]
ぬすむ | nusumu | to steal | [sound:ic-nrkt-nusumu.mp3]
にゅうがく | nyuugaku | entry to school or university; enrollment | [sound:ic-nrkt-nyuugaku.mp3]
にゅういん | nyuuin | hospitalization | [sound:ic-nrkt-nyuuin.mp3]
おちる | ochiru | to fall or drop | [sound:ic-nrkt-ochiru.mp3]
おどろく | odoroku | to be surprised | [sound:ic-nrkt-odoroku.mp3]
おどる | odoru | to dance | [sound:ic-nrkt-odoru.mp3]
おいでになる | oide ni naru | (respectful) to be | [sound:ic-nrkt-oideninaru.mp3]
おいわい | oiwai | congratulation | [sound:ic-nrkt-oiwai.mp3]
おこなう | okonau | to perform; to do; to carry out | [sound:ic-nrkt-okonau.mp3]
おこる | okoru | to be angry | [sound:ic-nrkt-okoru.mp3]
おこす | okosu | to wake | [sound:ic-nrkt-okosu.mp3]
おくれる | okureru | to be late | [sound:ic-nrkt-okureru.mp3]
おくる | okuru | to send | [sound:ic-nrkt-okuru.mp3]
おもいだす | omoidasu | to remember | [sound:ic-nrkt-omoidasu.mp3]
おれる | oreru | to break; to be broken | [sound:ic-nrkt-oreru.mp3]
おりる | oriru | to get off | [sound:ic-nrkt-oriru.mp3]
おる | oru | to break or to fold | [sound:ic-nrkt-oru.mp3]
おっしゃる | ossharu | (respectful) to say | [sound:ic-nrkt-ossharu.mp3]
おとす | otosu | to drop | [sound:ic-nrkt-otosu.mp3]
れいぼう | reibou | air conditioning | [sound:ic-nrkt-reibou.mp3]
れんらく | renraku | to contact; to get in touch​ | [sound:ic-nrkt-renraku.mp3]
りよう | riyou | use; utilization; application | [sound:ic-nrkt-riyou.mp3]
るす | rusu | absence | [sound:ic-nrkt-rusu.mp3]
さがる | sagaru | to get down | [sound:ic-nrkt-sagaru.mp3]
さがす | sagasu | to look for | [sound:ic-nrkt-sagasu.mp3]
さげる | sageru | to lower | [sound:ic-nrkt-sageru.mp3]
さしあげる | sashiageru | to give | [sound:ic-nrkt-sashiageru.mp3]
さわぐ | sawagu | to make noise,to be excited | [sound:ic-nrkt-sawagu.mp3]
さわる | sawaru | to touch | [sound:ic-nrkt-sawaru.mp3]
せいかつ | seikatsu | to live | [sound:ic-nrkt-seikatsu.mp3]
せいさん | seisan | production | [sound:ic-nrkt-seisan.mp3]
せんそう | sensou | war | [sound:ic-nrkt-sensou.mp3]
せつめい | setsumei | explanation | [sound:ic-nrkt-setsumei.mp3]
しあい | shiai | match,game | [sound:ic-nrkt-shiai.mp3]
しかる | shikaru | to scold | [sound:ic-nrkt-shikaru.mp3]
しけん | shiken | examination | [sound:ic-nrkt-shiken.mp3]
しっぱい | shippai | failure | [sound:ic-nrkt-shippai.mp3]
しらべる | shiraberu | to investigate | [sound:ic-nrkt-shiraberu.mp3]
しらせる | shiraseru | to notify | [sound:ic-nrkt-shiraseru.mp3]
しょうじる | shoujiru | to produce | [sound:ic-nrkt-shoujiru.mp3]
しょうかい | shoukai | introduction | [sound:ic-nrkt-shoukai.mp3]
そだてる | sodateru | to rear,to bring up | [sound:ic-nrkt-sodateru.mp3]
そつぎょう | sotsugyou | graduation | [sound:ic-nrkt-sotsugyou.mp3]
そうだん | soudan | to discuss | [sound:ic-nrkt-soudan.mp3]
すべる | suberu | to slide; to slip | [sound:ic-nrkt-suberu.mp3]
すいえい | suiei | swimming | [sound:ic-nrkt-suiei.mp3]
すく | suku | to be hungry | [sound:ic-nrkt-suku.mp3]
すむ | sumu | to finish | [sound:ic-nrkt-sumu.mp3]
すすむ | susumu | to make progress | [sound:ic-nrkt-susumu.mp3]
すてる | suteru | to throw away | [sound:ic-nrkt-suteru.mp3]
たいいん | tai'in | leaving hospital; discharge from hospital | [sound:ic-nrkt-tai'in.mp3]
たんじょう | tanjou | birth | [sound:ic-nrkt-tanjou.mp3]
たおれる | taoreru | to fall (over, down) | [sound:ic-nrkt-taoreru.mp3]
たりる | tariru | to be sufficient; to be enough | [sound:ic-nrkt-tariru.mp3]
たす | tasu | to add (numbers / something) | [sound:ic-nrkt-tasu.mp3]
たてる | tateru | to build | [sound:ic-nrkt-tateru.mp3]
たずねる | tazuneru | to visit | [sound:ic-nrkt-tazuneru.mp3]
たずねる | tazuneru | to ask | [sound:ic-nrkt-tazuneru.mp3]
てつだう | tetsudau | to help; to assist; to aid​ | [sound:ic-nrkt-tetsudau.mp3]
とどける | todokeru | to send​ | [sound:ic-nrkt-todokeru.mp3]
とまる | tomaru | to stay at | [sound:ic-nrkt-tomaru.mp3]
とめる | tomeru | to stop something | [sound:ic-nrkt-tomeru.mp3]
とおる | tooru | to go through | [sound:ic-nrkt-tooru.mp3]
とりかえる | torikaeru | to exchange; to swap; to replace | [sound:ic-nrkt-torikaeru.mp3]
つづける | tsudzukeru | to continue; to keep up; to keep on | [sound:ic-nrkt-tsudzukeru.mp3]
つづく | tsudzuku | to continue | [sound:ic-nrkt-tsudzuku.mp3]
つかまえる | tsukamaeru | to catch | [sound:ic-nrkt-tsukamaeru.mp3]
つける | tsukeru | to soak; to pickle | [sound:ic-nrkt-tsukeru.mp3]
つく | tsuku | to be attached | [sound:ic-nrkt-tsuku.mp3]
つれる | tsureru | to take (someone) with one | [sound:ic-nrkt-tsureru.mp3]
つる | tsuru | to fish | [sound:ic-nrkt-tsuru.mp3]
つたえる | tsutaeru | to report; to tell | [sound:ic-nrkt-tsutaeru.mp3]
つつむ | tsutsumu | to wrap | [sound:ic-nrkt-tsutsumu.mp3]
うえる | ueru | to plant; to grow | [sound:ic-nrkt-ueru.mp3]
うごく | ugoku | to move | [sound:ic-nrkt-ugoku.mp3]
うかがう | ukagau | to visit | [sound:ic-nrkt-ukagau.mp3]
うける | ukeru | to take a lesson or test | [sound:ic-nrkt-ukeru.mp3]
うつ | utsu | to hit | [sound:ic-nrkt-utsu.mp3]
うつる | utsuru | to move house or transfer | [sound:ic-nrkt-utsuru.mp3]
うつす | utsusu | to copy or photograph | [sound:ic-nrkt-utsusu.mp3]
わかれる | wakareru | to separate | [sound:ic-nrkt-wakareru.mp3]
わかす | wakasu | to boil; to heat | [sound:ic-nrkt-wakasu.mp3]
わく | waku | to boil | [sound:ic-nrkt-waku.mp3]
わらう | warau | to laugh; to smile | [sound:ic-nrkt-warau.mp3]
われる | wareru | to break | [sound:ic-nrkt-wareru.mp3]
やける | yakeru | to burn; to be roasted | [sound:ic-nrkt-yakeru.mp3]
やく | yaku | to bake; to grill | [sound:ic-nrkt-yaku.mp3]
やくにたつ | yakunitatsu | to be helpful | [sound:ic-nrkt-yakunitatsu.mp3]
やくそく | yakusoku | promise | [sound:ic-nrkt-yakusoku.mp3]
やむ | yamu | to stop | [sound:ic-nrkt-yamu.mp3]
やせる | yaseru | to become thin | [sound:ic-nrkt-yaseru.mp3]
よごれる | yogoreru | to get dirty | [sound:ic-nrkt-yogoreru.mp3]
よろこぶ | yorokobu | to be delighted | [sound:ic-nrkt-yorokobu.mp3]
よる | yoru | to visit; to drop by | [sound:ic-nrkt-yoru.mp3]
よしゅう | yoshuu | preparation for a lesson | [sound:ic-nrkt-yoshuu.mp3]
よてい | yotei | plan | [sound:ic-nrkt-yotei.mp3]
ようい | youi | preparation; arrangements; provision; getting ready | [sound:ic-nrkt-youi.mp3]
よやく | yoyaku | reservation | [sound:ic-nrkt-yoyaku.mp3]
ゆれる | yureru | to shake | [sound:ic-nrkt-yureru.mp3]
