だに / だにしない | dani / dani shinai | even; not even ... |  | [sound:ic_ttmp3_dani-danishinai.mp3]
だの...だの | dano...dano | and; and the like; and so forth ... |  | [sound:ic_ttmp3_dano-dano.mp3]
がはやいか | ga hayai ka | no sooner than; as soon as ... |  | [sound:ic_ttmp3_gahayaika.mp3]
こそあれ | koso are | although; even though ... |  | [sound:ic_ttmp3_kosoare.mp3]
こそすれ | koso sure | and; although; but ... |  | [sound:ic_ttmp3_kososure.mp3]
こそ...が / けれど  | koso...ga/keredo | but; although (emphasis) |  | [sound:ic_ttmp3_koso-ga-keredo.mp3]
もので | mono de | because; for that reason |  | [sound:ic_ttmp3_monode.mp3]
なり | nari | as soon as; right after ... |  | [sound:ic_ttmp3_nari.mp3]
なりとも | nari tomo | at least; even just a little (adverbial particle) |  | [sound:ic_ttmp3_naritomo.mp3]
なり...なり | nari...nari | [A] or [B] or something; for instance ... |  | [sound:ic_ttmp3_nari-nari.mp3]
に | ni | and; in addition to; the combination of ... |  | [sound:ic_ttmp3_ni.mp3]
のやら...のやら | no yara...no yara | or ... (I don't know) |  | [sound:ic_ttmp3_noyara-noyara.mp3]
さ | sa | ending particle; indicates assertion |  | [sound:ic_ttmp3_sa.mp3]
すら / ですら | sura / de sura | even ... (with emphasis) |  | [sound:ic_ttmp3_sura-desura.mp3]
ただ...のみだ | tada...nomi da | all we can do is; can do nothing but; only ... |  | [sound:ic_ttmp3_tada-nomida.mp3]
たらさいご / たがさいご | tara saigo / taga saigo | if you do... negative result |  | [sound:ic_ttmp3_tarasaigo-tagasaigo.mp3]
たら...たで | tara...tade | if / in the case... of course / should ... |  | [sound:ic_ttmp3_tara-tade.mp3]
たら...ところだ | tara...tokoro da | if... (counterfactual condition), then would be ... |  | [sound:ic_ttmp3_tara-tokoroda.mp3]
ところを | tokoro o | although (it is a certain time/condition); even though normally |  | [sound:ic_ttmp3_tokoroo.mp3]
とて | tote | even; even if/though ... |  | [sound:ic_ttmp3_tote.mp3]
とは | towa | I didn't know; I was surprised that; the fact that ... |  | [sound:ic_ttmp3_towa.mp3]
ってば / ったら | tteba / ttara | speaking of; I told you already; come on (annoyance / dissatisfaction) |  | [sound:ic_ttmp3_tteba-ttara.mp3]
わ | wa | feminine sentence ending particle |  | [sound:ic_ttmp3_wa.mp3]
わ...わで | wa...wade | and (listing negative things happening at the same time) |  | [sound:ic_ttmp3_wa-wade.mp3]
やいなや | ya ina ya | as soon as; the moment ... |  | [sound:ic_ttmp3_yainaya.mp3]
やれ...やれ | yare...yare | pattern to give two representative examples (usually negative) |  | [sound:ic_ttmp3_yare-yare.mp3]
ぞ / ぜ | zo / ze | ending particle; adds force or indicates command |  | [sound:ic_ttmp3_zo-ze.mp3]
