あきらか | akiraka | clear; obvious | [sound:ic_nrkt_akiraka.mp3]
あらた | arata | new; fresh; novel | [sound:ic_nrkt_arata.mp3]
だめ | dame | no good; cannot | [sound:ic_nrkt_dame.mp3]
どういつ | douitsu | identical; same; one and the same; equal | [sound:ic_nrkt_douitsu.mp3]
ふり | furi | disadvantage; handicap; unfavorable position | [sound:ic_nrkt_furi.mp3]
ふそく | fusoku | insufficiency; shortage; deficiency; lack; dearth | [sound:ic_nrkt_fusoku.mp3]
はげしい | hageshii | violent; extreme; intense | [sound:ic_nrkt_hageshii.mp3]
はつめい | hatsumei | invention | [sound:ic_nrkt_hatsumei.mp3]
いがい | igai | unexpected; surprising | [sound:ic_nrkt_igai.mp3]
いっぱん | ippan | general; universal; ordinary; average; common | [sound:ic_nrkt_ippan.mp3]
じゃま | jama | hindrance | [sound:ic_nrkt_jama.mp3]
かいがい | kaigai | foreign; abroad; overseas | [sound:ic_nrkt_kaigai.mp3]
こうそく | kousoku | high-speed; rapid; express | [sound:ic_nrkt_kousoku.mp3]
きょうりょく | kyouryoku | powerful; strong | [sound:ic_nrkt_kyouryoku.mp3]
きゅうげき | kyuugeki | sudden; abrupt; rapid; sharp; drastic; radical | [sound:ic_nrkt_kyuugeki.mp3]
きゅうそく | kyuusoku | rapid (e.g. progress) | [sound:ic_nrkt_kyuusoku.mp3]
まじめ | majime | serious; earnest | [sound:ic_nrkt_majime.mp3]
まっか | makka | bright red; deep red; flushed (of face) | [sound:ic_nrkt_makka.mp3]
まんぞく | manzoku | satisfaction; contentment;​ sufficient; enough | [sound:ic_nrkt_manzoku.mp3]
めいかく | meikaku | clear; precise; definite; distinct | [sound:ic_nrkt_meikaku.mp3]
ねっしん | nesshin | enthusiastic; eager | [sound:ic_nrkt_nesshin.mp3]
りこう | rikou | clever; intelligent; wise; bright; sharp | [sound:ic_nrkt_rikou.mp3]
しんせん | shinsen | fresh | [sound:ic_nrkt_shinsen.mp3]
うまい | umai | skillful; delicious | [sound:ic_nrkt_umai.mp3]
よろしい | yoroshii | (respectful) OK; all right | [sound:ic_nrkt_yoroshii.mp3]
ゆうり | yuuri | advantageous; favorable; profitable | [sound:ic_nrkt_yuuri.mp3]
ずいぶん | zuibun | very; extremely; surprisingly; considerably; awfully | [sound:ic_nrkt_zuibun.mp3]
