あんしん | anshin | peace of mind | [sound:ic_nrkt_anshin.mp3]
あんぜん | anzen | safety; security​ | [sound:ic_nrkt_anzen.mp3]
あさい | asai | shallow | [sound:ic_nrkt_asai.mp3]
だいじ | daiji | important; serious; crucial | [sound:ic_nrkt_daiji.mp3]
ふべん | fuben | inconvenience | [sound:ic_nrkt_fuben.mp3]
ふかい | fukai | deep | [sound:ic_nrkt_fukai.mp3]
ふくざつ | fukuzatsu | complexity; complication | [sound:ic_nrkt_fukuzatsu.mp3]
はんたい | hantai | opposition | [sound:ic_nrkt_hantai.mp3]
はずかしい | hazukashii | embarrassed | [sound:ic_nrkt_hazukashii.mp3]
へん | hen | strange; peculiar; weird | [sound:ic_nrkt_hen.mp3]
ひどい | hidoi | terrible; awful​ | [sound:ic_nrkt_hidoi.mp3]
ひさしぶり | hisashiburi | after a long time | [sound:ic_nrkt_hisashiburi.mp3]
 | ippai | full | [sound:ic_nrkt_ippai.mp3]
いっしょうけんめい | isshoukenmei | very hard; with utmost effort | [sound:ic_nrkt_isshoukenmei.mp3]
じゆう | jiyuu | freedom | [sound:ic_nrkt_jiyuu.mp3]
じゅうぶん | juubun | enough; sufficient; plenty; adequate; satisfactory | [sound:ic_nrkt_juubun.mp3]
かなしい | kanashii | sad | [sound:ic_nrkt_kanashii.mp3]
かんたん | kantan | simple; easy | [sound:ic_nrkt_kantan.mp3]
かたい | katai | hard | [sound:ic_nrkt_katai.mp3]
きびしい | kibishii | strict | [sound:ic_nrkt_kibishii.mp3]
きけん | kiken | danger | [sound:ic_nrkt_kiken.mp3]
こまかい | komakai | small, fine | [sound:ic_nrkt_komakai.mp3]
こわい | kowai | frightening | [sound:ic_nrkt_kowai.mp3]
きゅう | kyuu | sudden; abrupt; unexpected | [sound:ic_nrkt_kyuu.mp3]
めずらしい | mezurashii | unusual; rare | [sound:ic_nrkt_mezurashii.mp3]
むり | muri | impossible | [sound:ic_nrkt_muri.mp3]
ねむい | nemui | sleepy | [sound:ic_nrkt_nemui.mp3]
にがい | nigai | bitter | [sound:ic_nrkt_nigai.mp3]
おかしい | okashii | strange or funny | [sound:ic_nrkt_okashii.mp3]
さびしい | sabishii | lonely | [sound:ic_nrkt_sabishii.mp3]
さかん | sakan | popularity; prosperous | [sound:ic_nrkt_sakan.mp3]
しんせつ | shinsetsu | kindness | [sound:ic_nrkt_shinsetsu.mp3]
すばらしい | subarashii | wonderful | [sound:ic_nrkt_subarashii.mp3]
すごい | sugoi | terrific | [sound:ic_nrkt_sugoi.mp3]
ただしい | tadashii | right; correct | [sound:ic_nrkt_tadashii.mp3]
 | taitei | usually | [sound:ic_nrkt_taitei.mp3]
たのしみ | tanoshimi | looking forward to​ | [sound:ic_nrkt_tanoshimi.mp3]
ていねい | teinei | polite | [sound:ic_nrkt_teinei.mp3]
てきとう | tekitou | suitable | [sound:ic_nrkt_tekitou.mp3]
とくべつ | tokubetsu | special; particular; extraordinary; exceptional | [sound:ic_nrkt_tokubetsu.mp3]
うれしい | ureshii | happy | [sound:ic_nrkt_ureshii.mp3]
うつくしい | utsukushii | beautiful | [sound:ic_nrkt_utsukushii.mp3]
やさしい | yasashii | kind | [sound:ic_nrkt_yasashii.mp3]
やわらかい | yawarakai | soft | [sound:ic_nrkt_yawarakai.mp3]
ざんねん | zannen | regrettable; unfortunate | [sound:ic_nrkt_zannen.mp3]
