あぶない | abunai | dangerous | [sound:ic_nrkt_abunai.mp3]
あかい | akai | red; crimson; scarlet​ | [sound:ic_nrkt_akai.mp3]
あかるい | akarui | bright; light | [sound:ic_nrkt_akarui.mp3]
あまい | amai | sweet; sweet-tasting; sugary; naive; indulgent | [sound:ic_nrkt_amai.mp3]
あおい | aoi | blue; azure | [sound:ic_nrkt_aoi.mp3]
あたらしい | atarashii | new; novel; fresh; recent; latest | [sound:ic_nrkt_atarashii.mp3]
あたたかい | atatakai | warm | [sound:ic_nrkt_atatakai.mp3]
あつい | atsui | thick | [sound:ic_nrkt_atsui.mp3]
あつい | atsui | hot; sultry | [sound:ic_nrkt_atsui.mp3]
あつい | atsui | hot | [sound:ic_nrkt_atsui.mp3]
べんり | benri | convenient; handy; useful | [sound:ic_nrkt_benri.mp3]
ちいさい | chiisai | small; little; tiny | [sound:ic_nrkt_chiisai.mp3]
ちかい | chikai | near; close | [sound:ic_nrkt_chikai.mp3]
だいじょうぶ | daijoubu | OK; okay; alright; problem free | [sound:ic_nrkt_daijoubu.mp3]
だいすき | daisuki | love; like; like very much | [sound:ic_nrkt_daisuki.mp3]
ふるい | furui | old (not used for people) | [sound:ic_nrkt_furui.mp3]
ふとい | futoi | fat; thick | [sound:ic_nrkt_futoi.mp3]
げんき | genki | lively; full of spirit; energetic; healthy | [sound:ic_nrkt_genki.mp3]
はやい | hayai | fast; early | [sound:ic_nrkt_hayai.mp3]
はやい | hayai | fast; quick; hasty; brisk | [sound:ic_nrkt_hayai.mp3]
へた | heta | unskillful; poor; awkward​ | [sound:ic_nrkt_heta.mp3]
ひくい | hikui | short,low | [sound:ic_nrkt_hikui.mp3]
ひま | hima | free time | [sound:ic_nrkt_hima.mp3]
ひろい | hiroi | spacious; vast; wide | [sound:ic_nrkt_hiroi.mp3]
ほんとう | hontou | truth; reality; actuality; fact | [sound:ic_nrkt_hontou.mp3]
ほしい | hoshii | want | [sound:ic_nrkt_hoshii.mp3]
ほそい | hosoi | thin; slender | [sound:ic_nrkt_hosoi.mp3]
いろいろ | iroiro | various | [sound:ic_nrkt_iroiro.mp3]
いそがしい | isogashii | busy | [sound:ic_nrkt_isogashii.mp3]
いたい | itai | painful; sore​ | [sound:ic_nrkt_itai.mp3]
いや | iya | unpleasant | [sound:ic_nrkt_iya.mp3]
じょうぶ | joubu | strong, durable | [sound:ic_nrkt_joubu.mp3]
じょうず | jouzu | skillful; skilled; proficient; good (at) | [sound:ic_nrkt_jouzu.mp3]
からい | karai | spicy | [sound:ic_nrkt_karai.mp3]
かるい | karui | light | [sound:ic_nrkt_karui.mp3]
かわいい | kawaii | cute | [sound:ic_nrkt_kawaii.mp3]
けっこう | kekkou | splendid, enough | [sound:ic_nrkt_kekkou.mp3]
きいろい | kiiroi | yellow | [sound:ic_nrkt_kiiroi.mp3]
きらい | kirai | hate | [sound:ic_nrkt_kirai.mp3]
きれい | kirei | pretty; lovely; beautiful | [sound:ic_nrkt_kirei.mp3]
きたない | kitanai | dirty | [sound:ic_nrkt_kitanai.mp3]
くらい | kurai | dark; gloomy; murky | [sound:ic_nrkt_kurai.mp3]
くろい | kuroi | black | [sound:ic_nrkt_kuroi.mp3]
まるい | marui | round,circular | [sound:ic_nrkt_marui.mp3]
まっすぐ | massugu | straight ahead,direct | [sound:ic_nrkt_massugu.mp3]
まずい | mazui | unpleasant | [sound:ic_nrkt_mazui.mp3]
みじかい | mijikai | short | [sound:ic_nrkt_mijikai.mp3]
むずかしい | muzukashii | difficult | [sound:ic_nrkt_muzukashii.mp3]
ながい | nagai | long (distance)​;  long (time); lengthy. | [sound:ic_nrkt_nagai.mp3]
にぎやか | nigiyaka | bustling,busy | [sound:ic_nrkt_nigiyaka.mp3]
ぬるい | nurui | luke warm | [sound:ic_nrkt_nurui.mp3]
おいしい | oishii | delicious | [sound:ic_nrkt_oishii.mp3]
おもい | omoi | heavy | [sound:ic_nrkt_omoi.mp3]
おもしろい | omoshiroi | interesting | [sound:ic_nrkt_omoshiroi.mp3]
おおい | ooi | many; numerous; a lot; large quantity; frequent | [sound:ic_nrkt_ooi.mp3]
おおきい | ookii | big; large; great; important | [sound:ic_nrkt_ookii.mp3]
おそい | osoi | slow; time-consuming; late | [sound:ic_nrkt_osoi.mp3]
りっぱ | rippa | splendid | [sound:ic_nrkt_rippa.mp3]
さむい | samui | cold | [sound:ic_nrkt_samui.mp3]
せまい | semai | narrow | [sound:ic_nrkt_semai.mp3]
しろい | shiroi | white | [sound:ic_nrkt_shiroi.mp3]
しずか | shizuka | quiet | [sound:ic_nrkt_shizuka.mp3]
すき | suki | like | [sound:ic_nrkt_suki.mp3]
すくない | sukunai | few; a little; scarce; insufficient; seldom | [sound:ic_nrkt_sukunai.mp3]
すずしい | suzushii | refreshing, cool | [sound:ic_nrkt_suzushii.mp3]
たぶん | tabun | perhaps; probably | [sound:ic_nrkt_tabun.mp3]
たいへん | taihen | very; greatly; terribly; serious; difficult | [sound:ic_nrkt_taihen.mp3]
たいせつ | taisetsu | important; necessary; indispensable; beloved | [sound:ic_nrkt_taisetsu.mp3]
たかい | takai | high; tall; expensive; above average | [sound:ic_nrkt_takai.mp3]
たくさん | takusan | many | [sound:ic_nrkt_takusan.mp3]
たのしい | tanoshii | enjoyable; fun | [sound:ic_nrkt_tanoshii.mp3]
とおい | tooi | far | [sound:ic_nrkt_tooi.mp3]
つまらない | tsumaranai | boring | [sound:ic_nrkt_tsumaranai.mp3]
つめたい | tsumetai | cold to the touch | [sound:ic_nrkt_tsumetai.mp3]
つよい | tsuyoi | powerful | [sound:ic_nrkt_tsuyoi.mp3]
うるさい | urusai | noisy, annoying | [sound:ic_nrkt_urusai.mp3]
うすい | usui | thin; weak | [sound:ic_nrkt_usui.mp3]
