あまり | amari | so much… that | [sound:ic_nrkt_amari.mp3]
あまりにも | amari ni mo | too much; so much… that; excessively  ...  | [sound:ic_nrkt_amarinimo.mp3]
べつに ... ない | betsu ni ... nai | not really, not particularly | [sound:ic_nrkt_betsuni...nai.mp3]
どんなに ... ても | donna ni ... temo | no matter how (much) | [sound:ic_nrkt_donnani...temo.mp3]
どうしても | doushitemo | no matter what; at any cost; after all  ...  | [sound:ic_nrkt_doushitemo.mp3]
ふたたび | futatabi | again; once more; a second time | [sound:ic_nrkt_futatabi.mp3]
ふと | futo | suddenly; accidentally; unexpectedly; unintentionally  ...  | [sound:ic_nrkt_futo.mp3]
いちどに | ichido ni | all at once | [sound:ic_nrkt_ichidoni.mp3]
いがい | igai | unexpected; surprising | [sound:ic_nrkt_igai.mp3]
いくら ... ても | ikura ... temo | no matter how  ...  | [sound:ic_nrkt_ikura...temo.mp3]
いまに | imani | before long; even now | [sound:ic_nrkt_imani.mp3]
いまにも | imanimo | at any moment; at any minute; on the verge of | [sound:ic_nrkt_imanimo.mp3]
いっしゅ | isshu | species; kind; variety | [sound:ic_nrkt_isshu.mp3]
いっそう | issou | much more; still more; all the more; single layer; sooner; preferably​ | [sound:ic_nrkt_issou.mp3]
いったい | ittai | emphasis; what on earth; what in the world | [sound:ic_nrkt_ittai.mp3]
いったい | ittai | (what) the heck; (why) in the world | [sound:ic_nrkt_ittai.mp3]
かなにか | ka nani ka | or something  ...  | [sound:ic_nrkt_kananika.mp3]
けっきょく | kekkyoku | after all; eventually; in the end  ...  | [sound:ic_nrkt_kekkyoku.mp3]
けっして ... ない | kesshite ... nai | never; by no means  ...  | [sound:ic_nrkt_kesshite...nai.mp3]
きゅうに | kyuuni | swiftly; rapidly; quickly; immediately; hastily | [sound:ic_nrkt_kyuuni.mp3]
まんいち | manichi | emergency; unlikely event​; by some chance; by some possibility | [sound:ic_nrkt_manichi.mp3]
まるで | maru de | as if; as though; just like  ...  | [sound:ic_nrkt_marude.mp3]
めったに ... ない | metta ni ... nai | hardly; rarely; seldom | [sound:ic_nrkt_mettani...nai.mp3]
もしかしたら | moshika shitara | perhaps; maybe; perchance; by any chance  ...  | [sound:ic_nrkt_moshikashitara.mp3]
