ちょっと | chotto | a little | [sound:ic_nrkt_chotto.mp3]
ちょうど | choudo | exactly | [sound:ic_nrkt_choudo.mp3]
だいじょうぶ | daijoubu | OK; okay; alright; problem free | [sound:ic_nrkt_daijoubu.mp3]
だんだん | dandan | gradually | [sound:ic_nrkt_dandan.mp3]
どう | dou | how; in what way; how about​ | [sound:ic_nrkt_dou.mp3]
どうも | doumo | thank you; thanks | [sound:ic_nrkt_doumo.mp3]
どうして | doushite | why; for what reason; how | [sound:ic_nrkt_doushite.mp3]
どうぞ | douzo | please | [sound:ic_nrkt_douzo.mp3]
はじめて | hajimete | for the first time | [sound:ic_nrkt_hajimete.mp3]
ひとり | hitori | one person​; alone; single | [sound:ic_nrkt_hitori.mp3]
いちばん | ichiban | number one; first; 1st, first place​; best; most​ | [sound:ic_nrkt_ichiban.mp3]
いかが | ikaga | how; in what way; how about​ | [sound:ic_nrkt_ikaga.mp3]
いくら | ikura | how much?; how many?​ | [sound:ic_nrkt_ikura.mp3]
いくつ | ikutsu | how many?,how old? | [sound:ic_nrkt_ikutsu.mp3]
いろいろ | iroiro | various | [sound:ic_nrkt_iroiro.mp3]
いっしょに | issho ni | together | [sound:ic_nrkt_isshoni.mp3]
いつも | itsumo | always; usually; habitually | [sound:ic_nrkt_itsumo.mp3]
けっこう | kekkou | splendid, enough | [sound:ic_nrkt_kekkou.mp3]
まだ | mada | still; not yet | [sound:ic_nrkt_mada.mp3]
まだ ... ていません | mada  ... te imasen | have not yet  ...  | [sound:ic_nrkt_mada...teimasen.mp3]
まえに | mae ni | before; in front of  ...  | [sound:ic_nrkt_maeni.mp3]
まっすぐ | massugu | straight ahead,direct | [sound:ic_nrkt_massugu.mp3]
みんな | minna | all; everyone; everybody | [sound:ic_nrkt_minna.mp3]
もっと | motto | more; longer; further | [sound:ic_nrkt_motto.mp3]
もう | mou | already; anymore; again; other | [sound:ic_nrkt_mou.mp3]
なぜ | naze | why; how | [sound:ic_nrkt_naze.mp3]
おなじ | onaji | same | [sound:ic_nrkt_onaji.mp3]
すぐに  | sugu ni | immediately; right away; instantly​ | [sound:ic_nrkt_suguni.mp3]
すこし | sukoshi | a little (bit); small quantity; few; short distance | [sound:ic_nrkt_sukoshi.mp3]
たぶん | tabun | perhaps; probably | [sound:ic_nrkt_tabun.mp3]
たいへん | taihen | very; greatly; terribly; serious; difficult | [sound:ic_nrkt_taihen.mp3]
ときどき | tokidoki | sometimes; at times | [sound:ic_nrkt_tokidoki.mp3]
とても | totemo | very; awfully; exceedingly​ | [sound:ic_nrkt_totemo.mp3]
よく | yoku | often, well | [sound:ic_nrkt_yoku.mp3]
ゆっくり | yukkuri | slowly | [sound:ic_nrkt_yukkuri.mp3]
