どくしゃ | dokusha | reader | [sound:ic_nrkt_dokusha.mp3]
ききとり | kikitori | listening comprehension;  hearing what others say | [sound:ic_nrkt_kikitori.mp3]
こうばい | koubai | procurement; purchase; buying | [sound:ic_nrkt_koubai.mp3]
こうどく | koudoku | buying and reading (book, magazine, etc.); subscribing (newspaper) | [sound:ic_nrkt_koudoku.mp3]
こうにゅう | kounyuu | purchase; buy | [sound:ic_nrkt_kounyuu.mp3]
こうり | kouri | retail | [sound:ic_nrkt_kouri.mp3]
まえうり | maeuri | advance sale; booking | [sound:ic_nrkt_maeuri.mp3]
しんちく | shinchiku | new building; new construction | [sound:ic_nrkt_shinchiku.mp3]
しんじん | shinjin | new face; newcomer; rookie; fresh recruit | [sound:ic_nrkt_shinjin.mp3]
しんこん | shinkon | newly-wed; newly married | [sound:ic_nrkt_shinkon.mp3]
うりだし | uridashi | (bargain) sale | [sound:ic_nrkt_uridashi.mp3]
