あけがた | akegata | dawn | [sound:ic_nrkt_akegata.mp3]
あしあと | ashiato | footprints | [sound:ic_nrkt_ashiato.mp3]
ばいばい | baibai | trade; buying and selling | [sound:ic_nrkt_baibai.mp3]
ばいてん | baiten | stand; stall; booth; kiosk; store | [sound:ic_nrkt_baiten.mp3]
ぼしゅう | boshuu | recruitment; invitation; taking applications; solicitation | [sound:ic_nrkt_boshuu.mp3]
ちょうなん | chounan | eldest son; first-born son | [sound:ic_nrkt_chounan.mp3]
だえん | daen | ellipse | [sound:ic_nrkt_daen.mp3]
だいがくいん | daigakuin | graduate school | [sound:ic_nrkt_daigakuin.mp3]
でいりぐち | deiriguchi | exit and entrance | [sound:ic_nrkt_deiriguchi.mp3]
えんかい | enkai | party; banquet; reception; feast; dinner | [sound:ic_nrkt_enkai.mp3]
えんしゅう | enshuu | circumference | [sound:ic_nrkt_enshuu.mp3]
えんそく | ensoku | excursion; outing; trip | [sound:ic_nrkt_ensoku.mp3]
がっか | gakka | study subject; course of study​; department | [sound:ic_nrkt_gakka.mp3]
がっかい | gakkai | scientific society; academic meeting; academic conference | [sound:ic_nrkt_gakkai.mp3]
がくりょく | gakuryoku | scholarly ability; scholarship; knowledge; literary ability | [sound:ic_nrkt_gakuryoku.mp3]
げか | geka | surgery; department of surgery | [sound:ic_nrkt_geka.mp3]
はなび | hanabi | fireworks | [sound:ic_nrkt_hanabi.mp3]
はんけい | hankei | radius | [sound:ic_nrkt_hankei.mp3]
はんとう | hantou | peninsula | [sound:ic_nrkt_hantou.mp3]
はつばい | hatsubai | sale; release (for sale); launch (product) | [sound:ic_nrkt_hatsubai.mp3]
はやぐち | hayaguchi | fast-talking; rapid talking | [sound:ic_nrkt_hayaguchi.mp3]
ひるね | hirune | nap, siesta | [sound:ic_nrkt_hirune.mp3]
いじわる | ijiwaru | malicious; ill-tempered; unkind | [sound:ic_nrkt_ijiwaru.mp3]
いてん | iten | moving; relocation; change of address | [sound:ic_nrkt_iten.mp3]
じいん | ji'in | Buddhist temple; religious building | [sound:ic_nrkt_ji'in.mp3]
じんぶんかがく | jinbunkagaku | humanities; social sciences; liberal arts | [sound:ic_nrkt_jinbunkagaku.mp3]
じしゅう | jishuu | self-study; teaching oneself | [sound:ic_nrkt_jishuu.mp3]
じそく | jisoku | speed (per hour) | [sound:ic_nrkt_jisoku.mp3]
じっしゅう | jisshuu | practice; training; practical exercise; drill | [sound:ic_nrkt_jisshuu.mp3]
かはんすう | kahansuu | majority | [sound:ic_nrkt_kahansuu.mp3]
かいかい | kaikai | opening of a meeting; starting (an event, etc) | [sound:ic_nrkt_kaikai.mp3]
かいかん | kaikan | meeting hall; assembly hall | [sound:ic_nrkt_kaikan.mp3]
かいてん | kaiten | rotation; revolution; turning | [sound:ic_nrkt_kaiten.mp3]
かそく | kasoku | acceleration; speeding up | [sound:ic_nrkt_kasoku.mp3]
かそくど | kasokudo | acceleration | [sound:ic_nrkt_kasokudo.mp3]
けんがく | kengaku | study by observation; field trip; tour; review; inspection | [sound:ic_nrkt_kengaku.mp3]
こくおう | kokuou | king; queen; monarch; sovereign | [sound:ic_nrkt_kokuou.mp3]
こくりつ | kokuritsu | national | [sound:ic_nrkt_kokuritsu.mp3]
こくせき | kokuseki | nationality; citizenship | [sound:ic_nrkt_kokuseki.mp3]
こうしゃ | kousha | school building; schoolhouse | [sound:ic_nrkt_kousha.mp3]
こうてい | koutei | schoolyard; playground; school grounds; campus | [sound:ic_nrkt_koutei.mp3]
まちあいしつ | machiaishitsu | waiting room | [sound:ic_nrkt_machiaishitsu.mp3]
まどぐち | madoguchi | ticket window; teller window; counter | [sound:ic_nrkt_madoguchi.mp3]
まいど | maido | each time; always; often; thank you for your continued patronage​ | [sound:ic_nrkt_maido.mp3]
まっさお | massao | deep blue; bright blue​; ghastly pale; white as a sheet | [sound:ic_nrkt_massao.mp3]
まっしろ | masshiro | pure white; blank | [sound:ic_nrkt_masshiro.mp3]
めいし | meishi | business card | [sound:ic_nrkt_meishi.mp3]
みせや | miseya | store; shop | [sound:ic_nrkt_miseya.mp3]
もくざい | mokuzai | lumber; timber; wood | [sound:ic_nrkt_mokuzai.mp3]
ないか | naika | internal medicine | [sound:ic_nrkt_naika.mp3]
なみき | namiki | roadside tree; row of trees | [sound:ic_nrkt_namiki.mp3]
にゅうしゃ | nyuusha | joining a company | [sound:ic_nrkt_nyuusha.mp3]
りか | rika | science (department; course) | [sound:ic_nrkt_rika.mp3]
りょうしゅう | ryoushuu | receipt (of money); receiving | [sound:ic_nrkt_ryoushuu.mp3]
さしみ | sashimi | sashimi (raw sliced fish, shellfish or crustaceans) | [sound:ic_nrkt_sashimi.mp3]
せいしょうねん | seishounen | youth; young person | [sound:ic_nrkt_seishounen.mp3]
せきどう | sekidou | equator | [sound:ic_nrkt_sekidou.mp3]
しゃかいかがく | shakaikagaku | social science | [sound:ic_nrkt_shakaikagaku.mp3]
しゃせつ | shasetsu | editorial; leading article; leader | [sound:ic_nrkt_shasetsu.mp3]
しかい | shikai | master of ceremonies; leading a meeting; presenter; host | [sound:ic_nrkt_shikai.mp3]
しんかんせん | shinkansen | Japanese bullet train | [sound:ic_nrkt_shinkansen.mp3]
しらが | shiraga | white hair; grey hair | [sound:ic_nrkt_shiraga.mp3]
しぜんかがく | shizenkagaku | natural science | [sound:ic_nrkt_shizenkagaku.mp3]
しょてん | shoten | bookshop; bookstore | [sound:ic_nrkt_shoten.mp3]
しょうしゃ | shousha | trading company; firm | [sound:ic_nrkt_shousha.mp3]
しょうてん | shouten | shop; small store; business; firm | [sound:ic_nrkt_shouten.mp3]
しゅうごう | shuugou | gathering; assembly; meeting | [sound:ic_nrkt_shuugou.mp3]
しゅうじ | shuuji | calligraphy; penmanship | [sound:ic_nrkt_shuuji.mp3]
しゅうかい | shuukai | meeting; assembly; gathering; convention; rally | [sound:ic_nrkt_shuukai.mp3]
そぼ | sobo | father and mother; parents | [sound:ic_nrkt_sobo.mp3]
そくりょく | sokuryoku | speed | [sound:ic_nrkt_sokuryoku.mp3]
そくたつ | sokutatsu | express; special delivery | [sound:ic_nrkt_sokutatsu.mp3]
たび | tabi | Japanese socks (with split toe) | [sound:ic_nrkt_tabi.mp3]
とくばい | tokubai | special sale | [sound:ic_nrkt_tokubai.mp3]
とうめい | toumei | transparent; clear | [sound:ic_nrkt_toumei.mp3]
とうよう | touyou | Orient | [sound:ic_nrkt_touyou.mp3]
うれゆき | ureyuki | sales; demand | [sound:ic_nrkt_ureyuki.mp3]
うりあげ | uriage | amount sold; sales; proceeds; turnover | [sound:ic_nrkt_uriage.mp3]
うりきれ | urikire | sold out | [sound:ic_nrkt_urikire.mp3]
ようひんてん | youhinten | shop that handles Western-style apparel and accessories | [sound:ic_nrkt_youhinten.mp3]
ゆけつ | yuketsu | blood transfusion | [sound:ic_nrkt_yuketsu.mp3]
ゆそう | yusou | transport; transportation | [sound:ic_nrkt_yusou.mp3]
ざいもく | zaimoku | lumber; timber | [sound:ic_nrkt_zaimoku.mp3]
