あかり | akari | light; illumination; glow; gleam | [sound:ic_nrkt_akari.mp3]
あくま | akuma | devil; demon; fiend; Satan | [sound:ic_nrkt_akuma.mp3]
あんき | anki | memorization; learning by heart | [sound:ic_nrkt_anki.mp3]
あらた | arata | new; fresh; novel | [sound:ic_nrkt_arata.mp3]
あつまり | atsumari | gathering; meeting; assembly; collection; attendance | [sound:ic_nrkt_atsumari.mp3]
ぶぶん | bubun | portion; section; part | [sound:ic_nrkt_bubun.mp3]
ぶん | bun | part; segment; share; ration | [sound:ic_nrkt_bun.mp3]
ぶんめい | bunmei | civilization; culture | [sound:ic_nrkt_bunmei.mp3]
ぶんせき | bunseki | analysis | [sound:ic_nrkt_bunseki.mp3]
ぶんや | bunya | field; sphere; realm; division; branch | [sound:ic_nrkt_bunya.mp3]
ちちおや | chichioya | father | [sound:ic_nrkt_chichioya.mp3]
ちへいせん | chiheisen | horizon (related to land)​ | [sound:ic_nrkt_chiheisen.mp3]
ちい | chii | (social) position; status | [sound:ic_nrkt_chii.mp3]
ちょうき | chouki | long-term | [sound:ic_nrkt_chouki.mp3]
ちゅう | chuu | during; while; medium; middle | [sound:ic_nrkt_chuu.mp3]
ちゅうがく | chuugaku | junior high school; middle school | [sound:ic_nrkt_chuugaku.mp3]
ちゅうしょく | chuushoku | lunch; midday meal | [sound:ic_nrkt_chuushoku.mp3]
だいぶぶん | daibubun | most part; greater part; majority | [sound:ic_nrkt_daibubun.mp3]
だめ | dame | no good; cannot | [sound:ic_nrkt_dame.mp3]
だんし | danshi | youth; young man | [sound:ic_nrkt_danshi.mp3]
であい | deai | meeting; rendezvous; encounter | [sound:ic_nrkt_deai.mp3]
どくしょ | dokusho | reading | [sound:ic_nrkt_dokusho.mp3]
どりょく | doryoku | effort; exertion; endeavor; hard work; striving | [sound:ic_nrkt_doryoku.mp3]
えん | en | yen; Japanese monetary unit; circle | [sound:ic_nrkt_en.mp3]
ふり | furi | disadvantage; handicap; unfavorable position | [sound:ic_nrkt_furi.mp3]
ふそく | fusoku | insufficiency; shortage; deficiency; lack; dearth | [sound:ic_nrkt_fusoku.mp3]
がいこう | gaikou | diplomacy | [sound:ic_nrkt_gaikou.mp3]
がいしゅつ | gaishutsu | going out; outing; leaving (one's home, office, etc.) | [sound:ic_nrkt_gaishutsu.mp3]
がっき | gakki | school term; semester | [sound:ic_nrkt_gakki.mp3]
がく | gaku | learning; education; study of | [sound:ic_nrkt_gaku.mp3]
がくもん | gakumon | scholarship; study; learning | [sound:ic_nrkt_gakumon.mp3]
がくしゃ | gakusha | scholar | [sound:ic_nrkt_gakusha.mp3]
がくしゅう | gakushuu | study; learning; tutorial | [sound:ic_nrkt_gakushuu.mp3]
ぎちょう | gichou | chairman; president; moderator | [sound:ic_nrkt_gichou.mp3]
ぎかい | gikai | congress; parliament; diet; legislative assembly | [sound:ic_nrkt_gikai.mp3]
ごがく | gogaku | study of foreign languages; linguistics | [sound:ic_nrkt_gogaku.mp3]
ははおや | hahaoya | mother | [sound:ic_nrkt_hahaoya.mp3]
はくぶつかん | hakubutsukan | museum | [sound:ic_nrkt_hakubutsukan.mp3]
はんばい | hanbai | sales; selling; marketing | [sound:ic_nrkt_hanbai.mp3]
はつめい | hatsumei | invention | [sound:ic_nrkt_hatsumei.mp3]
ひん | hin | elegance, article | [sound:ic_nrkt_hin.mp3]
ひとこと | hitokoto | single word; a few words; brief comment | [sound:ic_nrkt_hitokoto.mp3]
ひとりひとり | hitorihitori | one by one; each; one at a time | [sound:ic_nrkt_hitorihitori.mp3]
ほんもの | honmono | genuine article; real thing; real deal​ | [sound:ic_nrkt_honmono.mp3]
ほんにん | honnin | the person in question; the person themselves; said person | [sound:ic_nrkt_honnin.mp3]
いっち | icchi | agreement; union; match​; coincidence | [sound:ic_nrkt_icchi.mp3]
いちじ | ichiji | one o'clock | [sound:ic_nrkt_ichiji.mp3]
いっか | ikka | a family; a household; a home; one's family; whole family | [sound:ic_nrkt_ikka.mp3]
いっぱん | ippan | general; universal; ordinary; average; common | [sound:ic_nrkt_ippan.mp3]
いっぽう | ippou | one (esp. of two); one way; the other direction; although | [sound:ic_nrkt_ippou.mp3]
いっしょう | isshou | whole life; a lifetime; a generation | [sound:ic_nrkt_isshou.mp3]
いっしゅ | isshu | species; kind; variety | [sound:ic_nrkt_isshu.mp3]
いっしゅん | isshun | instant; moment; for an instant | [sound:ic_nrkt_isshun.mp3]
いっそう | issou | much more; still more; all the more; single layer; sooner; preferably​ | [sound:ic_nrkt_issou.mp3]
いったい | ittai | (what) the heck; (why) in the world | [sound:ic_nrkt_ittai.mp3]
じゃま | jama | hindrance | [sound:ic_nrkt_jama.mp3]
かがく | kagaku | chemistry | [sound:ic_nrkt_kagaku.mp3]
かい | kai | meeting; assembly; party; association; club | [sound:ic_nrkt_kai.mp3]
かいいん | kai'in | member | [sound:ic_nrkt_kai'in.mp3]
かいがい | kaigai | foreign; abroad; overseas | [sound:ic_nrkt_kaigai.mp3]
かいごう | kaigou | meeting; assembly; gathering; association | [sound:ic_nrkt_kaigou.mp3]
かいけい | kaikei | finance; account; treasurer; bill | [sound:ic_nrkt_kaikei.mp3]
かいし | kaishi | start; commencement; beginning; initiation​ | [sound:ic_nrkt_kaishi.mp3]
