 | afurika | Africa | [sound:ic_nrkt_afurika.mp3]
あいさつ | aisatsu | to greet | [sound:ic_nrkt_aisatsu.mp3]
あじ | aji | flavor; taste​; uniqueness; attractiveness; experience | [sound:ic_nrkt_aji.mp3]
 | ajia | Asia | [sound:ic_nrkt_ajia.mp3]
あかちゃん | akachan | baby; infant | [sound:ic_nrkt_akachan.mp3]
あかんぼう | akanbou | baby; infant | [sound:ic_nrkt_akanbou.mp3]
 | akusesarii | accessory | [sound:ic_nrkt_akusesarii.mp3]
 | amerika | America | [sound:ic_nrkt_amerika.mp3]
 | anaunsaa | announcer | [sound:ic_nrkt_anaunsaa.mp3]
あんない | annai | to guide | [sound:ic_nrkt_annai.mp3]
あんしん | anshin | peace of mind | [sound:ic_nrkt_anshin.mp3]
あんぜん | anzen | safety; security​ | [sound:ic_nrkt_anzen.mp3]
 | arubaito | part-time job | [sound:ic_nrkt_arubaito.mp3]
 | arukooru | alcohol | [sound:ic_nrkt_arukooru.mp3]
あそび | asobi | playing | [sound:ic_nrkt_asobi.mp3]
ばい | bai | double | [sound:ic_nrkt_bai.mp3]
ばんぐみ | bangumi | program (e.g. TV) | [sound:ic_nrkt_bangumi.mp3]
ばしょ | basho | place | [sound:ic_nrkt_basho.mp3]
 | beru | bell | [sound:ic_nrkt_beru.mp3]
びじゅつかん | bijutsukan | art gallery; art museum | [sound:ic_nrkt_bijutsukan.mp3]
 | biru | building | [sound:ic_nrkt_biru.mp3]
ぼうえき | boueki | trade | [sound:ic_nrkt_boueki.mp3]
ぶちょう | buchou | manager; head (chief, director) of a section or department | [sound:ic_nrkt_buchou.mp3]
 | budou | grapes | [sound:ic_nrkt_budou.mp3]
ぶんがく | bungaku | literature | [sound:ic_nrkt_bungaku.mp3]
ぶんか | bunka | culture | [sound:ic_nrkt_bunka.mp3]
ぶんぽう | bunpou | grammar | [sound:ic_nrkt_bunpou.mp3]
 | chekku | to check | [sound:ic_nrkt_chekku.mp3]
ち | chi | blood | [sound:ic_nrkt_chi.mp3]
ちから | chikara | energy; force; strength; might; power | [sound:ic_nrkt_chikara.mp3]
ちり | chiri | geography | [sound:ic_nrkt_chiri.mp3]
ちゅうがっこう | chuugakkou | junior high school; middle school | [sound:ic_nrkt_chuugakkou.mp3]
ちゅうい | chuui | caution | [sound:ic_nrkt_chuui.mp3]
ちゅうしゃ | chuusha | injection | [sound:ic_nrkt_chuusha.mp3]
ちゅうしゃじょう | chuushajou | parking lot | [sound:ic_nrkt_chuushajou.mp3]
だいがくせい | daigakusei | university student; college student | [sound:ic_nrkt_daigakusei.mp3]
だいたい | daitai | roughly | [sound:ic_nrkt_daitai.mp3]
だんぼう | danbou | heating | [sound:ic_nrkt_danbou.mp3]
だんせい | dansei | man; male | [sound:ic_nrkt_dansei.mp3]
でんぽう | denpou | telegram | [sound:ic_nrkt_denpou.mp3]
でんとう | dentou | electric light | [sound:ic_nrkt_dentou.mp3]
どろぼう | dorobou | thief | [sound:ic_nrkt_dorobou.mp3]
どうぶつえん | doubutsuen | zoo; zoological gardens | [sound:ic_nrkt_doubutsuen.mp3]
どうぐ | dougu | tool | [sound:ic_nrkt_dougu.mp3]
えだ | eda | branch | [sound:ic_nrkt_eda.mp3]
えんりょ | enryo | reserve; refraining | [sound:ic_nrkt_enryo.mp3]
 | esukareetaa | escalator | [sound:ic_nrkt_esukareetaa.mp3]
 | fakkusu | fax | [sound:ic_nrkt_fakkusu.mp3]
ふべん | fuben | inconvenience | [sound:ic_nrkt_fuben.mp3]
ふくしゅう | fukushuu | review (of learned material); revision | [sound:ic_nrkt_fukushuu.mp3]
ふくざつ | fukuzatsu | complexity; complication | [sound:ic_nrkt_fukuzatsu.mp3]
ふね | fune | ship | [sound:ic_nrkt_fune.mp3]
ふとん | futon | Japanese bedding, futon | [sound:ic_nrkt_futon.mp3]
ふつう | futsuu | usually | [sound:ic_nrkt_futsuu.mp3]
 | garasu | a glass | [sound:ic_nrkt_garasu.mp3]
 | gasorin | gasoline; petrol | [sound:ic_nrkt_gasorin.mp3]
 | gasorin sutando | petrol station | [sound:ic_nrkt_gasorinsutando.mp3]
 | gasu | petrol | [sound:ic_nrkt_gasu.mp3]
げんいん | genin | cause | [sound:ic_nrkt_genin.mp3]
げしゅく | geshuku | lodging | [sound:ic_nrkt_geshuku.mp3]
ぎじゅつ | gijutsu | art,technology,skill | [sound:ic_nrkt_gijutsu.mp3]
 | gochisou | a feast | [sound:ic_nrkt_gochisou.mp3]
 | gomi | rubbish | [sound:ic_nrkt_gomi.mp3]
ごしゅじん | goshujin | your husband; her husband | [sound:ic_nrkt_goshujin.mp3]
ごぞんじ | gozonji | knowing | [sound:ic_nrkt_gozonji.mp3]
ぐあい | guai | condition; health | [sound:ic_nrkt_guai.mp3]
は | ha | leaves; leaf | [sound:ic_nrkt_ha.mp3]
はいけん | haiken | seeing; looking at​ | [sound:ic_nrkt_haiken.mp3]
はいしゃ | haisha | dentist | [sound:ic_nrkt_haisha.mp3]
はなみ | hanami | cherry blossom viewing; flower viewing | [sound:ic_nrkt_hanami.mp3]
 | handobaggu | handbag | [sound:ic_nrkt_handobaggu.mp3]
はんたい | hantai | opposition | [sound:ic_nrkt_hantai.mp3]
はつおん | hatsuon | pronunciation | [sound:ic_nrkt_hatsuon.mp3]
はやし | hayashi | woods; forest | [sound:ic_nrkt_hayashi.mp3]
へん | hen | strange; peculiar; weird | [sound:ic_nrkt_hen.mp3]
へんじ | henji | reply; answer; response | [sound:ic_nrkt_henji.mp3]
ひ | hi | fire | [sound:ic_nrkt_hi.mp3]
ひげ | hige | beard | [sound:ic_nrkt_hige.mp3]
ひかり | hikari | light | [sound:ic_nrkt_hikari.mp3]
ひきだし | hikidashi | drawer | [sound:ic_nrkt_hikidashi.mp3]
ひこうじょう | hikoujou | airfield; airport | [sound:ic_nrkt_hikoujou.mp3]
ひるま | hiruma | daytime; during the day | [sound:ic_nrkt_hiruma.mp3]
ひるやすみ | hiruyasumi | lunch break; noon recess; noon rest period | [sound:ic_nrkt_hiruyasumi.mp3]
ひさしぶり | hisashiburi | after a long time | [sound:ic_nrkt_hisashiburi.mp3]
ほんやく | honyaku | translation | [sound:ic_nrkt_honyaku.mp3]
ほし | hoshi | star | [sound:ic_nrkt_hoshi.mp3]
 | hotondo | mostly | [sound:ic_nrkt_hotondo.mp3]
ほうりつ | houritsu | law | [sound:ic_nrkt_houritsu.mp3]
ほうそう | housou | to broadcast | [sound:ic_nrkt_housou.mp3]
いちど | ichido | once; one time; on one occasion | [sound:ic_nrkt_ichido.mp3]
いがい | igai | with the exception of; excepting | [sound:ic_nrkt_igai.mp3]
いがく | igaku | medical science; medicine | [sound:ic_nrkt_igaku.mp3]
いじょう | ijou |  ...  and more;  ...  and upwards​ | [sound:ic_nrkt_ijou.mp3]
いか | ika | not exceeding | [sound:ic_nrkt_ika.mp3]
いけん | iken | opinion; view; comment | [sound:ic_nrkt_iken.mp3]
