あか | aka | red; crimson; scarlet​ | [sound:ic_nrkt_aka.mp3]
あき | aki | autumn; fall | [sound:ic_nrkt_aki.mp3]
あめ | ame | candy | [sound:ic_nrkt_ame.mp3]
あめ | ame | rain | [sound:ic_nrkt_ame.mp3]
あね | ane | older sister; elder sister​ | [sound:ic_nrkt_ane.mp3]
あに | ani | elder brother; older brother​ | [sound:ic_nrkt_ani.mp3]
あお | ao | blue; azure | [sound:ic_nrkt_ao.mp3]
 | apaato | apartment | [sound:ic_nrkt_apaato.mp3]
あさ | asa | morning | [sound:ic_nrkt_asa.mp3]
あさごはん | asagohan | breakfast | [sound:ic_nrkt_asagohan.mp3]
あさって | asatte | day after tomorrow | [sound:ic_nrkt_asatte.mp3]
あし | ashi | foot; leg; paw; arm | [sound:ic_nrkt_ashi.mp3]
あした | ashita | tomorrow | [sound:ic_nrkt_ashita.mp3]
あたま | atama | head | [sound:ic_nrkt_atama.mp3]
あと | ato | behind; after; remainder; left; also | [sound:ic_nrkt_ato.mp3]
ばんごはん | bangohan | dinner; evening meal | [sound:ic_nrkt_bangohan.mp3]
ばんごう | bangou | number | [sound:ic_nrkt_bangou.mp3]
 | basu | bus | [sound:ic_nrkt_basu.mp3]
 | bataa | butter​ | [sound:ic_nrkt_bataa.mp3]
 | beddo | bed | [sound:ic_nrkt_beddo.mp3]
べんきょう | benkyou | to study | [sound:ic_nrkt_benkyou.mp3]
 | boorupen | ball-point pen | [sound:ic_nrkt_boorupen.mp3]
 | botan | button | [sound:ic_nrkt_botan.mp3]
ぼうし | boushi | hat; cap | [sound:ic_nrkt_boushi.mp3]
ぶんしょう | bunshou | sentence | [sound:ic_nrkt_bunshou.mp3]
ぶたにく | butaniku | pork | [sound:ic_nrkt_butaniku.mp3]
びょういん | byouin | hospital | [sound:ic_nrkt_byouin.mp3]
びょうき | byouki | illness; disease; sickness | [sound:ic_nrkt_byouki.mp3]
ちゃいろ | chairo | brown | [sound:ic_nrkt_chairo.mp3]
ちゃわん | chawan | rice bowl; tea cup; teacup | [sound:ic_nrkt_chawan.mp3]
ちち | chichi | father | [sound:ic_nrkt_chichi.mp3]
ちかてつ | chikatetsu | subway; underground train | [sound:ic_nrkt_chikatetsu.mp3]
ちず | chizu | map | [sound:ic_nrkt_chizu.mp3]
だいどころ | daidokoro | kitchen | [sound:ic_nrkt_daidokoro.mp3]
だいがく | daigaku | university; college | [sound:ic_nrkt_daigaku.mp3]
でぐち | deguchi | exit; gateway; way out | [sound:ic_nrkt_deguchi.mp3]
でんき | denki | electricity | [sound:ic_nrkt_denki.mp3]
でんしゃ | densha | train; electric train | [sound:ic_nrkt_densha.mp3]
でんわ | denwa | telephone (call / device)l; phone call | [sound:ic_nrkt_denwa.mp3]
 | depaato | department store | [sound:ic_nrkt_depaato.mp3]
 | doa | door | [sound:ic_nrkt_doa.mp3]
 | donata | who | [sound:ic_nrkt_donata.mp3]
どうぶつ | doubutsu | animal | [sound:ic_nrkt_doubutsu.mp3]
どようび | doyoubi | Saturday | [sound:ic_nrkt_doyoubi.mp3]
え | e | picture | [sound:ic_nrkt_e.mp3]
 | ee | yes; that is correct; right | [sound:ic_nrkt_ee.mp3]
えいが | eiga | movie; film | [sound:ic_nrkt_eiga.mp3]
えいがかん | eigakan | movie theater; cinema | [sound:ic_nrkt_eigakan.mp3]
えいご | eigo | English language | [sound:ic_nrkt_eigo.mp3]
えき | eki | station | [sound:ic_nrkt_eki.mp3]
えんぴつ | enpitsu | pencil | [sound:ic_nrkt_enpitsu.mp3]
 | erebeetaa | elevator | [sound:ic_nrkt_erebeetaa.mp3]
 | firumu | film | [sound:ic_nrkt_firumu.mp3]
 | fooku | fork | [sound:ic_nrkt_fooku.mp3]
ふく | fuku | clothes | [sound:ic_nrkt_fuku.mp3]
ふたり | futari | two people; pair; couple | [sound:ic_nrkt_futari.mp3]
ふたつ | futatsu | two; 2 | [sound:ic_nrkt_futatsu.mp3]
ふつか | futsuka | the second day of the month / 2 days | [sound:ic_nrkt_futsuka.mp3]
ふうとう | fuutou | envelope | [sound:ic_nrkt_fuutou.mp3]
ふゆ | fuyu | winter | [sound:ic_nrkt_fuyu.mp3]
がいこく | gaikoku | foreign country | [sound:ic_nrkt_gaikoku.mp3]
がいこくじん | gaikokujin | foreigner; foreign citizen; foreign national; alien; non-Japanese | [sound:ic_nrkt_gaikokujin.mp3]
がっこう | gakkou | school | [sound:ic_nrkt_gakkou.mp3]
がくせい | gakusei | student | [sound:ic_nrkt_gakusei.mp3]
げんかん | genkan | entrance | [sound:ic_nrkt_genkan.mp3]
げんき | genki | lively; full of spirit; energetic; healthy | [sound:ic_nrkt_genki.mp3]
げつようび | getsuyoubi | Monday | [sound:ic_nrkt_getsuyoubi.mp3]
ぎんこう | ginkou | bank | [sound:ic_nrkt_ginkou.mp3]
 | gitaa | guitar | [sound:ic_nrkt_gitaa.mp3]
ご | go | five; 5 | [sound:ic_nrkt_go.mp3]
ごご | gogo | afternoon; p.m. | [sound:ic_nrkt_gogo.mp3]
ごはん | gohan | cooked rice, meal | [sound:ic_nrkt_gohan.mp3]
ごぜん | gozen | morning; a.m. | [sound:ic_nrkt_gozen.mp3]
 | guramu | gram | [sound:ic_nrkt_guramu.mp3]
ぎゅうにく | gyuuniku | beef | [sound:ic_nrkt_gyuuniku.mp3]
ぎゅうにゅう | gyuunyuu | (cow's) milk | [sound:ic_nrkt_gyuunyuu.mp3]
は | ha | tooth | [sound:ic_nrkt_ha.mp3]
はち | hachi | eight: 8 | [sound:ic_nrkt_hachi.mp3]
はがき | hagaki | postcard | [sound:ic_nrkt_hagaki.mp3]
はは | haha | mother | [sound:ic_nrkt_haha.mp3]
 | hai | yes; that is correct​ | [sound:ic_nrkt_hai.mp3]
はいざら | haizara | ashtray | [sound:ic_nrkt_haizara.mp3]
はこ | hako | box; crate | [sound:ic_nrkt_hako.mp3]
はん | han | half; semi-; half-past | [sound:ic_nrkt_han.mp3]
はな | hana | flower | [sound:ic_nrkt_hana.mp3]
はな | hana | nose | [sound:ic_nrkt_hana.mp3]
はなし | hanashi | talk; speech; chat; conversation​ | [sound:ic_nrkt_hanashi.mp3]
