ばいばい | baibai | trade; buying and selling | [sound:ic_nrkt_baibai.mp3]
ぼしゅう | boshuu | recruitment; invitation; taking applications; solicitation | [sound:ic_nrkt_boshuu.mp3]
えんそく | ensoku | excursion; outing; trip | [sound:ic_nrkt_ensoku.mp3]
はつばい | hatsubai | sale; release (for sale); launch (product) | [sound:ic_nrkt_hatsubai.mp3]
はずれる | hazureru | to be disconnected; to be off; to miss the mark | [sound:ic_nrkt_hazureru.mp3]
へいかい | heikai | closure (of a ceremony, event, meeting, etc.) | [sound:ic_nrkt_heikai.mp3]
ひるね | hirune | nap, siesta | [sound:ic_nrkt_hirune.mp3]
いじわる | ijiwaru | malicious; ill-tempered; unkind | [sound:ic_nrkt_ijiwaru.mp3]
いてん | iten | moving; relocation; change of address | [sound:ic_nrkt_iten.mp3]
じしゅう | jishuu | self-study; teaching oneself | [sound:ic_nrkt_jishuu.mp3]
じっしゅう | jisshuu | practice; training; practical exercise; drill | [sound:ic_nrkt_jisshuu.mp3]
かいかい | kaikai | opening of a meeting; starting (an event, etc) | [sound:ic_nrkt_kaikai.mp3]
かいてん | kaiten | rotation; revolution; turning | [sound:ic_nrkt_kaiten.mp3]
かそく | kasoku | acceleration; speeding up | [sound:ic_nrkt_kasoku.mp3]
けんがく | kengaku | study by observation; field trip; tour; review; inspection | [sound:ic_nrkt_kengaku.mp3]
ころがる | korogaru | to roll; to fall over; to lie down | [sound:ic_nrkt_korogaru.mp3]
ころがす | korogasu | to roll; to turn over | [sound:ic_nrkt_korogasu.mp3]
まちあわせる | machiawaseru | to rendezvous; to meet at a prearranged place and time; to arrange to meet | [sound:ic_nrkt_machiawaseru.mp3]
にゅうしゃ | nyuusha | joining a company | [sound:ic_nrkt_nyuusha.mp3]
おさえる | osaeru | to pin down; to hold down; to press down | [sound:ic_nrkt_osaeru.mp3]
りょうしゅう | ryoushuu | receipt (of money); receiving | [sound:ic_nrkt_ryoushuu.mp3]
ささる | sasaru | to stick into (with a sharp point); to prick; to get stuck (in); | [sound:ic_nrkt_sasaru.mp3]
さす | sasu | to pierce; to stab; to prick; to stick; to thrust; to sting | [sound:ic_nrkt_sasu.mp3]
しかい | shikai | master of ceremonies; leading a meeting; presenter; host | [sound:ic_nrkt_shikai.mp3]
しゅうごう | shuugou | gathering; assembly; meeting | [sound:ic_nrkt_shuugou.mp3]
しゅうかい | shuukai | meeting; assembly; gathering; convention; rally | [sound:ic_nrkt_shuukai.mp3]
そくたつ | sokutatsu | express; special delivery | [sound:ic_nrkt_sokutatsu.mp3]
たる | taru | to be sufficient; to be enough​; to be worth doing; to be worthy of; to deserve​ | [sound:ic_nrkt_taru.mp3]
とくばい | tokubai | special sale | [sound:ic_nrkt_tokubai.mp3]
うりきれる | urikireru | to be sold out | [sound:ic_nrkt_urikireru.mp3]
ゆけつ | yuketsu | blood transfusion | [sound:ic_nrkt_yuketsu.mp3]
ゆそう | yusou | transport; transportation | [sound:ic_nrkt_yusou.mp3]
