あける | akeru | to dawn,to become daylight | [sound:ic_nrkt_akeru.mp3]
あんき | anki | memorization; learning by heart | [sound:ic_nrkt_anki.mp3]
ぶんせき | bunseki | analysis | [sound:ic_nrkt_bunseki.mp3]
であう | deau | to meet (by chance); to come across; to run across; to encounter | [sound:ic_nrkt_deau.mp3]
どくしょ | dokusho | reading | [sound:ic_nrkt_dokusho.mp3]
どりょく | doryoku | effort; exertion; endeavor; hard work; striving | [sound:ic_nrkt_doryoku.mp3]
ふそく | fusoku | insufficiency; shortage; deficiency; lack; dearth | [sound:ic_nrkt_fusoku.mp3]
がいしゅつ | gaishutsu | going out; outing; leaving (one's home, office, etc.) | [sound:ic_nrkt_gaishutsu.mp3]
がくもん | gakumon | scholarship; study; learning | [sound:ic_nrkt_gakumon.mp3]
がくしゅう | gakushuu | study; learning; tutorial | [sound:ic_nrkt_gakushuu.mp3]
はんばい | hanbai | sales; selling; marketing | [sound:ic_nrkt_hanbai.mp3]
はつめい | hatsumei | invention | [sound:ic_nrkt_hatsumei.mp3]
はずす | hazusu | to remove; to undo; to drop; to miss | [sound:ic_nrkt_hazusu.mp3]
ひとこと | hitokoto | single word; a few words; brief comment | [sound:ic_nrkt_hitokoto.mp3]
いっち | icchi | agreement; union; match​; coincidence | [sound:ic_nrkt_icchi.mp3]
じゃま | jama | hindrance | [sound:ic_nrkt_jama.mp3]
かいごう | kaigou | meeting; assembly; gathering; association | [sound:ic_nrkt_kaigou.mp3]
かいし | kaishi | start; commencement; beginning; initiation​ | [sound:ic_nrkt_kaishi.mp3]
きねん | kinen | commemoration; celebration; honoring the memory of something | [sound:ic_nrkt_kinen.mp3]
きにいる | kiniiru | to like; to take a liking to | [sound:ic_nrkt_kiniiru.mp3]
きにゅう | kinyuu | entry; filling in; filling out | [sound:ic_nrkt_kinyuu.mp3]
きおく | kioku | memory; recollection; remembrance | [sound:ic_nrkt_kioku.mp3]
きたい | kitai | expectation; anticipation; hope | [sound:ic_nrkt_kitai.mp3]
ころぶ | korobu | to fall down; to fall over | [sound:ic_nrkt_korobu.mp3]
くんれん | kunren | training; drill; practice; discipline | [sound:ic_nrkt_kunren.mp3]
きょうりょく | kyouryoku | cooperation; collaboration | [sound:ic_nrkt_kyouryoku.mp3]
きゅうしゅう | kyuushuu | absorption; suction; attraction | [sound:ic_nrkt_kyuushuu.mp3]
まなぶ | manabu | to study (in depth); to learn; to take lessons in | [sound:ic_nrkt_manabu.mp3]
まんぞく | manzoku | satisfaction; contentment;​ sufficient; enough | [sound:ic_nrkt_manzoku.mp3]
みかた | mikata | friend; ally; supporter; taking sides with; supporting | [sound:ic_nrkt_mikata.mp3]
にゅうじょう | nyuujou | entrance; admission; entering | [sound:ic_nrkt_nyuujou.mp3]
おさめる | osameru | to supply; to dedicate; to make an offering; to pay | [sound:ic_nrkt_osameru.mp3]
れんぞく | renzoku | continuation; succession; series | [sound:ic_nrkt_renzoku.mp3]
りえき | rieki | profit; gains; benefit | [sound:ic_nrkt_rieki.mp3]
りゅうがく | ryuugaku | studying abroad | [sound:ic_nrkt_ryuugaku.mp3]
さゆう | sayuu | left and right | [sound:ic_nrkt_sayuu.mp3]
せいちょう | seichou | growth; development; growing up; becoming an adult | [sound:ic_nrkt_seichou.mp3]
しげき | shigeki | stimulus; impetus; incentive; encouragement; motivation; provocation; excitement; thrill | [sound:ic_nrkt_shigeki.mp3]
しんがく | shingaku | entering a higher-level school (often university) | [sound:ic_nrkt_shingaku.mp3]
しよう | shiyou | use; application; employment; utilization. | [sound:ic_nrkt_shiyou.mp3]
しょうめい | shoumei | proof; verification; certification | [sound:ic_nrkt_shoumei.mp3]
しょうたい | shoutai | invitation | [sound:ic_nrkt_shoutai.mp3]
しゅうちゅう | shuuchuu | concentration; focusing; centralization; integration | [sound:ic_nrkt_shuuchuu.mp3]
しゅうかく | shuukaku | harvest; crop; fruits (of one's labors) | [sound:ic_nrkt_shuukaku.mp3]
てつや | tetsuya | staying up all night | [sound:ic_nrkt_tetsuya.mp3]
とれる | toreru | to come off; to be removed; to be obtainable | [sound:ic_nrkt_toreru.mp3]
とりあげる | toriageru | to pick up | [sound:ic_nrkt_toriageru.mp3]
つうがく | tsuugaku | commuting to school; school commute | [sound:ic_nrkt_tsuugaku.mp3]
うけとる | uketoru | to receive; to understand | [sound:ic_nrkt_uketoru.mp3]
うんてん | unten | operation; driving | [sound:ic_nrkt_unten.mp3]
うれる | ureru | to sell (well) | [sound:ic_nrkt_ureru.mp3]
わける | wakeru | to divide; to split; to part; to separate | [sound:ic_nrkt_wakeru.mp3]
わるぐち | waruguchi | slander; bad-mouthing; abuse; insult; speaking ill (of) | [sound:ic_nrkt_waruguchi.mp3]
ゆにゅう | yunyuu | import; importation; introduction | [sound:ic_nrkt_yunyuu.mp3]
ゆしゅつ | yushutsu | export; exportation​ | [sound:ic_nrkt_yushutsu.mp3]
