あがる | agaru | to rise | [sound:ic_nrkt_agaru.mp3]
あいさつ | aisatsu | to greet | [sound:ic_nrkt_aisatsu.mp3]
あんない | annai | to guide | [sound:ic_nrkt_annai.mp3]
あんしん | anshin | peace of mind | [sound:ic_nrkt_anshin.mp3]
 | arubaito | part-time job | [sound:ic_nrkt_arubaito.mp3]
あつまる | atsumaru | to gather; to collect; to assemble | [sound:ic_nrkt_atsumaru.mp3]
あつめる | atsumeru | to collect; to assemble; to gather | [sound:ic_nrkt_atsumeru.mp3]
あやまる | ayamaru | to apologize | [sound:ic_nrkt_ayamaru.mp3]
ぼうえき | boueki | trade | [sound:ic_nrkt_boueki.mp3]
 | chekku | to check | [sound:ic_nrkt_chekku.mp3]
ちゅうい | chuui | caution | [sound:ic_nrkt_chuui.mp3]
ちゅうしゃ | chuusha | injection | [sound:ic_nrkt_chuusha.mp3]
だんぼう | danbou | heating | [sound:ic_nrkt_danbou.mp3]
えんりょ | enryo | reserve; refraining | [sound:ic_nrkt_enryo.mp3]
えらぶ | erabu | to choose | [sound:ic_nrkt_erabu.mp3]
 | fakkusu | fax | [sound:ic_nrkt_fakkusu.mp3]
ふえる | fueru | to increase | [sound:ic_nrkt_fueru.mp3]
ふくしゅう | fukushuu | review (of learned material); revision | [sound:ic_nrkt_fukushuu.mp3]
ふむ | fumu | to step on | [sound:ic_nrkt_fumu.mp3]
ふりだす | furidasu | to start to rain | [sound:ic_nrkt_furidasu.mp3]
ふとる | futoru | to become fat | [sound:ic_nrkt_futoru.mp3]
げんいん | genin | cause | [sound:ic_nrkt_genin.mp3]
げしゅく | geshuku | lodging | [sound:ic_nrkt_geshuku.mp3]
 | gochisou | a feast | [sound:ic_nrkt_gochisou.mp3]
ごらんになる | goran ni naru | (respectful) to see | [sound:ic_nrkt_goranninaru.mp3]
はいけん | haiken | seeing; looking at​ | [sound:ic_nrkt_haiken.mp3]
はこぶ | hakobu | to carry | [sound:ic_nrkt_hakobu.mp3]
はなみ | hanami | cherry blossom viewing; flower viewing | [sound:ic_nrkt_hanami.mp3]
はんたい | hantai | opposition | [sound:ic_nrkt_hantai.mp3]
はらう | harau | to pay | [sound:ic_nrkt_harau.mp3]
はつおん | hatsuon | pronunciation | [sound:ic_nrkt_hatsuon.mp3]
へんじ | henji | reply; answer; response | [sound:ic_nrkt_henji.mp3]
ひえる | hieru | to grow cold | [sound:ic_nrkt_hieru.mp3]
ひかる | hikaru | to shine | [sound:ic_nrkt_hikaru.mp3]
ひきだす | hikidasu | to withdraw | [sound:ic_nrkt_hikidasu.mp3]
ひっこす | hikkosu | to move house | [sound:ic_nrkt_hikkosu.mp3]
ひらく | hiraku | to open; to undo; to unseal; to unpack | [sound:ic_nrkt_hiraku.mp3]
ひろう | hirou | to pick up | [sound:ic_nrkt_hirou.mp3]
ほめる | homeru | to praise | [sound:ic_nrkt_homeru.mp3]
ほんやく | honyaku | translation | [sound:ic_nrkt_honyaku.mp3]
ほうそう | housou | to broadcast | [sound:ic_nrkt_housou.mp3]
 | ijimeru | to tease | [sound:ic_nrkt_ijimeru.mp3]
いけん | iken | opinion; view; comment | [sound:ic_nrkt_iken.mp3]
いきる | ikiru | to live | [sound:ic_nrkt_ikiru.mp3]
いのる | inoru | to pray | [sound:ic_nrkt_inoru.mp3]
いそぐ | isogu | to hurry; to rush; to hasten; to make something happen sooner | [sound:ic_nrkt_isogu.mp3]
いただく | itadaku | (humble) to receive | [sound:ic_nrkt_itadaku.mp3]
いたす | itasu | (humble) to do | [sound:ic_nrkt_itasu.mp3]
じゅんび | junbi | to prepare | [sound:ic_nrkt_junbi.mp3]
かえる | kaeru | to change; to transform | [sound:ic_nrkt_kaeru.mp3]
かいぎ | kaigi | meeting; conference; session; assembly | [sound:ic_nrkt_kaigi.mp3]
かいわ | kaiwa | conversation | [sound:ic_nrkt_kaiwa.mp3]
かまう | kamau | to mind | [sound:ic_nrkt_kamau.mp3]
かむ | kamu | to bite,to chew | [sound:ic_nrkt_kamu.mp3]
かんがえる | kangaeru | to think | [sound:ic_nrkt_kangaeru.mp3]
かんけい | kankei | relationship | [sound:ic_nrkt_kankei.mp3]
かたづける | katadzukeru | to tidy up | [sound:ic_nrkt_katadzukeru.mp3]
かつ | katsu | to win | [sound:ic_nrkt_katsu.mp3]
かわく | kawaku | to get dry | [sound:ic_nrkt_kawaku.mp3]
かわる | kawaru | to change | [sound:ic_nrkt_kawaru.mp3]
かよう | kayou | to commute | [sound:ic_nrkt_kayou.mp3]
かざる | kazaru | to decorate | [sound:ic_nrkt_kazaru.mp3]
けが | kega | to injure | [sound:ic_nrkt_kega.mp3]
けいかく | keikaku | to plan | [sound:ic_nrkt_keikaku.mp3]
けいけん | keiken | to experience | [sound:ic_nrkt_keiken.mp3]
けんぶつ | kenbutsu | sightseeing; visit | [sound:ic_nrkt_kenbutsu.mp3]
けんか | kenka | to quarrel | [sound:ic_nrkt_kenka.mp3]
けんきゅう | kenkyuu | research | [sound:ic_nrkt_kenkyuu.mp3]
きこえる | kikoeru | to be heard; to be audible; to be said | [sound:ic_nrkt_kikoeru.mp3]
きまる | kimaru | to be decided | [sound:ic_nrkt_kimaru.mp3]
きめる | kimeru | to decide | [sound:ic_nrkt_kimeru.mp3]
こむ | komu | to be crowded | [sound:ic_nrkt_komu.mp3]
こしょう | koshou | to break-down | [sound:ic_nrkt_koshou.mp3]
こうぎ | kougi | lecture | [sound:ic_nrkt_kougi.mp3]
こわれる | kowareru | to be broken | [sound:ic_nrkt_kowareru.mp3]
こわす | kowasu | to break | [sound:ic_nrkt_kowasu.mp3]
くださる | kudasaru | (respectful) to give | [sound:ic_nrkt_kudasaru.mp3]
くらべる | kuraberu | to compare | [sound:ic_nrkt_kuraberu.mp3]
くれる | kureru | to get dark | [sound:ic_nrkt_kureru.mp3]
きょういく | kyouiku | education | [sound:ic_nrkt_kyouiku.mp3]
きょうそう | kyousou | competition | [sound:ic_nrkt_kyousou.mp3]
きゅうこう | kyuukou | hurrying (to somewhere); rushing; hastening | [sound:ic_nrkt_kyuukou.mp3]
まちがえる | machigaeru | to make a mistake (in) | [sound:ic_nrkt_machigaeru.mp3]
まいる | mairu | (humble) to go; to come | [sound:ic_nrkt_mairu.mp3]
まける | makeru | to lose | [sound:ic_nrkt_makeru.mp3]
まにあう | maniau | to be in time (for) | [sound:ic_nrkt_maniau.mp3]
まわる | mawaru | to go around | [sound:ic_nrkt_mawaru.mp3]
めしあがる | meshiagaru | to eat; to drink​ | [sound:ic_nrkt_meshiagaru.mp3]
みえる | mieru | to be seen; to be in sight; to look; to seem | [sound:ic_nrkt_mieru.mp3]
みつかる | mitsukaru | to be found; to be discovered | [sound:ic_nrkt_mitsukaru.mp3]
みつける | mitsukeru | to discover; to find; to come across; to detect; to spot | [sound:ic_nrkt_mitsukeru.mp3]
もどる | modoru | to turn back | [sound:ic_nrkt_modoru.mp3]
もうしあげる | moushiageru | to say; to offer | [sound:ic_nrkt_moushiageru.mp3]
もうす | mousu | to be called; to say | [sound:ic_nrkt_mousu.mp3]
むかえる | mukaeru | to go out to meet | [sound:ic_nrkt_mukaeru.mp3]
むかう | mukau | to head towards | [sound:ic_nrkt_mukau.mp3]
むり | muri | impossible | [sound:ic_nrkt_muri.mp3]
なげる | nageru | to throw or cast away | [sound:ic_nrkt_nageru.mp3]
なく | naku | to weep | [sound:ic_nrkt_naku.mp3]
なくなる | naku naru | to disappear; to get lost | [sound:ic_nrkt_nakunaru.mp3]
なくなる | nakunaru | to die | [sound:ic_nrkt_nakunaru.mp3]
なおる | naoru | to be fixed,to be repaired | [sound:ic_nrkt_naoru.mp3]
なおる | naoru | to be cured; to heal | [sound:ic_nrkt_naoru.mp3]
なれる | nareru | to get used to | [sound:ic_nrkt_nareru.mp3]
なる | naru | to sound | [sound:ic_nrkt_naru.mp3]
ねぼう | nebou | sleeping in late; oversleeping | [sound:ic_nrkt_nebou.mp3]
ねむる | nemuru | to sleep | [sound:ic_nrkt_nemuru.mp3]
にげる | nigeru | to escape | [sound:ic_nrkt_nigeru.mp3]
にる | niru | to be similar | [sound:ic_nrkt_niru.mp3]
のこる | nokoru | to remain | [sound:ic_nrkt_nokoru.mp3]
のりかえる | norikaeru | to change between buses or trains | [sound:ic_nrkt_norikaeru.mp3]
ぬれる | nureru | to get wet | [sound:ic_nrkt_nureru.mp3]
ぬる | nuru | to paint; to plaster | [sound:ic_nrkt_nuru.mp3]
ぬすむ | nusumu | to steal | [sound:ic_nrkt_nusumu.mp3]
にゅうがく | nyuugaku | entry to school or university; enrollment | [sound:ic_nrkt_nyuugaku.mp3]
にゅういん | nyuuin | hospitalization | [sound:ic_nrkt_nyuuin.mp3]
おちる | ochiru | to fall or drop | [sound:ic_nrkt_ochiru.mp3]
おどろく | odoroku | to be surprised | [sound:ic_nrkt_odoroku.mp3]
おどる | odoru | to dance | [sound:ic_nrkt_odoru.mp3]
おいでになる | oide ni naru | (respectful) to be | [sound:ic_nrkt_oideninaru.mp3]
おいわい | oiwai | congratulation | [sound:ic_nrkt_oiwai.mp3]
おこなう | okonau | to perform; to do; to carry out | [sound:ic_nrkt_okonau.mp3]
おこる | okoru | to be angry | [sound:ic_nrkt_okoru.mp3]
おこす | okosu | to wake | [sound:ic_nrkt_okosu.mp3]
おくれる | okureru | to be late | [sound:ic_nrkt_okureru.mp3]
おくる | okuru | to send | [sound:ic_nrkt_okuru.mp3]
おもいだす | omoidasu | to remember | [sound:ic_nrkt_omoidasu.mp3]
おれる | oreru | to break; to be broken | [sound:ic_nrkt_oreru.mp3]
おりる | oriru | to get off | [sound:ic_nrkt_oriru.mp3]
おる | oru | to break or to fold | [sound:ic_nrkt_oru.mp3]
おっしゃる | ossharu | (respectful) to say | [sound:ic_nrkt_ossharu.mp3]
おとす | otosu | to drop | [sound:ic_nrkt_otosu.mp3]
れいぼう | reibou | air conditioning | [sound:ic_nrkt_reibou.mp3]
れんらく | renraku | to contact; to get in touch​ | [sound:ic_nrkt_renraku.mp3]
りよう | riyou | use; utilization; application | [sound:ic_nrkt_riyou.mp3]
るす | rusu | absence | [sound:ic_nrkt_rusu.mp3]
さがる | sagaru | to get down | [sound:ic_nrkt_sagaru.mp3]
さがす | sagasu | to look for | [sound:ic_nrkt_sagasu.mp3]
さげる | sageru | to lower | [sound:ic_nrkt_sageru.mp3]
さしあげる | sashiageru | to give | [sound:ic_nrkt_sashiageru.mp3]
さわぐ | sawagu | to make noise,to be excited | [sound:ic_nrkt_sawagu.mp3]
さわる | sawaru | to touch | [sound:ic_nrkt_sawaru.mp3]
せいかつ | seikatsu | to live | [sound:ic_nrkt_seikatsu.mp3]
せいさん | seisan | production | [sound:ic_nrkt_seisan.mp3]
せんそう | sensou | war | [sound:ic_nrkt_sensou.mp3]
せつめい | setsumei | explanation | [sound:ic_nrkt_setsumei.mp3]
しあい | shiai | match,game | [sound:ic_nrkt_shiai.mp3]
しかる | shikaru | to scold | [sound:ic_nrkt_shikaru.mp3]
しけん | shiken | examination | [sound:ic_nrkt_shiken.mp3]
しっぱい | shippai | failure | [sound:ic_nrkt_shippai.mp3]
しらべる | shiraberu | to investigate | [sound:ic_nrkt_shiraberu.mp3]
しらせる | shiraseru | to notify | [sound:ic_nrkt_shiraseru.mp3]
しょうじる | shoujiru | to produce | [sound:ic_nrkt_shoujiru.mp3]
しょうかい | shoukai | introduction | [sound:ic_nrkt_shoukai.mp3]
そだてる | sodateru | to rear,to bring up | [sound:ic_nrkt_sodateru.mp3]
そつぎょう | sotsugyou | graduation | [sound:ic_nrkt_sotsugyou.mp3]
そうだん | soudan | to discuss | [sound:ic_nrkt_soudan.mp3]
すべる | suberu | to slide; to slip | [sound:ic_nrkt_suberu.mp3]
すいえい | suiei | swimming | [sound:ic_nrkt_suiei.mp3]
すく | suku | to be hungry | [sound:ic_nrkt_suku.mp3]
すむ | sumu | to finish | [sound:ic_nrkt_sumu.mp3]
すすむ | susumu | to make progress | [sound:ic_nrkt_susumu.mp3]
すてる | suteru | to throw away | [sound:ic_nrkt_suteru.mp3]
たいいん | tai'in | leaving hospital; discharge from hospital | [sound:ic_nrkt_tai'in.mp3]
たんじょう | tanjou | birth | [sound:ic_nrkt_tanjou.mp3]
たおれる | taoreru | to fall (over, down) | [sound:ic_nrkt_taoreru.mp3]
たりる | tariru | to be sufficient; to be enough | [sound:ic_nrkt_tariru.mp3]
たす | tasu | to add (numbers / something) | [sound:ic_nrkt_tasu.mp3]
たてる | tateru | to build | [sound:ic_nrkt_tateru.mp3]
たずねる | tazuneru | to visit | [sound:ic_nrkt_tazuneru.mp3]
たずねる | tazuneru | to ask | [sound:ic_nrkt_tazuneru.mp3]
てつだう | tetsudau | to help; to assist; to aid​ | [sound:ic_nrkt_tetsudau.mp3]
とどける | todokeru | to send​ | [sound:ic_nrkt_todokeru.mp3]
とまる | tomaru | to stay at | [sound:ic_nrkt_tomaru.mp3]
とめる | tomeru | to stop something | [sound:ic_nrkt_tomeru.mp3]
とおる | tooru | to go through | [sound:ic_nrkt_tooru.mp3]
とりかえる | torikaeru | to exchange; to swap; to replace | [sound:ic_nrkt_torikaeru.mp3]
つづける | tsudzukeru | to continue; to keep up; to keep on | [sound:ic_nrkt_tsudzukeru.mp3]
つづく | tsudzuku | to continue | [sound:ic_nrkt_tsudzuku.mp3]
つかまえる | tsukamaeru | to catch | [sound:ic_nrkt_tsukamaeru.mp3]
つける | tsukeru | to soak; to pickle | [sound:ic_nrkt_tsukeru.mp3]
つく | tsuku | to be attached | [sound:ic_nrkt_tsuku.mp3]
つれる | tsureru | to take (someone) with one | [sound:ic_nrkt_tsureru.mp3]
つる | tsuru | to fish | [sound:ic_nrkt_tsuru.mp3]
つたえる | tsutaeru | to report; to tell | [sound:ic_nrkt_tsutaeru.mp3]
つつむ | tsutsumu | to wrap | [sound:ic_nrkt_tsutsumu.mp3]
うえる | ueru | to plant; to grow | [sound:ic_nrkt_ueru.mp3]
うごく | ugoku | to move | [sound:ic_nrkt_ugoku.mp3]
うかがう | ukagau | to visit | [sound:ic_nrkt_ukagau.mp3]
うける | ukeru | to take a lesson or test | [sound:ic_nrkt_ukeru.mp3]
うつ | utsu | to hit | [sound:ic_nrkt_utsu.mp3]
うつる | utsuru | to move house or transfer | [sound:ic_nrkt_utsuru.mp3]
うつす | utsusu | to copy or photograph | [sound:ic_nrkt_utsusu.mp3]
わかれる | wakareru | to separate | [sound:ic_nrkt_wakareru.mp3]
わかす | wakasu | to boil; to heat | [sound:ic_nrkt_wakasu.mp3]
わく | waku | to boil | [sound:ic_nrkt_waku.mp3]
わらう | warau | to laugh; to smile | [sound:ic_nrkt_warau.mp3]
われる | wareru | to break | [sound:ic_nrkt_wareru.mp3]
やける | yakeru | to burn; to be roasted | [sound:ic_nrkt_yakeru.mp3]
やく | yaku | to bake; to grill | [sound:ic_nrkt_yaku.mp3]
やくにたつ | yakunitatsu | to be helpful | [sound:ic_nrkt_yakunitatsu.mp3]
やくそく | yakusoku | promise | [sound:ic_nrkt_yakusoku.mp3]
やむ | yamu | to stop | [sound:ic_nrkt_yamu.mp3]
やせる | yaseru | to become thin | [sound:ic_nrkt_yaseru.mp3]
よごれる | yogoreru | to get dirty | [sound:ic_nrkt_yogoreru.mp3]
よろこぶ | yorokobu | to be delighted | [sound:ic_nrkt_yorokobu.mp3]
よる | yoru | to visit; to drop by | [sound:ic_nrkt_yoru.mp3]
よしゅう | yoshuu | preparation for a lesson | [sound:ic_nrkt_yoshuu.mp3]
よてい | yotei | plan | [sound:ic_nrkt_yotei.mp3]
ようい | youi | preparation; arrangements; provision; getting ready | [sound:ic_nrkt_youi.mp3]
よやく | yoyaku | reservation | [sound:ic_nrkt_yoyaku.mp3]
ゆれる | yureru | to shake | [sound:ic_nrkt_yureru.mp3]
