あびる | abiru | to bathe, to shower | [sound:ic_nrkt_abiru.mp3]
あげる | ageru | to raise; to elevate | [sound:ic_nrkt_ageru.mp3]
あける | akeru | to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock | [sound:ic_nrkt_akeru.mp3]
あく | aku | to open (e.g. doors, business, etc) | [sound:ic_nrkt_aku.mp3]
あらう | arau | to wash | [sound:ic_nrkt_arau.mp3]
 | aru | to be, to have | [sound:ic_nrkt_aru.mp3]
あるく | aruku | to walk | [sound:ic_nrkt_aruku.mp3]
あそぶ | asobu | to play; to enjoy oneself | [sound:ic_nrkt_asobu.mp3]
あう | au | to meet; to encounter; to see | [sound:ic_nrkt_au.mp3]
べんきょう | benkyou | to study | [sound:ic_nrkt_benkyou.mp3]
ちがう | chigau | to differ | [sound:ic_nrkt_chigau.mp3]
だす | dasu | to take out; to get out; to put out; to reveal | [sound:ic_nrkt_dasu.mp3]
でかける | dekakeru | to go out; to leave; to depart | [sound:ic_nrkt_dekakeru.mp3]
でんわ | denwa | telephone (call / device)l; phone call | [sound:ic_nrkt_denwa.mp3]
でる | deru | to leave; to exit; to appear; to go out | [sound:ic_nrkt_deru.mp3]
ふく | fuku | to blow (of the wind) | [sound:ic_nrkt_fuku.mp3]
ふる | furu | to fall | [sound:ic_nrkt_furu.mp3]
はいる | hairu | to enter; to go into | [sound:ic_nrkt_hairu.mp3]
はじまる | hajimaru | to begin | [sound:ic_nrkt_hajimaru.mp3]
はく | haku | to wear, to put on trousers | [sound:ic_nrkt_haku.mp3]
はなす | hanasu | to speak; to talk; to converse | [sound:ic_nrkt_hanasu.mp3]
はれる | hareru | to be sunny | [sound:ic_nrkt_hareru.mp3]
はる | haru | to stick; to paste | [sound:ic_nrkt_haru.mp3]
はしる | hashiru | to run | [sound:ic_nrkt_hashiru.mp3]
はたらく | hataraku | to work | [sound:ic_nrkt_hataraku.mp3]
ひく | hiku | to pull | [sound:ic_nrkt_hiku.mp3]
