くろい | kuroi | black | [sound:ic_jp_kuroi.mp3] 
ちゃいろい | chairoi | brown | [sound:ic_jp_chairoi.mp3] 
はいいろの | haiiro no | gray | [sound:ic_jp_haiiro_no.mp3] 
しろい | shiroi | white | [sound:ic_jp_shiroi.mp3] 
あかい | akai | red | [sound:ic_jp_akai.mp3] 
みどり | midori | green | [sound:ic_jp_midori.mp3] 
あおい | aoi | blue | [sound:ic_jp_aoi.mp3] 
きいろい | kiiroi | yellow | [sound:ic_jp_kiiroi.mp3] 
いろ | iro | color | [sound:ic_jp_iro.mp3] 
オレンジいろ | orenji iro | orange | [sound:ic_jp_orenji_iro.mp3] 
やすむ | yasumu | rest | [sound:ic_jp_yasumu.mp3] 
きく | kiku | hear | [sound:ic_jp_kiku.mp3] 
ほしい | hoshii | want | [sound:ic_jp_hoshii.mp3] 
おわる | owaru | finish | [sound:ic_jp_owaru.mp3] 
はじめる | hajimeru | start | [sound:ic_jp_hajimeru.mp3] 
なる | naru | become | [sound:ic_jp_naru.mp3] 
たすける | tasukeru | help | [sound:ic_jp_tasukeru.mp3] 
ならう | narau | learn | [sound:ic_jp_narau.mp3] 
うごく | ugoku | move | [sound:ic_jp_ugoku.mp3] 
つまらない | tsumaranai | boring | [sound:ic_jp_tsumaranai.mp3] 
しげきてき | shigeki-teki | exciting | [sound:ic_jp_shigeki-teki.mp3] 
じゅうよう | jūyō | important | [sound:ic_jp_jūyō.mp3] 
いそがしい | isogashii | busy | [sound:ic_jp_isogashii.mp3] 
つめたい | tsumetai | cold | [sound:ic_jp_tsumetai.mp3] 
あつい | atsui | hot | [sound:ic_jp_atsui.mp3] 
まじめ | majime | serious | [sound:ic_jp_majime.mp3] 
つかれた | tsukareta | tired | [sound:ic_jp_tsukareta.mp3] 
まずい | mazui | disgusting | [sound:ic_jp_mazui.mp3] 
おいしい | oishii | delicious | [sound:ic_jp_oishii.mp3] 
じゅういち | jū ichi | eleven | [sound:ic_jp_jū_ichi.mp3] 
じゅうに | jū ni | twelve | [sound:ic_jp_jū_ni.mp3] 
じゅうさん | jū san | thirteen | [sound:ic_jp_jū_san.mp3] 
じゅうよん、じゅうし | jū yon, jū shi | fourteen | [sound:ic_jp_jū_yon,_jū_shi.mp3] 
じゅうご | jū go | fifteen | [sound:ic_jp_jū_go.mp3] 
じゅうろく | jū roku | sixteen | [sound:ic_jp_jū_roku.mp3] 
じゅうしち、じゅうなな | jū nana, jū shichi | seventeen | [sound:ic_jp_jū_nana,_jū_shichi.mp3] 
じゅうはち | jū hachi | eighteen | [sound:ic_jp_jū_hachi.mp3] 
じゅうきゅう | jū kyū | nineteen | [sound:ic_jp_jū_kyū.mp3] 
にじゅう | ni-jū | twenty | [sound:ic_jp_ni-jū.mp3] 
クレジットカード | kurejittokādo | credit card | [sound:ic_jp_kurejittokādo.mp3] 
かぎ | kagi | key | [sound:ic_jp_kagi.mp3] 
うんてんめんきょしょう | unten menkyoshō | driver's license | [sound:ic_jp_unten_menkyoshō.mp3] 
さいふ | saifu | wallet | [sound:ic_jp_saifu.mp3] 
ハンドバッグ | handobaggu | purse | [sound:ic_jp_handobaggu.mp3] 
コンピューター | konpyūtā | computer | [sound:ic_jp_konpyūtā.mp3] 
メール | mēru | e-mail | [sound:ic_jp_mēru.mp3] 
けいたいでんわ | keitaidenwa | cellular phone | [sound:ic_jp_keitaidenwa.mp3] 
けいたいメール | keitai mēru | text message | [sound:ic_jp_keitai_mēru.mp3] 
でんわ | denwa | telephone | [sound:ic_jp_denwa.mp3] 
くび | kubi | neck | [sound:ic_jp_kubi.mp3] 
かお | kao | face | [sound:ic_jp_kao.mp3] 
みみ | mimi | ear | [sound:ic_jp_mimi.mp3] 
かみ | kami | hair | [sound:ic_jp_kami.mp3] 
くち | kuchi | mouth | [sound:ic_jp_kuchi.mp3] 
ほお、ほほ | hō, hoho | cheek | [sound:ic_jp_hō,_hoho.mp3] 
はな | hana | nose | [sound:ic_jp_hana.mp3] 
め | me | eye | [sound:ic_jp_me.mp3] 
は | ha | teeth | [sound:ic_jp_ha.mp3] 
くちびる | kuchibiru | lip | [sound:ic_jp_kuchibiru.mp3] 
やま | yama | mountain | [sound:ic_jp_yama.mp3] 
はま | hama | beach | [sound:ic_jp_hama.mp3] 
ねったいうりん | nettai urin | rain forest | [sound:ic_jp_nettai_urin.mp3] 
しま | shima | island | [sound:ic_jp_shima.mp3] 
もり | mori | forest | [sound:ic_jp_mori.mp3] 
かわ | kawa | river | [sound:ic_jp_kawa.mp3] 
うみ | umi | ocean | [sound:ic_jp_umi.mp3] 
みずうみ | mizuumi | lake | [sound:ic_jp_mizuumi.mp3] 
のはら | nohara | field | [sound:ic_jp_nohara.mp3] 
さばく | sabaku | desert | [sound:ic_jp_sabaku.mp3] 
じょうし | jōshi | boss | [sound:ic_jp_jōshi.mp3] 
じょうし | jōshi | boss | [sound:ic_jp_jōshi.mp3] 
オフィス | ofisu | office | [sound:ic_jp_ofisu.mp3] 
どうりょう | dōryō | coworker | [sound:ic_jp_dōryō.mp3] 
かいぎ | kaigi | meeting | [sound:ic_jp_kaigi.mp3] 
しょるい | shorui | document | [sound:ic_jp_shorui.mp3] 
ファックス | fakkusu | fax machine | [sound:ic_jp_fakkusu.mp3] 
プリンター | purintā | printer | [sound:ic_jp_purintā.mp3] 
コピーき | kopīki | copy machine | [sound:ic_jp_kopīki.mp3] 
つくえ | tsukue | desk | [sound:ic_jp_tsukue.mp3] 
ほん | hon | book | [sound:ic_jp_hon.mp3] 
ペン | pen | pen | [sound:ic_jp_pen.mp3] 
ノート | nōto | notebook | [sound:ic_jp_nōto.mp3] 
えんぴつ | enpitsu | pencil | [sound:ic_jp_enpitsu.mp3] 
けしごむ | keshigomu | eraser | [sound:ic_jp_keshigomu.mp3] 
はさみ | hasami | scissors | [sound:ic_jp_hasami.mp3] 
シャーペン | shāpen | mechanical pencil | [sound:ic_jp_shāpen.mp3] 
じょうぎ | jōgi | ruler | [sound:ic_jp_jōgi.mp3] 
マジック | majikku | marker | [sound:ic_jp_majikku.mp3] 
じしょ | jisho | dictionary | [sound:ic_jp_jisho.mp3] 
ゆうびんきょく | yūbinkyoku | post office | [sound:ic_jp_yūbinkyoku.mp3] 
としょかん | toshokan | library | [sound:ic_jp_toshokan.mp3] 
スーパーマーケット | sūpāmāketto | supermarket | [sound:ic_jp_sūpāmāketto.mp3] 
ぎんこう | ginkō | bank | [sound:ic_jp_ginkō.mp3] 
コンビニエンスストア | konbiniensusutoa | convenience store | [sound:ic_jp_konbiniensusutoa.mp3] 
びょういん | byōin | hospital | [sound:ic_jp_byōin.mp3] 
けいさつしょ | keisatsusho | police station | [sound:ic_jp_keisatsusho.mp3] 
やっきょく | yakkyoku | pharmacy | [sound:ic_jp_yakkyoku.mp3] 
パンや | pan-ya | bakery | [sound:ic_jp_pan-ya.mp3] 
えいがかん | eigakan | movie theater | [sound:ic_jp_eigakan.mp3] 
