こうしょう | kōshō | negotiation | [sound:ic_jp_kōshō.mp3] 
けいやく | keiyaku | contract | [sound:ic_jp_keiyaku.mp3] 
ビジネス | bijinesu | business | [sound:ic_jp_bijinesu.mp3] 
とりひき | torihiki | deal | [sound:ic_jp_torihiki.mp3] 
ちゅうもん | chūmon | order | [sound:ic_jp_chūmon.mp3] 
せんぱい | senpai | superior | [sound:ic_jp_senpai.mp3] 
かいしゃ | kaisha | company | [sound:ic_jp_kaisha.mp3] 
きゅうりょう | kyūryō | salary | [sound:ic_jp_kyūryō.mp3] 
しゃちょう | shachō | president | [sound:ic_jp_shachō.mp3] 
さんぎょう | sangyō | industry | [sound:ic_jp_sangyō.mp3] 
ベルト | beruto | belt | [sound:ic_jp_beruto.mp3] 
ネクタイ | nekutai | necktie | [sound:ic_jp_nekutai.mp3] 
ネクタイ | nekutai | tie | [sound:ic_jp_nekutai.mp3] 
ネクタイ | nekutai | necktie | [sound:ic_jp_nekutai.mp3] 
ネクタイ | nekutai | tie | [sound:ic_jp_nekutai.mp3] 
スーツ | sūtsu | suit | [sound:ic_jp_sūtsu.mp3] 
スニーカー | sunīkā | sneaker | [sound:ic_jp_sunīkā.mp3] 
パジャマ | pajama | pajamas | [sound:ic_jp_pajama.mp3] 
ブラジャー | burajā | brassiere | [sound:ic_jp_burajā.mp3] 
おきる | okiru | wake up | [sound:ic_jp_okiru.mp3] 
つうきんする | tsūkin suru | commute | [sound:ic_jp_tsūkin_suru.mp3] 
たべる | taberu | eat | [sound:ic_jp_taberu.mp3] 
みがく | migaku | brush | [sound:ic_jp_migaku.mp3] 
シャワーをあびる | shawā o abiru | shower | [sound:ic_jp_shawā_o_abiru.mp3] 
あらう | arau | wash | [sound:ic_jp_arau.mp3] 
でる | deru | leave | [sound:ic_jp_deru.mp3] 
こぎって | kogitte | check | [sound:ic_jp_kogitte.mp3] 
こうか | kōka | coin | [sound:ic_jp_kōka.mp3] 
かね | kane | money | [sound:ic_jp_kane.mp3] 
デビットカード | debitto kādo | debit card | [sound:ic_jp_debitto_kādo.mp3] 
しへい | shihei | bill | [sound:ic_jp_shihei.mp3] 
ラジオ | rajio | radio | [sound:ic_jp_rajio.mp3] 
テレビ | terebi | television | [sound:ic_jp_terebi.mp3] 
インターネット | intānetto | Internet | [sound:ic_jp_intānetto.mp3] 
しんぶん | shinbun | newspaper | [sound:ic_jp_shinbun.mp3] 
ニュースチャンネル | nyūsu channel | news channel | [sound:ic_jp_nyūsu_channel.mp3] 
にじゅういち | ni-jū ichi | twenty-one | [sound:ic_jp_ni-jū_ichi.mp3] 
にじゅうに | ni-jū ni | twenty-two | [sound:ic_jp_ni-jū_ni.mp3] 
さんじゅうさん | san-jū san | thirty-three | [sound:ic_jp_san-jū_san.mp3] 
よんじゅうよん | yon-jū yon | forty-four | [sound:ic_jp_yon-jū_yon.mp3] 
ごじゅうご | go-jū go | fifty-five | [sound:ic_jp_go-jū_go.mp3] 
ろくじゅうろく | roku-jū roku | sixty-six | [sound:ic_jp_roku-jū_roku.mp3] 
ななじゅうなな | nana-jū nana | seventy-seven | [sound:ic_jp_nana-jū_nana.mp3] 
はちじゅうはち | hachi-jū hachi | eighty-eight | [sound:ic_jp_hachi-jū_hachi.mp3] 
きゅうじゅうきゅう | kyū-jū kyū | ninety-nine | [sound:ic_jp_kyū-jū_kyū.mp3] 
ひゃく | hyaku | one hundred | [sound:ic_jp_hyaku.mp3] 
びじゅつ | bijutsu | art | [sound:ic_jp_bijutsu.mp3] 
ぶんがく | bungaku | literature | [sound:ic_jp_bungaku.mp3] 
えいが | eiga | movie | [sound:ic_jp_eiga.mp3] 
おんがく | ongaku | music | [sound:ic_jp_ongaku.mp3] 
がっき | gakki | musical instrument | [sound:ic_jp_gakki.mp3] 
え | e | painting | [sound:ic_jp_e.mp3] 
げきじょう | gekijō | theater | [sound:ic_jp_gekijō.mp3] 
ミュージカル | myūjikaru | musical | [sound:ic_jp_myūjikaru.mp3] 
オペラ | opera | opera | [sound:ic_jp_opera.mp3] 
しゃしんさつえい | shashin satsuei | photography | [sound:ic_jp_shashin_satsuei.mp3] 
しょさい | shosai | study | [sound:ic_jp_shosai.mp3] 
しんしつ | shinshitsu | bedroom | [sound:ic_jp_shinshitsu.mp3] 
だいどころ | daidokoro | kitchen | [sound:ic_jp_daidokoro.mp3] 
バスルーム | basurūmu | bathroom | [sound:ic_jp_basurūmu.mp3] 
いま | ima | living room | [sound:ic_jp_ima.mp3] 
ダイニングルーム | dainingurūmu | dining room | [sound:ic_jp_dainingurūmu.mp3] 
