はたらく | hataraku | work | [sound:ic_jp_hataraku.mp3] 
つける | tsukeru | turn on | [sound:ic_jp_tsukeru.mp3] 
けす | kesu | turn off | [sound:ic_jp_kesu.mp3] 
がいしょくする | gaishoku suru | eat out | [sound:ic_jp_gaishoku_suru.mp3] 
せつめいする | setsumei suru | explain | [sound:ic_jp_setsumei_suru.mp3] 
でんわ | denwa | telephone | [sound:ic_jp_denwa.mp3] 
べんきょうする | benkyō suru | study | [sound:ic_jp_benkyō_suru.mp3] 
しゅっせきする | shusseki suru | attend | [sound:ic_jp_shusseki_suru.mp3] 
メールする | mēru suru | e-mail | [sound:ic_jp_mēru_suru.mp3] 
インターネットをする | intānetto o suru | surf the internet | [sound:ic_jp_intānetto_o_suru.mp3] 
りょうりする | ryōri suru | cook | [sound:ic_jp_ryōri_suru.mp3] 
かえる | kaeru | return | [sound:ic_jp_kaeru.mp3] 
ふろにはいる | furo ni hairu | bathe | [sound:ic_jp_furo_ni_hairu.mp3] 
ねる | neru | sleep | [sound:ic_jp_neru.mp3] 
よむ | yomu | read | [sound:ic_jp_yomu.mp3] 
ぬぐ | nugu | take off | [sound:ic_jp_nugu.mp3] 
くつろぐ | kutsurogu | relax | [sound:ic_jp_kutsurogu.mp3] 
みる | miru | watch | [sound:ic_jp_miru.mp3] 
うんどうする | undō suru | exercise | [sound:ic_jp_undō_suru.mp3] 
まえ | mae | front | [sound:ic_jp_mae.mp3] 
うしろ | ushiro | back | [sound:ic_jp_ushiro.mp3] 
ひがし | higashi | east | [sound:ic_jp_higashi.mp3] 
にし | nishi | west | [sound:ic_jp_nishi.mp3] 
きた | kita | north | [sound:ic_jp_kita.mp3] 
みなみ | minami | south | [sound:ic_jp_minami.mp3] 
そと | soto | outside | [sound:ic_jp_soto.mp3] 
なか | naka | inside | [sound:ic_jp_naka.mp3] 
ひだり | hidari | left | [sound:ic_jp_hidari.mp3] 
みぎ | migi | right | [sound:ic_jp_migi.mp3] 
いちばん | ichi-ban | first | [sound:ic_jp_ichi-ban.mp3] 
にばん | ni-ban | second | [sound:ic_jp_ni-ban.mp3] 
さんばん | san-ban | third | [sound:ic_jp_san-ban.mp3] 
よんばん | yon-ban | fourth | [sound:ic_jp_yon-ban.mp3] 
ごばん | go-ban | fifth | [sound:ic_jp_go-ban.mp3] 
ろくばん | roku-ban | sixth | [sound:ic_jp_roku-ban.mp3] 
ななばん | nana-ban | seventh | [sound:ic_jp_nana-ban.mp3] 
きゅうばん | kyū-ban | ninth | [sound:ic_jp_kyū-ban.mp3] 
じゅうばん | jū-ban | tenth | [sound:ic_jp_jū-ban.mp3] 
はちばん | hachi-ban | eighth | [sound:ic_jp_hachi-ban.mp3] 
ひげそり | higesori | shaving razor | [sound:ic_jp_higesori.mp3] 
ハンドタオル | hando taoru | washcloth | [sound:ic_jp_hando_taoru.mp3] 
タオル | taoru | towel | [sound:ic_jp_taoru.mp3] 
せっけん | sekken | soap | [sound:ic_jp_sekken.mp3] 
はぶらし | haburashi | toothbrush | [sound:ic_jp_haburashi.mp3] 
はみがきこ | ha migakiko | toothpaste | [sound:ic_jp_ha_migakiko.mp3] 
シャンプー | shanpū | shampoo | [sound:ic_jp_shanpū.mp3] 
リンス | rinsu | conditioner | [sound:ic_jp_rinsu.mp3] 
デオドラント | deodoranto | deodorant | [sound:ic_jp_deodoranto.mp3] 
えきたいせっけん | ekitai sekken | liquid soap | [sound:ic_jp_ekitai_sekken.mp3] 
スプーン | supūn | spoon | [sound:ic_jp_supūn.mp3] 
フォーク | fōku | fork | [sound:ic_jp_fōku.mp3] 
ナイフ | naifu | knife | [sound:ic_jp_naifu.mp3] 
さら | sara | plate | [sound:ic_jp_sara.mp3] 
フライパン | furaipan | frying pan | [sound:ic_jp_furaipan.mp3] 
まないた | manaita | cutting board | [sound:ic_jp_manaita.mp3] 
せんめんだい | senmendai | sink | [sound:ic_jp_senmendai.mp3] 
ボウル | bōru | bowl | [sound:ic_jp_bōru.mp3] 
やかん | yakan | kettle | [sound:ic_jp_yakan.mp3] 
なべ | nabe | pot | [sound:ic_jp_nabe.mp3] 
かえる | kaeru | frog | [sound:ic_jp_kaeru.mp3] 
はと | hato | pigeon | [sound:ic_jp_hato.mp3] 
かも | kamo | duck | [sound:ic_jp_kamo.mp3] 
カラス | karasu | crow | [sound:ic_jp_karasu.mp3] 
ゴキブリ | gokiburi | cockroach | [sound:ic_jp_gokiburi.mp3] 
か | ka | mosquito | [sound:ic_jp_ka.mp3] 
はち | hachi | bee | [sound:ic_jp_hachi.mp3] 
アリ | ari | ant | [sound:ic_jp_ari.mp3] 
へび | hebi | snake | [sound:ic_jp_hebi.mp3] 
カメ | kame | turtle | [sound:ic_jp_kame.mp3] 
でぐち | deguchi | exit | [sound:ic_jp_deguchi.mp3] 
ちず | chizu | map | [sound:ic_jp_chizu.mp3] 
スーツケース | sūtsukēsu | suitcase | [sound:ic_jp_sūtsukēsu.mp3] 
りょこうしゃ | ryokōsha | tourist | [sound:ic_jp_ryokōsha.mp3] 
ガイドブック | gaidobukku | guidebook | [sound:ic_jp_gaidobukku.mp3] 
いりぐち | iriguchi | entrance | [sound:ic_jp_iriguchi.mp3] 
ツアーガイド | tsuā gaido | tour guide | [sound:ic_jp_tsuā_gaido.mp3] 
よやく | yoyaku | reservation | [sound:ic_jp_yoyaku.mp3] 
パスポート | pasupōto | passport | [sound:ic_jp_pasupōto.mp3] 
あんないじょ | annaijo | information | [sound:ic_jp_annaijo.mp3] 
のうか | nōka | farmer | [sound:ic_jp_nōka.mp3] 
ひしょ | hisho | secretary | [sound:ic_jp_hisho.mp3] 
ぎんこういん | ginkōin | banker | [sound:ic_jp_ginkōin.mp3] 
さっか | sakka | writer | [sound:ic_jp_sakka.mp3] 
デザイナー | dezainā | designer | [sound:ic_jp_dezainā.mp3] 
げいじゅつか | geijutsuka | artist | [sound:ic_jp_geijutsuka.mp3] 
へいし | heishi | soldier | [sound:ic_jp_heishi.mp3] 
きぎょうか | kigyōka | entrepreneur | [sound:ic_jp_kigyōka.mp3] 
けんせつさぎょういん | kensetsu sagyōin | construction worker | [sound:ic_jp_kensetsu_sagyōin.mp3] 
しゅふ | shufu | homemaker | [sound:ic_jp_shufu.mp3] 
びじゅつ | bijutsu | art | [sound:ic_jp_bijutsu.mp3] 
れきし | rekishi | history | [sound:ic_jp_rekishi.mp3] 
