かんじる | kanjiru | feel | [sound:ic_jp_kanjiru.mp3] 
かく | kaku | draw | [sound:ic_jp_kaku.mp3] 
けいかくする | keikaku suru | plan | [sound:ic_jp_keikaku_suru.mp3] 
おく | oku | put | [sound:ic_jp_oku.mp3] 
おもいだす | omoidasu | remember | [sound:ic_jp_omoidasu.mp3] 
もつ | motsu | hold | [sound:ic_jp_motsu.mp3] 
ちょうせんする | chōsen suru | try | [sound:ic_jp_chōsen_suru.mp3] 
はかる | hakaru | measure | [sound:ic_jp_hakaru.mp3] 
つづける | tsuzukeru | keep | [sound:ic_jp_tsuzukeru.mp3] 
まつ | matsu | wait | [sound:ic_jp_matsu.mp3] 
セール | sēru | sale | [sound:ic_jp_sēru.mp3] 
かいもの | kaimono | shopping | [sound:ic_jp_kaimono.mp3] 
みせ | mise | store | [sound:ic_jp_mise.mp3] 
いちば | ichiba | market | [sound:ic_jp_ichiba.mp3] 
ねだん | nedan | price | [sound:ic_jp_nedan.mp3] 
クーポンけん | kūpon ken | coupon | [sound:ic_jp_kūpon_ken.mp3] 
つうろ | tsūro | aisle | [sound:ic_jp_tsūro.mp3] 
カバン | kaban | bag | [sound:ic_jp_kaban.mp3] 
かいものカート | kaimono kāto | shopping cart | [sound:ic_jp_kaimono_kāto.mp3] 
ビニールぶくろ | binīru bukuro | plastic bag | [sound:ic_jp_binīru_bukuro.mp3] 
え | e | drawing | [sound:ic_jp_e.mp3] 
コメディー | komedī | comedy | [sound:ic_jp_komedī.mp3] 
しょうせつ | shōsetsu | novel | [sound:ic_jp_shōsetsu.mp3] 
たんぺんしょうせつ | tanpen shōsetsu | short story | [sound:ic_jp_tanpen_shōsetsu.mp3] 
しゃしん | shashin | photo | [sound:ic_jp_shashin.mp3] 
しゃしん | shashin | photograph | [sound:ic_jp_shashin.mp3] 
しゃしん | shashin | photo | [sound:ic_jp_shashin.mp3] 
しゃしん | shashin | photograph | [sound:ic_jp_shashin.mp3] 
たんさんいんりょう | tansan inryō | soda | [sound:ic_jp_tansan_inryō.mp3] 
