かいけい | kaikei | accounting | [sound:ic_jp_kaikei.mp3] 
ボーナス | bōnasu | bonus | [sound:ic_jp_bōnasu.mp3] 
きゅうりょう | kyūryō | wage | [sound:ic_jp_kyūryō.mp3] 
はんばい | hanbai | sale | [sound:ic_jp_hanbai.mp3] 
アイティーぶもん | aitī-bumon | IT department | [sound:ic_jp_aitī-bumon.mp3] 
しゅっちょう | shucchō | business trip | [sound:ic_jp_shucchō.mp3] 
マーケティング | māketingu | marketing | [sound:ic_jp_māketingu.mp3] 
かいけいし | kaikeishi | accountant | [sound:ic_jp_kaikeishi.mp3] 
べんごし | bengoshi | lawyer | [sound:ic_jp_bengoshi.mp3] 
つまらない | tsumaranai | boring | [sound:ic_jp_tsumaranai.mp3] 
しげきてき | shigeki-teki | exciting | [sound:ic_jp_shigeki-teki.mp3] 
にんきがある | ninki ga aru | popular | [sound:ic_jp_ninki_ga_aru.mp3] 
かるい | karui | light | [sound:ic_jp_karui.mp3] 
くらい | kurai | dark | [sound:ic_jp_kurai.mp3] 
ふまん | fuman | dissatisfied | [sound:ic_jp_fuman.mp3] 
たいしたことがない | taishita koto ga nai | insignificant | [sound:ic_jp_taishita_koto_ga_nai.mp3] 
はずかしい | hazukashii | shy | [sound:ic_jp_hazukashii.mp3] 
ゆうめい | yūmei | famous | [sound:ic_jp_yūmei.mp3] 
けいしきばらない | keishikibaranai | casual | [sound:ic_jp_keishikibaranai.mp3] 
ギター | gitā | guitar | [sound:ic_jp_gitā.mp3] 
トランペット | toranpetto | trumpet | [sound:ic_jp_toranpetto.mp3] 
バイオリン | baiorin | violin | [sound:ic_jp_baiorin.mp3] 
ピアノ | piano | piano | [sound:ic_jp_piano.mp3] 
フルート | furūto | flute | [sound:ic_jp_furūto.mp3] 
トロンボーン | toronbōn | trombone | [sound:ic_jp_toronbōn.mp3] 
サクソフォン | sakusofon | saxophone | [sound:ic_jp_sakusofon.mp3] 
ドラム | doramu | drums | [sound:ic_jp_doramu.mp3] 
ハーモニカ | hāmonika | harmonica | [sound:ic_jp_hāmonika.mp3] 
キーボード | kībōdo | keyboard | [sound:ic_jp_kībōdo.mp3] 
いたみ　 | itami | pain | [sound:ic_jp_itami.mp3] 
ほっしん | hosshin | rash | [sound:ic_jp_hosshin.mp3] 
せき | seki | cough | [sound:ic_jp_seki.mp3] 
はきけ | hakike | nausea | [sound:ic_jp_hakike.mp3] 
つかれ | tsukare | fatigue | [sound:ic_jp_tsukare.mp3] 
かゆみ | kayumi | itch | [sound:ic_jp_kayumi.mp3] 
のどがいたい | nodo ga itai | sore throat | [sound:ic_jp_nodo_ga_itai.mp3] 
はなみず | hanamizu | runny nose | [sound:ic_jp_hanamizu.mp3] 
めまいがする | memai ga suru | dizzy | [sound:ic_jp_memai_ga_suru.mp3] 
はなづまり | hanazumari | stuffy nose | [sound:ic_jp_hanazumari.mp3] 
へや | heya | room | [sound:ic_jp_heya.mp3] 
ロビー | robī | lobby | [sound:ic_jp_robī.mp3] 
ウェイクアップサービス | ueikuappu sābisu | wake-up service | [sound:ic_jp_ueikuappu_sābisu.mp3] 
スイート | suīto | suite | [sound:ic_jp_suīto.mp3] 
クレジットカード | kurejittokādo | credit card | [sound:ic_jp_kurejittokādo.mp3] 
ルームサービス | rūmu sābisu | room service | [sound:ic_jp_rūmu_sābisu.mp3] 
レシート | reshīto | receipt | [sound:ic_jp_reshīto.mp3] 
ワイファイ | waifai | Wi-Fi | [sound:ic_jp_waifai.mp3] 
よやく | yoyaku | reservation | [sound:ic_jp_yoyaku.mp3] 
あきべや | akibeya | vacancy | [sound:ic_jp_akibeya.mp3] 
たっきゅう | takkyū | ping pong | [sound:ic_jp_takkyū.mp3] 
ランニング | ranningu | running | [sound:ic_jp_ranningu.mp3] 
やきゅう | yakyū | baseball | [sound:ic_jp_yakyū.mp3] 
アイスホッケー | aisu hokkē | ice hockey | [sound:ic_jp_aisu_hokkē.mp3] 
スキー | sukī | skiing | [sound:ic_jp_sukī.mp3] 
バレーボール | barēbōru | volleyball | [sound:ic_jp_barēbōru.mp3] 
ゴルフ | gorufu | golf | [sound:ic_jp_gorufu.mp3] 
ボクシング | bokushingu | boxing | [sound:ic_jp_bokushingu.mp3] 
