うでどけい | udedokei | watch | [sound:ic_jp_udedokei.mp3] 
メガネ | megane | glasses | [sound:ic_jp_megane.mp3] 
ジャケット | jaketto | jacket | [sound:ic_jp_jaketto.mp3] 
シャツ | shatsu | shirt | [sound:ic_jp_shatsu.mp3] 
ズボン | zubon | pants | [sound:ic_jp_zubon.mp3] 
ドレス | doresu | dress | [sound:ic_jp_doresu.mp3] 
ふく | fuku | clothing | [sound:ic_jp_fuku.mp3] 
くつ | kutsu | shoe | [sound:ic_jp_kutsu.mp3] 
くつした | kutsushita | sock | [sound:ic_jp_kutsushita.mp3] 
したぎ | shitagi | underwear | [sound:ic_jp_shitagi.mp3] 
もらう | morau | receive | [sound:ic_jp_morau.mp3] 
さがす | sagasu | search | [sound:ic_jp_sagasu.mp3] 
とる | toru | take | [sound:ic_jp_toru.mp3] 
いう | iu | say | [sound:ic_jp_iu.mp3] 
でんわする | denwa suru | call | [sound:ic_jp_denwa_suru.mp3] 
みつける | mitsukeru | find | [sound:ic_jp_mitsukeru.mp3] 
はなす | hanasu | talk | [sound:ic_jp_hanasu.mp3] 
あげる | ageru | give | [sound:ic_jp_ageru.mp3] 
うれしい | ureshii | happy | [sound:ic_jp_ureshii.mp3] 
かなしい | kanashii | sad | [sound:ic_jp_kanashii.mp3] 
おこっている | okotte iru | angry | [sound:ic_jp_okotte_iru.mp3] 
よわい | yowai | weak | [sound:ic_jp_yowai.mp3] 
つよい | tsuyoi | strong | [sound:ic_jp_tsuyoi.mp3] 
つめたい | tsumetai | cold | [sound:ic_jp_tsumetai.mp3] 
おもしろい | omoshiroi | funny | [sound:ic_jp_omoshiroi.mp3] 
あつい | atsui | hot | [sound:ic_jp_atsui.mp3] 
きれい | kirei | clean | [sound:ic_jp_kirei.mp3] 
きたない | kitanai | dirty | [sound:ic_jp_kitanai.mp3] 
ひくい | hikui | low | [sound:ic_jp_hikui.mp3] 
たかい | takai | high | [sound:ic_jp_takai.mp3] 
くだもの | kudamono | fruit | [sound:ic_jp_kudamono.mp3] 
バナナ | banana | banana | [sound:ic_jp_banana.mp3] 
りんご | ringo | apple | [sound:ic_jp_ringo.mp3] 
ぶどう | budō | grape | [sound:ic_jp_budō.mp3] 
スイカ | suika | watermelon | [sound:ic_jp_suika.mp3] 
トマト | tomato | tomato | [sound:ic_jp_tomato.mp3] 
いちご | ichigo | strawberry | [sound:ic_jp_ichigo.mp3] 
サクランボ | sakuranbo | cherry | [sound:ic_jp_sakuranbo.mp3] 
もも | momo | peach | [sound:ic_jp_momo.mp3] 
オレンジ | orenji | orange | [sound:ic_jp_orenji.mp3] 
ジャガイモ | jagaimo | potato | [sound:ic_jp_jagaimo.mp3] 
だいず | daizu | soybean | [sound:ic_jp_daizu.mp3] 
やさい | yasai | vegetable | [sound:ic_jp_yasai.mp3] 
にんじん | ninjin | carrot | [sound:ic_jp_ninjin.mp3] 
たまねぎ | tamanegi | onion | [sound:ic_jp_tamanegi.mp3] 
レタス | retasu | lettuce | [sound:ic_jp_retasu.mp3] 
キュウリ | kyūri | cucumber | [sound:ic_jp_kyūri.mp3] 
ピーマン | pīman | bell pepper | [sound:ic_jp_pīman.mp3] 
ブロッコリー | burokkorī | broccoli | [sound:ic_jp_burokkorī.mp3] 
ほうれんそう | hōrensō | spinach | [sound:ic_jp_hōrensō.mp3] 
とり | tori | bird | [sound:ic_jp_tori.mp3] 
にわとり | niwatori | chicken | [sound:ic_jp_niwatori.mp3] 
いぬ | inu | dog | [sound:ic_jp_inu.mp3] 
ねこ | neko | cat | [sound:ic_jp_neko.mp3] 
ネズミ | nezumi | mouse | [sound:ic_jp_nezumi.mp3] 
うし | ushi | cow | [sound:ic_jp_ushi.mp3] 
ぶた | buta | pig | [sound:ic_jp_buta.mp3] 
うま | uma | horse | [sound:ic_jp_uma.mp3] 
ひつじ | hitsuji | sheep | [sound:ic_jp_hitsuji.mp3] 
うさぎ | usagi | rabbit | [sound:ic_jp_usagi.mp3] 
あざらし | azarashi | seal | [sound:ic_jp_azarashi.mp3] 
タコ | tako | octopus | [sound:ic_jp_tako.mp3] 
サメ | same | shark | [sound:ic_jp_same.mp3] 
クジラ | kujira | whale | [sound:ic_jp_kujira.mp3] 
イルカ | iruka | dolphin | [sound:ic_jp_iruka.mp3] 
さかな | sakana | fish | [sound:ic_jp_sakana.mp3] 
ロブスター | robusutā | lobster | [sound:ic_jp_robusutā.mp3] 
かに | kani | crab | [sound:ic_jp_kani.mp3] 
イカ | ika | squid | [sound:ic_jp_ika.mp3] 
クラゲ | kurage | jellyfish | [sound:ic_jp_kurage.mp3] 
あたたかい | atatakai | warm | [sound:ic_jp_atatakai.mp3] 
あめ | ame | rain | [sound:ic_jp_ame.mp3] 
ゆき | yuki | snow | [sound:ic_jp_yuki.mp3] 
くも | kumo | cloud | [sound:ic_jp_kumo.mp3] 
はれた | hareta | sunny | [sound:ic_jp_hareta.mp3] 
あめの | ame no | rainy | [sound:ic_jp_ame_no.mp3] 
くもった | kumotta | cloudy | [sound:ic_jp_kumotta.mp3] 
すずしい | suzushii | cool | [sound:ic_jp_suzushii.mp3] 
あつい | atsui | hot | [sound:ic_jp_atsui.mp3] 
たいよう | taiyō | sun | [sound:ic_jp_taiyō.mp3] 
てんき | tenki | weather | [sound:ic_jp_tenki.mp3] 
さむい | samui | cold | [sound:ic_jp_samui.mp3] 
ど | do | degree | [sound:ic_jp_do.mp3] 
おんなのひと | onna no hito | woman | [sound:ic_jp_onna_no_hito.mp3] 
おとこのひと | otoko no hito | man | [sound:ic_jp_otoko_no_hito.mp3] 
かのじょ | kanojo | girlfriend | [sound:ic_jp_kanojo.mp3] 
かれし | kareshi | boyfriend | [sound:ic_jp_kareshi.mp3] 
こども | kodomo | child | [sound:ic_jp_kodomo.mp3] 
ともだち | tomo-dachi | friend | [sound:ic_jp_tomo-dachi.mp3] 
おとな | otona | adult | [sound:ic_jp_otona.mp3] 
あかちゃん | aka-chan | baby | [sound:ic_jp_aka-chan.mp3] 
おんなのこ | onna no ko | girl | [sound:ic_jp_onna_no_ko.mp3] 
おとこのこ | otoko no ko | boy | [sound:ic_jp_otoko_no_ko.mp3] 
でんしゃ | densha | train | [sound:ic_jp_densha.mp3] 
ひこうき | hikōki | airplane | [sound:ic_jp_hikōki.mp3] 
バス | basu | bus | [sound:ic_jp_basu.mp3] 
タクシー | takushī | taxi | [sound:ic_jp_takushī.mp3] 
じてんしゃ | jitensha | bicycle | [sound:ic_jp_jitensha.mp3] 
