やすい | yasui | cheap | [sound:ic_jp_yasui.mp3] 
こうか | kōka | expensive | [sound:ic_jp_kōka.mp3] 
しんせつ | shinsetsu | kind | [sound:ic_jp_shinsetsu.mp3] 
こわい | kowai | scary | [sound:ic_jp_kowai.mp3] 
きょうみぶかい | kyōmibukai | interesting | [sound:ic_jp_kyōmibukai.mp3] 
いじわる | ijiwaru | mean | [sound:ic_jp_ijiwaru.mp3] 
たいくつした | taikutsu shita | bored | [sound:ic_jp_taikutsu_shita.mp3] 
まずい | mazui | disgusting | [sound:ic_jp_mazui.mp3] 
おいしい | oishii | delicious | [sound:ic_jp_oishii.mp3] 
くつろいだ | kutsuroida | relaxing | [sound:ic_jp_kutsuroida.mp3] 
ポンド | pondo | pound | [sound:ic_jp_pondo.mp3] 
マイル | mairu | mile | [sound:ic_jp_mairu.mp3] 
フィート | fīto | foot | [sound:ic_jp_fīto.mp3] 
インチ | inchi | inch | [sound:ic_jp_inchi.mp3] 
キログラム | kiroguramu | kilogram | [sound:ic_jp_kiroguramu.mp3] 
センチメートル | senchimētoru | centimeter | [sound:ic_jp_senchimētoru.mp3] 
グラム | guramu | gram | [sound:ic_jp_guramu.mp3] 
メートル | mētoru | meter | [sound:ic_jp_mētoru.mp3] 
キロメートル | kiromētoru | kilometer | [sound:ic_jp_kiromētoru.mp3] 
リットル | rittoru | liter | [sound:ic_jp_rittoru.mp3] 
ごひゃく | go-hyaku | five hundred | [sound:ic_jp_go-hyaku.mp3] 
きゅうひゃくきゅうじゅうきゅう | kyū-hyaku kyū-jū kyū | nine hundred ninety nine | [sound:ic_jp_kyū-hyaku_kyū-jū_kyū.mp3] 
ひゃくいち | hyaku ichi | one hundred one | [sound:ic_jp_hyaku_ichi.mp3] 
よんひゃく | yon-hyaku | four hundred | [sound:ic_jp_yon-hyaku.mp3] 
はっぴゃく | ha-ppyaku | eight hundred | [sound:ic_jp_ha-ppyaku.mp3] 
にひゃく | ni-hyaku | two hundred | [sound:ic_jp_ni-hyaku.mp3] 
さんびゃく | san-byaku | three hundred | [sound:ic_jp_san-byaku.mp3] 
ろっぴゃく | ro-ppyaku | six hundred | [sound:ic_jp_ro-ppyaku.mp3] 
ななひゃく | nana-hyaku | seven hundred | [sound:ic_jp_nana-hyaku.mp3] 
きゅうひゃく | kyū-hyaku | nine hundred | [sound:ic_jp_kyū-hyaku.mp3] 
アルコール | arukōru | alcohol | [sound:ic_jp_arukōru.mp3] 
しょくじ | shokuji | meal | [sound:ic_jp_shokuji.mp3] 
ウェイトレス | weitoresu | waitress | [sound:ic_jp_weitoresu.mp3] 
ウェイター | weitā | waiter | [sound:ic_jp_weitā.mp3] 
メニュー | menyū | menu | [sound:ic_jp_menyū.mp3] 
ファーストフード | fāsuto fūdo | fast food | [sound:ic_jp_fāsuto_fūdo.mp3] 
レストラン | resutoran | restaurant | [sound:ic_jp_resutoran.mp3] 
カフェ | kafe | café | [sound:ic_jp_kafe.mp3] 
カフェ | kafe | coffee shop | [sound:ic_jp_kafe.mp3] 
コーヒーショップ | kōhī shoppu | café | [sound:ic_jp_kōhī_shoppu.mp3] 
コーヒーショップ | kōhī shoppu | coffee shop | [sound:ic_jp_kōhī_shoppu.mp3] 
バー | bā | bar | [sound:ic_jp_bā.mp3] 
かぐ | kagu | furniture | [sound:ic_jp_kagu.mp3] 
おおや | ōya | landlord | [sound:ic_jp_ōya.mp3] 
りょう | ryō | dormitory | [sound:ic_jp_ryō.mp3] 
きょうどうじゅうたく | kyōdō jūtaku | apartment building | [sound:ic_jp_kyōdō_jūtaku.mp3] 
まち | machi | city | [sound:ic_jp_machi.mp3] 
のうじょう | nōjō | farm | [sound:ic_jp_nōjō.mp3] 
いなか | inaka | country | [sound:ic_jp_inaka.mp3] 
むら | mura | village | [sound:ic_jp_mura.mp3] 
まち | machi | town | [sound:ic_jp_machi.mp3] 
ベッドタウン | beddotaun | suburb | [sound:ic_jp_beddotaun.mp3] 
へや | heya | room | [sound:ic_jp_heya.mp3] 
バラ | bara | rose | [sound:ic_jp_bara.mp3] 
はな | hana | flower | [sound:ic_jp_hana.mp3] 
ユリ | yuri | lily | [sound:ic_jp_yuri.mp3] 
ヒマワリ | himawari | sunflower | [sound:ic_jp_himawari.mp3] 
タンポポ | tanpopo | dandelion | [sound:ic_jp_tanpopo.mp3] 
こうずい | kōzui | flood | [sound:ic_jp_kōzui.mp3] 
たいふう | taifū | typhoon | [sound:ic_jp_taifū.mp3] 
ハリケーン | harikēn | hurricane | [sound:ic_jp_harikēn.mp3] 
たつまき | tatsumaki | tornado | [sound:ic_jp_tatsumaki.mp3] 
ひでり | hideri | drought | [sound:ic_jp_hideri.mp3] 
つなみ | tsunami | tsunami | [sound:ic_jp_tsunami.mp3] 
なだれ | nadare | avalanche | [sound:ic_jp_nadare.mp3] 
かじ | kaji | fire | [sound:ic_jp_kaji.mp3] 
じしん | jishin | earthquake | [sound:ic_jp_jishin.mp3] 
すなあらし | suna'arashi | sandstorm | [sound:ic_jp_suna'arashi.mp3] 
しばふ | shibafu | grass | [sound:ic_jp_shibafu.mp3] 
どじょう | dojō | soil | [sound:ic_jp_dojō.mp3] 
つち | tsuchi | dirt | [sound:ic_jp_tsuchi.mp3] 
いし | ishi | rock | [sound:ic_jp_ishi.mp3] 
き | ki | tree | [sound:ic_jp_ki.mp3] 
えいが | eiga | movie | [sound:ic_jp_eiga.mp3] 
チェス | chesu | chess | [sound:ic_jp_chesu.mp3] 
げんご | gengo | language | [sound:ic_jp_gengo.mp3] 
おんがく | ongaku | music | [sound:ic_jp_ongaku.mp3] 
ぶじゅつ | bujutsu | martial arts | [sound:ic_jp_bujutsu.mp3] 
りょこう | ryokō | traveling | [sound:ic_jp_ryokō.mp3] 
うんどう | undō | exercising | [sound:ic_jp_undō.mp3] 
ウェイトトレーニング | weito torēningu | work out | [sound:ic_jp_weito_torēningu.mp3] 
うんどうする | undō suru | work out | [sound:ic_jp_undō_suru.mp3] 
どくしょ | dokusho | reading | [sound:ic_jp_dokusho.mp3] 
トランプ | toranpu | playing cards | [sound:ic_jp_toranpu.mp3] 
イスラムきょう | Isuramukyō | Islam | [sound:ic_jp_Isuramukyō.mp3] 
プロテスタント | Purotesutanto | Protestantism | [sound:ic_jp_Purotesutanto.mp3] 
カトリック | Katorikku | Catholicism | [sound:ic_jp_Katorikku.mp3] 
ヒンズーきょう | Hinzūkyō | Hinduism | [sound:ic_jp_Hinzūkyō.mp3] 
ぶっきょう | Bukkyō | Buddhism | [sound:ic_jp_Bukkyō.mp3] 
どうきょう | dōkyō | Taoism | [sound:ic_jp_dōkyō.mp3] 
せいしょ | seisho | Bible | [sound:ic_jp_seisho.mp3] 
コーラン | Kōran | Quran | [sound:ic_jp_Kōran.mp3] 
しさい　 | shisai | priest | [sound:ic_jp_shisai.mp3] 
ユダヤきょう | Yudayakyō | Judaism | [sound:ic_jp_Yudayakyō.mp3] 
