てぶくろ | tebukuro | glove | [sound:ic_jp_tebukuro.mp3] 
かさ | kasa | umbrella | [sound:ic_jp_kasa.mp3] 
ぼうし | bōshi | hat | [sound:ic_jp_bōshi.mp3] 
ながそで | nagasode | long-sleeved | [sound:ic_jp_nagasode.mp3] 
はんそでの | hansode no | short-sleeved | [sound:ic_jp_hansode_no.mp3] 
イヤリング | iyaringu | earring | [sound:ic_jp_iyaringu.mp3] 
ネックレス | nekkuresu | necklace | [sound:ic_jp_nekkuresu.mp3] 
ゆびわ | yubiwa | ring | [sound:ic_jp_yubiwa.mp3] 
ボクサーパンツ | bokusā pantsu | boxer shorts | [sound:ic_jp_bokusā_pantsu.mp3] 
スカート | sukāto | skirt | [sound:ic_jp_sukāto.mp3] 
まんぞくした | manzoku shita | satisfied | [sound:ic_jp_manzoku_shita.mp3] 
おちついた | ochitsuita | calm | [sound:ic_jp_ochitsuita.mp3] 
あたたかい | atatakai | warm | [sound:ic_jp_atatakai.mp3] 
すずしい | suzushii | cool | [sound:ic_jp_suzushii.mp3] 
ふまん | fuman | dissatisfied | [sound:ic_jp_fuman.mp3] 
いたい | itai | painful | [sound:ic_jp_itai.mp3] 
はずかしい | hazukashii | shy | [sound:ic_jp_hazukashii.mp3] 
きんちょうする | kinchō suru | nervous | [sound:ic_jp_kinchō_suru.mp3] 
こうふんする | kōfun suru | excited | [sound:ic_jp_kōfun_suru.mp3] 
はずかしがる | hazukashigaru | embarrassed | [sound:ic_jp_hazukashigaru.mp3] 
せん | sen | one thousand | [sound:ic_jp_sen.mp3] 
にせん | ni-sen | two thousand | [sound:ic_jp_ni-sen.mp3] 
はっせん | ha-ssen | eight thousand | [sound:ic_jp_ha-ssen.mp3] 
いちまん | ichi-man | ten thousand | [sound:ic_jp_ichi-man.mp3] 
よんせん | yon-sen | four thousand | [sound:ic_jp_yon-sen.mp3] 
ごせん | go-sen | five thousand | [sound:ic_jp_go-sen.mp3] 
さんぜん | san-zen | three thousand | [sound:ic_jp_san-zen.mp3] 
ろくせん | roku-sen | six thousand | [sound:ic_jp_roku-sen.mp3] 
ななせん | nana-sen | seven thousand | [sound:ic_jp_nana-sen.mp3] 
きゅうせん | kyū-sen | nine thousand | [sound:ic_jp_kyū-sen.mp3] 
ハンバーガー | hanbāgā | hamburger | [sound:ic_jp_hanbāgā.mp3] 
チーズバーガー | chīzubāgā | cheeseburger | [sound:ic_jp_chīzubāgā.mp3] 
ピザ | piza | pizza | [sound:ic_jp_piza.mp3] 
ホットドッグ | hotto doggu | hot dog | [sound:ic_jp_hotto_doggu.mp3] 
チップ | chippu | tip | [sound:ic_jp_chippu.mp3] 
せっきゃくしゅにん | sekkyaku shunin | maitre d' | [sound:ic_jp_sekkyaku_shunin.mp3] 
シェフ | shefu | chef | [sound:ic_jp_shefu.mp3] 
きんえん | kin'en | non-smoking | [sound:ic_jp_kin'en.mp3] 
きつえん | kitsuen | smoking | [sound:ic_jp_kitsuen.mp3] 
せいきゅうしょ | seikyūsho | bill | [sound:ic_jp_seikyūsho.mp3] 
