あかるい | akarui | light | [sound:ic_jp_akarui.mp3] 
きんいろの | kin'iro no | gold | [sound:ic_jp_kin'iro_no.mp3] 
ピンクの | pinku no | pink | [sound:ic_jp_pinku_no.mp3] 
ぎん | gin | silver | [sound:ic_jp_gin.mp3] 
ベージュ | bēju | beige | [sound:ic_jp_bēju.mp3] 
あかるい | akarui | bright | [sound:ic_jp_akarui.mp3] 
いろ | iro | color | [sound:ic_jp_iro.mp3] 
インディゴ | indigo | indigo | [sound:ic_jp_indigo.mp3] 
ももいろ | momo'iro | peach | [sound:ic_jp_momo'iro.mp3] 
こい | koi | dark | [sound:ic_jp_koi.mp3] 
いらだたしい | iradatashii | annoying | [sound:ic_jp_iradatashii.mp3] 
ひろい | hiroi | wide | [sound:ic_jp_hiroi.mp3] 
せまい | semai | narrow | [sound:ic_jp_semai.mp3] 
かたい | katai | hard | [sound:ic_jp_katai.mp3] 
やわらかい | yawarakai | soft | [sound:ic_jp_yawarakai.mp3] 
きぼうにみちた | kibō ni michita | hopeful | [sound:ic_jp_kibō_ni_michita.mp3] 
ふかい | fukai | deep | [sound:ic_jp_fukai.mp3] 
あさい | asai | shallow | [sound:ic_jp_asai.mp3] 
おかねもちの | o-kanemochi no | rich | [sound:ic_jp_o-kanemochi_no.mp3] 
びんぼう | binbō | poor | [sound:ic_jp_binbō.mp3] 
モニター | monitā | monitor | [sound:ic_jp_monitā.mp3] 
キーボード | kībōdo | keyboard | [sound:ic_jp_kībōdo.mp3] 
ヘッドフォン | heddofon | headphones | [sound:ic_jp_heddofon.mp3] 
プリンター | purintā | printer | [sound:ic_jp_purintā.mp3] 
ノートパソコン | nōtopasokon | laptop computer | [sound:ic_jp_nōtopasokon.mp3] 
マウス | mausu | mouse | [sound:ic_jp_mausu.mp3] 
スピーカー | supīkā | speaker | [sound:ic_jp_supīkā.mp3] 
ウェブカメラ | webu kamera | webcam | [sound:ic_jp_webu_kamera.mp3] 
マイク | maiku | microphone | [sound:ic_jp_maiku.mp3] 
デスクトップパソコン | desukutoppu pasokon | desktop computer | [sound:ic_jp_desukutoppu_pasokon.mp3] 
あんず | anzu | apricot | [sound:ic_jp_anzu.mp3] 
パイナップル | painappuru | pineapple | [sound:ic_jp_painappuru.mp3] 
メロン | meron | melon | [sound:ic_jp_meron.mp3] 
イチジク | ichijiku | fig | [sound:ic_jp_ichijiku.mp3] 
プラム | puramu | plum | [sound:ic_jp_puramu.mp3] 
ブルーベリー | burūberī | blueberry | [sound:ic_jp_burūberī.mp3] 
