element.accesskey	<b>Element property / method</b> that sets or returns the accesskey attribute of an element.			"document.getElementById(""myAnchor"").accessKey = ""w"";"		
element.addEventListener(<em>event</em>, <em>function</em>, <em>useCapture</em>)	<b>Element property / method</b> that attaches an event handler to an element.		<em>element</em>.addEventListener(<em>event</em>, <em>function</em>, <em>useCapture</em>)	"element.addEventListener(""click"", myFunction);<br/><br/>function myFunction() {<br/>  document.getElementById(""demo"").innerHTML = ""Hello World"";<br/>  }<br/>"		
element.appendchild()	<b>Element property / method</b> that adds (appends) a new child node to an element.			"const node = document.createElement(""li"");<br/> const textnode = document.createTextNode(""Water"");<br/> node.appendChild(textnode);<br/> document.getElementById(""myList"").appendChild(node);"		
node.attributes	"<b>Element property</b>&nbsp;that returns a namednodemap of an element's attributes."					
element.<em>HTMLElementObject</em>.blur()	<b>Element property / method</b> that removes focus from an element.		<em>HTMLElementObject</em>.blur()	"document.getElementById(""myText"").blur();"		
element.childElementCount	"<b>Element property / method</b> that returns an elements's number of child elements."		<em>element</em>.childElementCount	"let numb = document.getElementById(""myDIV"").childElementCount;"		
element.childNodes	"<b>Element property / method</b> that returns a nodelist of an element's child nodes."		<em>element</em>.childNodes	const nodeList = document.body.childNodes;		
element.children	"<b>Element property / method</b> that returns an htmlcollection of an element's child elements."		<em>element</em>.children	const collection = document.body.children;		
element.classList	<b>Element property / method</b> that returns the class name(s) of an element.		<em>element</em>.classList	"const list = element.classList;<br/> list.add(""myStyle"");"		
element.classname	<b>Element property / method</b> that sets or returns the value of the class attribute of an element.			"element.className = ""myStyle"";"		
element.click()	<b>Element property / method</b> that simulates a mouse-click on an element.		<em>element</em>.click()	"&lt;input type=""checkbox"" id=""myCheck"" onmouseover=""myFunction()"";<br/><br/> &lt;script&gt;<br/> function myFunction() {<br/>  document.getElementById(""myCheck"").click();<br/> } <br/> &lt;/script&gt;"		
element.clientHeight	<b>Element property / method</b> that returns the height of an element, including padding.		<em>element</em>.clientHeight	"const element = document.getElementById(""myDIV"");<br/> let text = ""clientHeight: "" + element.clientHeight + ""px&lt;br&gt;"";<br/> text += ""clientWidth: "" + element.clientWidth + ""px"";"		
element.clientLeft	<b>Element property / method</b> that returns the width of the left border of an element.		<em>element</em>.clientLeft	"const elmnt = document.getElementById(""myDIV"");<br/> let text = ""Border top width: "" + elmnt.clientTop + ""px&lt;br&gt;"";<br/> text += ""Border left width: "" + elmnt.clientLeft + ""px"";"		
element.clientTop	<b>Element property / method</b> that returns the width of the top border of an element.		<em>element</em>.clientTop	"const element = document.getElementById(""myDIV"");<br/> let text = ""clientTop: "" + element.clientTop + ""px&lt;br&gt;"";<br/> text += ""clientLeft: "" + element.clientLeft + ""px"";"		
element.clientWidth	<b>Element property / method</b> that returns the width of an element, including padding.		<em>element</em>.clientWidth	"const element = document.getElementById(""myDIV"");<br/> let text = ""clientHeight: "" + element.clientHeight + ""px&lt;br&gt;"";<br/> text += ""clientWidth: "" + element.clientWidth + ""px"";"		
node.cloneNode(<i>deep</i>)	<b>Element property / method</b> that clones an element.		<i>node</i>.cloneNode(<i>deep</i>)	"const node = document.getElementById(""myList2"").lastChild;<br/> const clone = node.cloneNode(true);<br/><br/> document.getElementById(""myList1"").appendChild(clone);"		
element.closest(<i>selectors</i>)	<b>Element property / method</b> that searches the dom tree for the closest element that matches a css selector.		<i>element</i>.closest(<i>selectors</i>)	"const element = document.getElementById(""myElement"");<br/> const closest = element.closest("".container"");"		
node.compareDocumentPosition(<i>node</i>)	<b>Element property / method</b> that compares the document position of two elements.		<i>node</i>.compareDocumentPosition(<i>node</i>)	"const p1 = document.getElementById(""p1"");<br/> const p2 = document.getElementById(""p2"");<br/>  let position = p1.compareDocumentPosition(p2);"		
